Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,HOU,36,32.7,20.3,7.1,17.1,41.5,2.7,8.1,33.1,3.4,3.9,86.6,0.6,4,4.6,2.5,2.3,1,0.3,1.8,31,1,0,2.8,,,,
2023-24,HOU,82,31.7,19.6,6.9,16.2,42.3,2.5,7.4,33.2,3.5,4.3,80.4,0.5,4.7,5.2,3.5,2.3,0.8,0.3,1.4,32.3,7,1,0.4,,,,
2022-23,HOU,76,34.2,22.1,7.4,17.9,41.6,2.5,7.3,33.8,4.8,6.1,78.6,0.6,3.2,3.7,3.7,2.6,0.8,0.2,1.7,32.6,0,0,-5.9,,,,
2021-22,HOU,67,31.9,17.3,6.1,14.2,42.6,2.3,6.8,34.3,2.8,3.5,79.7,0.5,2.9,3.4,2.6,2,0.7,0.3,1.5,26,0,0,-7.7,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,HOU,36,32.7,112.2,108,4.2,12,1.1,10.7,1.5,11.7,6.4,9.8,49.3,53.9,26.1,99.11,10.8,,,,,,,,,,,
2023-24,HOU,82,31.7,113.8,113.8,0,17,1.52,14.8,1.5,14.3,7.8,9.7,49.8,54.1,27,100.26,11.1,,,,,,,,,,,
2022-23,HOU,76,34.2,111.2,120,-8.7,16.9,1.41,13.9,1.6,9.3,5.3,9.9,48.5,53.8,27.4,100.64,9.6,,,,,,,,,,,
2021-22,HOU,67,31.9,105.7,116.9,-11.3,13.2,1.3,12.9,1.5,8.8,5.1,9.9,50.8,54.7,23.4,102.5,8.5,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,HOU,36,32.7,3.5,1.3,3.8,7.3,11.1,9.2,8.3,32.8,0.3,1.2,1.8,2.9,,,,,,,,,,,,,,
2023-24,HOU,82,31.7,3.1,1.1,3.2,7,9.6,9.3,7.9,32.7,0.3,1.3,1.4,3.4,,,,,,,,,,,,,,
2022-23,HOU,76,34.2,2.5,2,2.1,7.8,14.9,9.4,13.2,36.2,0.2,1.4,1.7,4.1,,,,,,,,,,,,,,
2021-22,HOU,67,31.9,2.7,1.7,2.4,6.2,13.8,9.6,10.9,36.5,0.3,1.4,1.5,2.9,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,HOU,36,32.7,52.8,47.2,43.6,7.4,39.5,18.5,16.9,17.4,36.2,30.2,69.8,53.1,46.9,38.8,61.2,,,,,,,,,,,
2023-24,HOU,82,31.7,54.6,45.4,45,9.1,37.5,16.5,17.5,15.6,35.9,34,66,55.2,44.8,41.6,58.4,,,,,,,,,,,
2022-23,HOU,76,34.2,59.2,40.8,45,9.6,33.3,9.6,21.7,11.2,35.4,35.1,64.9,57.2,42.8,42.4,57.6,,,,,,,,,,,
2021-22,HOU,67,31.9,52,48,43,6.9,40.7,14.1,16.3,15.5,36.1,43.8,56.2,66.2,33.8,52.5,47.5,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,HOU,36,1176,26.1,25.2,26.8,33.7,33,29.6,27,5.6,17.7,14,17.5,25.8,17.1,9.3,28.6,13.3,22.1,26.8,,,,,,,,
2023-24,HOU,82,2601,27,24.8,27.2,28.9,30.8,29.5,28.7,7.3,21.1,17.9,21.1,29,17.1,12.6,33.9,10.8,26.3,26,,,,,,,,
2022-23,HOU,76,2602,27.4,25.4,28.4,32.1,32.5,35,33.3,6.2,13.5,11.5,23.1,23,15.4,7.8,32,12,28.5,27.7,,,,,,,,
2021-22,HOU,67,2138,23.4,23.4,24.9,26.3,27.1,25,22.3,8.5,13.4,12.3,17.3,18.5,14.2,9,34.3,11.6,20.4,24,,,,,,,,
