Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,ATL,32,36.4,19.8,7.9,15.4,51.2,1.4,4.2,33.1,2.7,3.5,75.2,1.8,8.3,10.1,5.3,3,1.5,1.1,2,44.6,18,1,2.4,,,,
2023-24,ATL,56,33.7,16,6.4,12.5,51.1,1.3,3.6,35.5,1.9,2.6,72.8,1.3,7.4,8.7,3.6,1.8,1.2,0.8,2.4,36.2,19,1,-1.4,,,,
2022-23,ATL,70,14.9,5.6,2.3,4.6,49.1,0.4,1.5,28.8,0.7,1.1,62.8,0.7,3.3,4,1.2,0.6,0.5,0.5,1.6,14.8,1,0,-0.1,,,,
2021-22,ATL,22,5.5,2.4,1,1.9,53.7,0.1,0.6,23.1,0.2,0.3,71.4,0.1,1.1,1.2,0.1,0.4,0.1,0.1,0.4,4.3,0,0,-0.9,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,ATL,32,36.4,112.6,109.9,2.6,20.9,1.74,20.9,4.7,21.2,13.1,12,55.7,58.4,21.5,106.81,13.8,,,,,,,,,,,
2023-24,ATL,56,33.7,113.3,115.2,-1.9,15.4,2.01,19,3.6,21.1,12.2,9.5,56.2,58.4,18.4,103.77,11.7,,,,,,,,,,,
2022-23,ATL,70,14.9,111.1,110.8,0.3,10.6,2.02,17.3,4.7,21.4,13.1,8.6,53.7,55.4,15.6,103.32,9.9,,,,,,,,,,,
2021-22,ATL,22,5.5,95.8,105.8,-10,4.5,0.33,5.4,1.6,17.5,9.9,16.1,57.3,59,18.3,104.26,9.6,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,ATL,32,36.4,3.5,2.8,3.6,12.2,15.6,10.7,13,36,1.1,1,2,2.8,,,,,,,,,,,,,,
2023-24,ATL,56,33.7,2.8,1.8,2.8,9.7,11.2,9.5,12.6,36.6,0.8,0.9,2.4,2.2,,,,,,,,,,,,,,
2022-23,ATL,70,14.9,1.4,0.9,1.6,3.5,5.2,4.8,4.7,16.4,0.5,0.3,1.6,0.8,,,,,,,,,,,,,,
2021-22,ATL,22,5.5,0.5,0.2,0.4,1.7,1.6,1.8,1.4,5.4,0.1,0.1,0.4,0.2,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,ATL,32,36.4,73.1,26.9,65.8,4.4,20.8,18.3,13.4,17.6,61.4,61.2,38.8,95.5,4.5,67.2,32.8,,,,,,,,,,,
2023-24,ATL,56,33.7,71.5,28.5,64.3,3.8,23.8,17.6,11.9,17.5,60.5,70.5,29.5,97.2,2.8,75.8,24.2,,,,,,,,,,,
2022-23,ATL,70,14.9,67.7,32.3,64.8,2.5,22.8,27.6,12.4,24.8,62.3,62.5,37.5,100,0,69.6,30.4,,,,,,,,,,,
2021-22,ATL,22,5.5,68.3,31.7,73.1,0,17.3,15.4,9.6,21.2,73.1,78.9,21.1,100,0,81.8,18.2,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,ATL,32,1163,21.5,23.8,22.3,14.6,15.9,17.2,17.8,20.1,32,28.9,22.7,24.8,19.7,24.3,22.6,14.5,17.5,21.8,,,,,,,,
2023-24,ATL,56,1889,18.4,21.4,19.4,14.5,14.4,13.6,15.1,14.8,31.2,26.7,19.2,19.2,22,24,23.7,19.7,16,19.4,,,,,,,,
2022-23,ATL,70,1042,15.6,16.8,16.3,13.2,15.6,13.2,16.7,21.3,32.7,29.8,15.5,14.1,22.6,29.1,20.2,25.5,14.2,15.9,,,,,,,,
2021-22,ATL,22,120,18.3,25,19.5,8.8,13.3,11.4,12.3,10,27.3,24.1,5.6,25,14.3,22.2,16.7,22.5,10.4,20.5,,,,,,,,
