Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,ORL,34,29,16.4,5.7,13.9,41,2.2,7,31.2,2.9,3.1,90.7,0.7,3.4,4.1,3.7,2.9,1.5,1,2.7,31.3,0,0,-0.3,,,,
2023-24,ORL,75,27,12.6,4.5,9.5,47.1,2,5.1,39.7,1.6,2.1,75.6,0.6,2.4,3.1,2.7,1.8,1.4,0.6,2.7,24.7,0,0,0.6,,,,
2022-23,ORL,53,23.5,9.9,3.5,8.4,41.9,1.2,3.8,32.7,1.6,2.2,72.3,1,2,3,2.9,1.8,1.3,0.5,2.3,21.5,0,0,-0.8,,,,
2021-22,ORL,48,27.2,11.8,4.1,11.4,36.1,0.9,4.1,21.4,2.6,3.4,77.3,0.5,3,3.6,4.4,3,1.2,0.4,3,24.5,2,0,-4.3,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,ORL,34,29,105.7,105.3,0.3,21.5,1.27,16.9,2.3,12.6,7.2,13.3,48.8,53.7,26.8,98.86,10.9,,,,,,,,,,,
2023-24,ORL,75,27,111.8,110.8,1,14.7,1.55,18.3,2.4,9.5,5.8,11.8,57.8,60.2,19.1,99.85,8.8,,,,,,,,,,,
2022-23,ORL,53,23.5,109.7,111,-1.3,17.9,1.65,20.9,4.4,8.3,6.3,12.7,49.3,52.8,19.6,101.73,7.7,,,,,,,,,,,
2021-22,ORL,48,27.2,100.6,107.8,-7.1,24.9,1.46,21.5,1.9,10.2,6.1,14.7,40,45.5,24.4,102.44,6.4,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,ORL,34,29,3.2,1.1,2.4,5.7,11.4,6.4,7.9,27.8,1,0.5,2.7,3.7,,,,,,,,,,,,,,
2023-24,ORL,75,27,2.6,1.4,2.1,4.2,9.8,6.5,8.3,26.6,0.6,0.3,2.7,2.4,,,,,,,,,,,,,,
2022-23,ORL,53,23.5,1.5,1.2,1.5,3.7,9.5,6.6,7.1,22.3,0.5,0.5,2.3,2.5,,,,,,,,,,,,,,
2021-22,ORL,48,27.2,1.9,0.6,2.1,5.6,9.2,7.9,7.1,23.5,0.4,1,3,3.4,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,ORL,34,29,49.9,50.1,42.9,8.2,39.7,14.8,17.4,19.5,34.7,21.7,78.3,77,23,42.8,57.2,,,,,,,,,,,
2023-24,ORL,75,27,46.1,53.9,38.8,5.1,48.7,16.9,12.5,20.7,33.7,48.6,51.4,86.9,13.1,66.1,33.9,,,,,,,,,,,
2022-23,ORL,53,23.5,54.5,45.5,45.8,8.4,37.8,15.5,16.4,15.3,37.4,31.7,68.3,71.2,28.8,45.7,54.3,,,,,,,,,,,
2021-22,ORL,48,27.2,64.2,35.8,55.3,7.4,22.3,17.7,22.4,16.1,47.9,36.5,63.5,66.7,33.3,42.9,57.1,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,ORL,34,987,26.8,24.8,27.2,33.9,32.4,26.9,23.8,10.7,18.2,16.3,26.5,29.8,23.3,23.6,22.4,21.9,30,26.1,,,,,,,,
2023-24,ORL,75,2025,19.1,19.4,19.7,31.3,28.7,15.5,15.5,10.8,13.4,12.7,19.4,20.6,29.9,22.5,13.7,24.8,20.6,20,,,,,,,,
2022-23,ORL,53,1246,19.6,17.7,19.8,24.4,25.2,16.5,18,20.9,12.1,14.1,26.3,22.8,35.8,18.8,20.9,23.2,22.8,18.1,,,,,,,,
2021-22,ORL,48,1307,24.4,19.1,23,13.7,20.5,30.1,30.2,10.6,14.7,13.9,33,33.3,30.1,15.1,30.8,26.3,30.8,20.1,,,,,,,,
