Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,OKC,35,32.5,20.6,8.1,17,47.8,1.8,5,35.2,2.6,3.3,77.6,0.9,4.9,5.8,5.1,2.3,1.8,0.7,2.6,40.4,3,0,7.1,,,,
2023-24,OKC,71,31.3,19.1,7.5,14,54,1.5,3.4,42.7,2.5,3.1,81.4,0.5,3.5,4,4.5,1.7,1.1,0.6,2.5,34.2,3,0,5.4,,,,
2022-23,OKC,75,30.3,14.1,5.5,10.6,52.1,1,2.7,35.6,2.1,2.5,81.2,1.1,3.4,4.5,3.3,1.6,1.4,0.5,2.5,28.3,3,0,-0.7,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,OKC,35,32.5,113.6,102.7,10.9,24.5,2.28,20,2.5,14.1,8.4,8.8,53,55.8,26.8,102.07,13.7,,,,,,,,,,,
2023-24,OKC,71,31.3,117.7,108.9,8.8,20.2,2.62,21,1.7,10.2,6.2,8,59.2,62.1,23.2,102.94,12.3,,,,,,,,,,,
2022-23,OKC,75,30.3,111.6,112.6,-1,15.2,2.02,19.9,3.5,10.9,7.1,9.9,56.7,60.1,18,103.46,10.2,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,OKC,35,32.5,4.6,1.6,3.8,10.1,8.3,10.4,8.5,28.9,0.7,1,2.6,2.8,,,,,,,,,,,,,,
2023-24,OKC,71,31.3,3.7,1.6,2.9,9.9,8.9,10.1,8,30.8,0.6,0.7,2.5,2.6,,,,,,,,,,,,,,
2022-23,OKC,75,30.3,2.9,1.8,1.9,8.5,8.8,9.7,7.4,31.7,0.5,0.7,2.5,2.2,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,OKC,35,32.5,70.4,29.6,61.7,12.8,25.8,18.5,12.5,22.2,48.9,44.1,55.9,79,21,51.8,48.2,,,,,,,,,,,
2023-24,OKC,71,31.3,75.7,24.3,63.9,12,22.8,15,13.3,19.2,52,40.4,59.6,74.8,25.2,47,53,,,,,,,,,,,
2022-23,OKC,75,30.3,74.2,25.8,64.6,4.5,20.7,13.8,14.7,20.5,60,41.6,58.4,90.4,9.6,50.2,49.8,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,OKC,35,1138,26.8,27.8,27.6,20.3,21.1,22.8,23.9,14.2,21.6,20.1,28.5,27.1,21,16.6,28.1,19.9,22.9,26.3,,,,,,,,
2023-24,OKC,71,2224,23.2,25.2,23.8,18.2,16.4,23.4,23.5,9.7,15.8,14.6,25.1,22.2,20.5,13.8,21.4,20.1,21.4,24.2,,,,,,,,
2022-23,OKC,75,2276,18,20.3,18.2,13.7,13.5,18.1,17.6,16.3,16.8,16.7,21.5,20.5,25.2,17.3,19.3,18.7,17.1,19.3,,,,,,,,
