Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,DEN,28,36.7,19.4,7,16.2,43.3,2.1,5.8,36.6,3.3,3.9,85.2,0.5,3.7,4.2,6.3,2.3,1.6,0.7,1.8,38.4,4,0,4.3,,,,
2023-24,DEN,59,31.5,21.2,8,16.7,48.1,2.5,5.8,42.5,2.7,3.1,85.3,0.7,3.4,4.1,6.5,2.1,1,0.7,1.8,38.6,11,0,5.3,,,,
2022-23,DEN,65,32.8,20,7.3,16,45.4,2.6,6.6,39.8,2.8,3.3,83.3,0.7,3.2,4,6.2,2.2,1,0.2,1.6,35.5,5,1,4.6,,,,
2020-21,DEN,48,35.5,21.2,7.9,16.5,47.7,2.7,6.6,40.8,2.8,3.2,86.9,0.8,3.3,4,4.8,2.3,1.3,0.3,2,35.8,1,0,6.3,,,,
2019-20,DEN,59,32.3,18.5,6.9,15.2,45.6,1.9,5.5,34.6,2.8,3.1,88.1,0.8,3.2,4,4.8,2.2,1.1,0.3,1.7,32.6,3,0,4.1,,,,
2018-19,DEN,75,32.6,18.2,6.8,15.6,43.7,2,5.5,36.7,2.5,3,84.8,0.9,3.4,4.2,4.8,2.1,0.9,0.4,2,32.2,4,0,3.3,,,,
2017-18,DEN,81,31.7,16.7,5.9,13.1,45.1,2,5.4,37.8,2.8,3.1,90.5,1,2.7,3.7,3.4,2.1,1,0.3,2.1,28,1,0,2.8,,,,
2016-17,DEN,82,21.5,9.9,3.6,8.9,40.4,1.4,4.2,33.4,1.3,1.5,88.3,0.5,2.1,2.6,2.1,1.4,0.6,0.3,1.5,17.5,1,0,0.9,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,DEN,28,36.7,119.7,114.8,5,22.2,2.78,23.7,1.4,9.3,5.5,8.5,49.8,54.2,22.7,101.49,10,,,,,,,,,,,
2023-24,DEN,59,31.5,120.7,112.4,8.2,29.6,3.07,24.6,2.4,10.5,6.6,8,55.4,58.6,27.3,97.75,13.7,,,,,,,,,,,
2022-23,DEN,65,32.8,118.9,112.5,6.4,26.5,2.76,23.9,2.4,9.9,6.2,8.7,53.7,57.1,25.6,99.13,12.1,,,,,,,,,,,
2020-21,DEN,48,35.5,118.6,110.6,8,19.7,2.14,19.3,2.3,9.5,5.9,9,55.9,59.2,24.4,97.41,11.7,,,,,,,,,,,
2019-20,DEN,59,32.3,113,107.7,5.3,22.8,2.24,20.7,2.4,10.1,6.3,9.2,51.9,55.9,24.8,97.48,12.1,,,,,,,,,,,
2018-19,DEN,75,32.6,112.8,108,4.8,22,2.3,20.5,2.6,10.1,6.3,8.9,50.2,53.8,24.1,99.49,10.8,,,,,,,,,,,
2017-18,DEN,81,31.7,113.9,110.2,3.7,15.9,1.59,17.1,3.3,8.7,6,10.8,52.9,57.6,22.3,97.75,9.6,,,,,,,,,,,
2016-17,DEN,82,21.5,110.2,108,2.2,14.2,1.5,16.1,2.3,9.5,5.9,10.7,48.3,51.8,21.2,100.7,7.8,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,DEN,28,36.7,3.3,1.3,3.7,6.3,11.8,10.3,12.6,39.9,0.7,0.8,1.8,3.6,,,,,,,,,,,,,,
2023-24,DEN,59,31.5,3,1.5,2.2,7.1,10.8,9.2,9.6,34.6,0.7,0.9,1.8,2.7,,,,,,,,,,,,,,
2022-23,DEN,65,32.8,2.8,1.4,1.9,6.3,11,9.2,9.5,36.6,0.2,0.5,1.6,2.8,,,,,,,,,,,,,,
2020-21,DEN,48,35.5,4.4,1.4,2.7,6.5,11.2,7.7,9.4,32.5,0.3,0.5,2,3.3,,,,,,,,,,,,,,
2019-20,DEN,59,32.3,2.8,1.1,1.8,6.5,10.5,7.4,8.2,31.9,0.3,0.5,1.7,3,,,,,,,,,,,,,,
2018-19,DEN,75,32.6,2.2,1.5,2.1,6.6,10.9,7.6,8.5,33.5,0.4,0.7,2,2.7,,,,,,,,,,,,,,
2017-18,DEN,81,31.7,2.6,1.9,2.2,5.8,11.5,7.1,8.3,30.9,0.3,0.7,2.1,2.5,,,,,,,,,,,,,,
2016-17,DEN,82,21.5,1.3,0.8,1.1,3.2,7.9,5.3,6.2,21.3,0.3,0.4,1.5,1.3,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,DEN,28,36.7,64.5,35.5,50.5,18,32.6,19,16.9,16.9,32.4,33.6,66.4,74.6,25.4,45.9,54.1,,,,,,,,,,,
2023-24,DEN,59,31.5,65.4,34.6,52.6,19,34.8,10.2,12.6,14.1,33.6,33.7,66.3,60,40,41.8,58.2,,,,,,,,,,,
2022-23,DEN,65,32.8,58.5,41.5,46.4,14.6,39.8,9.4,13.8,14,31.7,32.9,67.1,60.5,39.5,42.9,57.1,,,,,,,,,,,
2020-21,DEN,48,35.5,60.1,39.9,48.9,18.1,38,12.6,13.1,20.7,30.8,33.3,66.7,58.1,41.9,41.8,58.2,,,,,,,,,,,
2019-20,DEN,59,32.3,63.8,36.2,54.3,19.2,30.8,9.5,14.9,15,35,47,53,67,33,52.5,47.5,,,,,,,,,,,
2018-19,DEN,75,32.6,64.7,35.3,52.8,16.7,33.4,11.4,13.8,11.9,36.1,52.6,47.4,68.4,31.6,57.3,42.7,,,,,,,,,,,
2017-18,DEN,81,31.7,58.9,41.1,46.4,12,36.6,13.1,17,15.3,34.5,39.8,60.2,77,23,52.6,47.4,,,,,,,,,,,
2016-17,DEN,82,21.5,52.9,47.1,44.4,11.6,42.5,11,13.1,13.1,32.8,48.3,51.7,71.3,28.7,57.3,42.7,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,DEN,28,1028,22.7,19.9,23.3,22.5,24.2,24.4,22.5,6.1,14.3,12.3,26,24.1,26,18.3,18.3,14.2,24.6,20.8,,,,,,,,
2023-24,DEN,59,1861,27.3,26.7,28.8,31.5,29,27.6,25.6,10.5,15.6,14.4,33.4,25.7,20.4,16.3,27.4,16.2,23.7,27.3,,,,,,,,
2022-23,DEN,65,2133,25.6,23.8,26.9,30.9,30.1,24.9,22.3,10.7,14.5,13.6,30.6,24.5,19.1,8.4,19.8,13.4,20.3,24.7,,,,,,,,
2020-21,DEN,48,1704,24.4,24.4,25.4,27.5,26.7,24.5,22.4,9.7,13.8,12.8,24.5,23.7,22.3,9,17.6,15.3,23.5,24.8,,,,,,,,
2019-20,DEN,59,1903,24.8,24.7,26,26.7,27.2,24.7,22.6,11.1,14.5,13.7,27.3,23.9,22.5,10.8,17.3,13.4,21.4,24.9,,,,,,,,
2018-19,DEN,75,2447,24.1,23.7,25.7,26.6,26.7,23,20.9,10.9,14.2,13.4,25.3,22.5,17.8,12,21,15.3,19.2,23.9,,,,,,,,
2017-18,DEN,81,2565,22.3,21.8,23.3,25.5,26,24.9,21.6,14.7,12.3,12.9,19.8,22.7,19,11.5,23.2,18.1,18.6,22.7,,,,,,,,
2016-17,DEN,82,1765,21.2,19.7,22.7,27.1,30.3,16,14,10.2,13.3,12.6,19,20.5,20.3,15.6,17.9,17.3,15,19.9,,,,,,,,
