Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,MEM,35,29,22.7,8.1,16.5,49.4,1.8,5.2,34.8,4.6,5.9,78.5,1.5,4.9,6.4,2,2.3,1.5,1.6,3.3,40.5,3,0,6.9,,,,
2023-24,MEM,66,32.2,22.5,7.8,17.6,44.4,1.8,5.5,32,5.1,6.3,80.8,1.3,4.2,5.5,2.3,2.4,1.2,1.6,3.6,38.7,5,0,-5.2,,,,
2022-23,MEM,63,28.4,18.6,6.6,13,50.6,1.6,4.5,35.5,3.8,4.9,78.8,1.7,5,6.8,1,1.7,1,3,3.6,38.6,7,0,5.8,,,,
2021-22,MEM,78,27.3,16.3,5.5,13.3,41.5,1.6,5.1,31.9,3.6,4.4,82.3,1.5,4.3,5.8,1.1,1.7,0.9,2.3,3.5,32.9,7,0,4.6,,,,
2020-21,MEM,11,23.5,14.4,4.8,11.4,42.4,1.5,5.5,28.3,3.2,3.8,83.3,1.5,4.1,5.6,1.1,1.4,1.1,1.6,3.8,29.6,0,0,-5.8,,,,
2019-20,MEM,57,28.5,17.4,6.2,13.2,46.9,2.5,6.5,39.4,2.4,3.3,74.7,1,3.6,4.6,1.4,1.7,0.7,1.6,4.1,30.1,3,0,-1.8,,,,
2018-19,MEM,58,26.1,13.8,5.1,10.2,50.6,0.9,2.4,35.9,2.6,3.4,76.6,1.3,3.4,4.7,1.1,1.7,0.9,1.4,3.8,26.3,2,0,-1.8,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,MEM,35,29,115.4,105.3,10.1,10.6,0.89,8.7,4.6,14.9,9.9,9.8,54.9,59.5,28.3,107.22,13.7,,,,,,,,,,,
