Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,MIA,22,30.8,17.6,5.8,10.5,55.2,0.5,1.5,37.5,5.4,6.9,78.8,2.3,3.2,5.5,4.7,1.2,1.2,0.4,1,34.8,2,1,3.1,,,,
2023-24,MIA,60,34,20.8,6.6,13.2,49.9,1,2.4,41.4,6.6,7.7,85.8,1.8,3.6,5.3,5,1.7,1.3,0.3,1.1,37.7,5,1,3.6,,,,
2022-23,MIA,64,33.4,22.9,7.5,13.9,53.9,0.6,1.6,35,7.4,8.7,85,2.2,3.7,5.9,5.3,1.6,1.8,0.3,1.3,42.8,11,0,0.7,,,,
2021-22,MIA,57,33.9,21.4,7,14.5,48,0.5,2,23.3,6.9,8,87,1.8,4.1,5.9,5.5,2.1,1.6,0.5,1.5,40.9,12,4,4.3,,,,
2020-21,MIA,52,33.6,21.5,7,14.2,49.7,0.5,2,24.5,6.9,8,86.3,1.8,5.1,6.9,7.1,2.1,2.1,0.3,1.4,45.6,17,4,3.8,,,,
2019-20,MIA,58,33.8,19.9,5.9,13.1,45.5,0.5,2.1,24.4,7.6,9.1,83.4,1.8,4.8,6.7,6,2.2,1.8,0.6,1.4,41.8,11,3,4.4,,,,
2018-19,TOT,65,33.6,18.7,6.4,13.9,46.2,1,3,34.7,4.8,5.6,85.5,1.9,3.4,5.3,4,1.5,1.9,0.6,1.7,37.1,3,0,2.5,,,,
2018-19,PHI,55,33.2,18.2,6.3,13.6,46.1,0.9,2.7,33.8,4.8,5.5,86.8,1.9,3.4,5.3,4,1.5,1.8,0.5,1.7,36.1,3,0,4,,,,
2018-19,MIN,10,36.1,21.3,7.4,15.7,47.1,1.7,4.5,37.8,4.8,6.1,78.7,1.6,3.6,5.2,4.3,1.4,2.4,1,1.8,42.8,0,0,-6.1,,,,
2017-18,MIN,59,36.7,22.2,7.4,15.6,47.4,1.2,3.4,35,6.2,7.2,85.4,1.3,4,5.3,4.9,1.8,2,0.4,1.3,41.1,3,0,6.3,,,,
2016-17,CHI,76,37,23.9,7.5,16.5,45.5,1.2,3.3,36.7,7.7,8.9,86.5,1.7,4.5,6.2,5.5,2.1,1.9,0.4,1.5,44.4,15,2,2.7,,,,
2015-16,CHI,67,36.9,20.9,7,15.4,45.4,1,3.1,31.2,5.9,7.1,83.2,1.2,4.2,5.3,4.8,2,1.6,0.6,1.9,39.4,10,2,-0.2,,,,
2014-15,CHI,65,38.7,20,6.5,14,46.2,1.1,3,37.8,5.9,7.1,83.4,1.8,4.1,5.8,3.3,1.4,1.8,0.6,1.7,37.4,4,0,3.7,,,,
2013-14,CHI,67,38.7,13.1,4.1,10.3,39.7,1,3.6,28.3,3.9,5,76.9,1.3,3.6,4.9,2.6,1.5,1.9,0.5,1.6,28.7,5,0,2.8,,,,
2012-13,CHI,82,26,8.6,2.9,6.2,46.7,0.5,1.3,38.1,2.3,2.8,80.3,1.7,2.3,4,1.4,0.8,1,0.4,1.2,18.7,4,0,0.7,,,,
2011-12,CHI,42,8.5,2.6,0.8,1.9,40.5,0,0.3,18.2,1,1.3,76.8,0.5,0.8,1.3,0.3,0.3,0.3,0.1,0.5,5.5,0,0,1.9,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,MIA,22,30.8,117.5,113.2,4.3,23.5,3.81,24.3,7.5,10.6,9,6.4,57.8,64.8,20.3,97.47,14.3,,,,,,,,,,,
2023-24,MIA,60,34,116,110.5,5.5,22.8,2.92,21.5,5.4,10.6,8,7.4,53.7,62.6,23.5,97.23,14.5,,,,,,,,,,,
2022-23,MIA,64,33.4,114.9,113.7,1.2,26.4,3.37,21.9,6.8,12.1,9.3,6.5,56,64.7,24.8,97.02,17.7,,,,,,,,,,,
2021-22,MIA,57,33.9,114.4,108.4,6.1,26.4,2.58,21.4,5.5,12.5,9,8.3,49.6,59.2,26,96.49,16.4,,,,,,,,,,,
2020-21,MIA,52,33.6,112.1,106.9,5.2,34.5,3.39,26.5,5.6,15.3,10.5,7.8,51.4,60.7,25.9,97.73,18.4,,,,,,,,,,,
2019-20,MIA,58,33.8,113.2,108,5.2,28.3,2.76,23.9,5.5,13.9,9.8,8.7,47.4,58.5,24.6,98.25,15.9,,,,,,,,,,,
2018-19,TOT,65,33.6,111.9,108.3,3.6,17.9,2.77,18.5,5.4,9.4,7.5,6.7,49.9,57.1,21.8,102.44,12.6,,,,,,,,,,,
2018-19,PHI,55,33.2,113.3,107.5,5.8,17.5,2.72,18.7,5.7,9.3,7.6,6.9,49.4,56.9,21.7,102.49,12.4,,,,,,,,,,,
2018-19,MIN,10,36.1,104.8,112.7,-7.9,19.8,3.07,17.8,3.9,9.8,6.7,5.8,52.5,57.9,22.4,102.18,13.8,,,,,,,,,,,
2017-18,MIN,59,36.7,114.7,106.4,8.3,20.4,2.67,19.3,3.8,11.2,7.5,7.2,51.2,59,24.5,95.76,15.1,,,,,,,,,,,
2016-17,CHI,76,37,108,104.7,3.3,24.3,2.62,19.7,4.4,11.8,8.1,7.5,49.2,58.6,26.1,96.48,16.4,,,,,,,,,,,
2015-16,CHI,67,36.9,104.2,104.5,-0.3,21.8,2.43,18.9,3.1,10.3,6.8,7.8,48.5,56.2,24.2,96.53,14.1,,,,,,,,,,,
2014-15,CHI,65,38.7,107.4,102.7,4.6,14.2,2.28,14.9,4.5,9.9,7.3,6.5,50.2,58.3,21.3,94.13,13.8,,,,,,,,,,,
2013-14,CHI,67,38.7,102.9,98.9,4,11,1.72,15.5,3.4,9.5,6.5,9.1,44.6,52.2,16.7,91.09,9.5,,,,,,,,,,,
2012-13,CHI,82,26,103.2,100.7,2.4,8.8,1.85,14.6,6.4,9.2,7.7,7.8,50.6,57.4,14.4,90.64,10.6,,,,,,,,,,,
2011-12,CHI,42,8.5,104,91.8,12.2,6.1,1,10.5,6.1,8.5,7.3,10.5,41.8,52.6,14.3,91.11,8.4,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,MIA,22,30.8,3,1.8,3,9.5,9.4,8.7,10.6,32.5,0.4,0.9,1,4.9,,,,,,,,,,,,,,
2023-24,MIA,60,34,3.3,2.2,2.6,9.5,11.1,9.5,9.5,32.8,0.3,1.1,1.1,5.2,,,,,,,,,,,,,,
2022-23,MIA,64,33.4,4,3,2.9,11.5,11.1,8.4,9,33.2,0.3,0.8,1.3,5.7,,,,,,,,,,,,,,
2021-22,MIA,57,33.9,3.4,2.4,2.6,10.4,11.3,8.5,8.1,29.5,0.5,0.6,1.5,5.7,,,,,,,,,,,,,,
2020-21,MIA,52,33.6,3.8,1.7,3.1,10.7,10.1,7.7,7.1,28.3,0.3,0.8,1.4,6,,,,,,,,,,,,,,
2019-20,MIA,58,33.8,3.3,1.6,2.4,9.1,10.9,8.3,7.7,30.7,0.6,0.8,1.4,6.7,,,,,,,,,,,,,,
