Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,UTA,27,29.9,17.9,6.6,12.5,52.5,1.4,3.3,43.8,3.4,3.9,86.7,2.3,5.9,8.3,2.5,2.5,1.1,0.9,2.9,35.2,8,0,-1.1,,,,
2023-24,UTA,68,28,15.1,5.8,11,53.2,1.3,3.4,37.1,2.2,2.7,79.5,2.3,6.1,8.5,1.1,1.4,0.6,0.9,2.8,30,24,0,-4.5,,,,
2022-23,ATL,71,30,13.1,5.1,10,50.8,1,3.4,29.2,2,2.5,80.3,1.1,5.4,6.5,1.2,1.1,0.6,1,3.1,26.5,11,0,-0.3,,,,
2021-22,ATL,54,30.8,16.2,6.3,11.9,52.6,1.2,3.3,36.4,2.5,3.1,79.3,1.7,6.1,7.8,1.8,1.1,0.6,1,3,32.2,16,0,0.7,,,,
2020-21,ATL,63,29.3,17.6,6.8,12.2,55.6,1.3,3.3,39.9,2.7,3.2,83.3,1.9,5.5,7.4,1.2,1.3,0.5,1,3.1,31.7,16,0,2.9,,,,
2019-20,ATL,41,33.2,21.6,8.6,14.8,58.3,1.4,3.6,40.1,2.9,3.7,80,2.8,7.3,10.1,1.5,1.8,0.8,1.6,3.4,41.2,22,0,-4,,,,
2018-19,ATL,61,30,19.5,7.6,13.6,56,0.9,2.6,34.8,3.3,4.4,76.3,3.6,6.2,9.8,2,2,0.4,0.6,3.3,35.2,32,0,-1.2,,,,
2017-18,ATL,74,24.1,10.5,4.2,7.4,57.6,0.2,0.6,34,1.8,2.5,71.5,2.4,4.9,7.3,1.3,1.4,0.6,1.1,2.9,25,11,0,-3,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,UTA,27,29.9,112.7,115.2,-2.5,13.5,1,13.2,8,18.6,13.6,13.2,58.3,63.2,22.8,101.35,13.3,,,,,,,,,,,
2023-24,UTA,68,28,114.2,121.7,-7.5,6,0.79,7.7,7.9,22.2,14.9,9.8,59,62.1,19.9,101.3,11.1,,,,,,,,,,,
2022-23,ATL,71,30,115,115.2,-0.2,5.2,1.08,9,3.5,18,10.7,8.3,55.7,59.3,16.8,102.6,8.6,,,,,,,,,,,
2021-22,ATL,54,30.8,113.5,112.7,0.8,8.8,1.63,11.2,5.6,19,12.4,6.8,57.6,61,20.2,98.71,11.9,,,,,,,,,,,
2020-21,ATL,63,29.3,116,111.7,4.3,6.5,0.93,7.7,6.4,18.3,12.5,8.2,61,64.5,21.4,99.99,12.5,,,,,,,,,,,
2019-20,ATL,41,33.2,107,112.1,-5.1,7.5,0.8,7.5,8,20.8,14.4,9.3,63.2,65.9,22.4,104.32,15.2,,,,,,,,,,,
2018-19,ATL,61,30,111.7,113,-1.4,10.2,1.01,10.2,11.2,19.6,15.4,10.2,59.3,62.7,23,105,13.6,,,,,,,,,,,
2017-18,ATL,74,24.1,101,107.3,-6.2,9,0.93,11.9,9.4,20.1,14.7,12.7,59.1,62,17.4,99.88,11.9,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,UTA,27,29.9,2,3.3,1.5,9.8,14.4,8.5,11.4,31.1,0.9,1.4,2.9,3.8,,,,,,,,,,,,,,
2023-24,UTA,68,28,1.8,2.9,1.5,8.6,10.6,7.8,11.3,31,0.9,1.1,2.8,2.4,,,,,,,,,,,,,,
2022-23,ATL,71,30,2.1,1.4,1.4,6.9,9.5,8.7,9.8,35.4,1,0.6,3.1,2.7,,,,,,,,,,,,,,
2021-22,ATL,54,30.8,2,2,0.8,8.6,9.9,7.7,7.5,28.9,1,0.7,3,3.6,,,,,,,,,,,,,,
2020-21,ATL,63,29.3,1.7,3.1,1.2,9.2,9.6,8.2,7.3,30.7,1,0.8,3.1,3.1,,,,,,,,,,,,,,
2019-20,ATL,41,33.2,3.2,3.4,2.1,13.5,13.6,10,10.8,36.6,1.6,1.3,3.4,3.5,,,,,,,,,,,,,,
2018-19,ATL,61,30,2.7,4.2,1.9,13,13.5,8.9,11.1,32.3,0.6,1.1,3.3,3.8,,,,,,,,,,,,,,
2017-18,ATL,74,24.1,2.1,2.1,1,7.5,9,6.4,6.7,21.4,1.1,0.6,2.9,2.5,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,UTA,27,29.9,73.6,26.4,57,2.5,24.2,8.3,18.8,11.2,54.5,61.6,38.4,94.9,5.1,68.9,31.1,,,,,,,,,,,
2023-24,UTA,68,28,68.9,31.1,60.6,3.5,25.1,10,14.3,12.1,57.1,73,27,98.8,1.2,78.6,21.4,,,,,,,,,,,
2022-23,ATL,71,30,66.1,33.9,62.1,9.7,22.6,11,15.3,16.1,52.4,79.2,20.8,95.7,4.3,82.5,17.5,,,,,,,,,,,
2021-22,ATL,54,30.8,72.7,27.3,62.8,9.8,21.9,5.1,15.3,12.6,53,79.3,20.7,98.4,1.6,82.9,17.1,,,,,,,,,,,
2020-21,ATL,63,29.3,73,27,62.3,9.9,22.4,6.9,15.3,9.8,52.4,72.3,27.7,98.8,1.2,77.4,22.6,,,,,,,,,,,
2019-20,ATL,41,33.2,75.7,24.3,66.4,3.8,20,9.9,13.6,14.7,62.6,74.8,25.2,96.6,3.4,78.5,21.5,,,,,,,,,,,
2018-19,ATL,61,30,81,19,69,2.5,13.9,9.9,17.1,14.1,66.5,72.7,27.3,100,0,75.9,24.1,,,,,,,,,,,
2017-18,ATL,74,24.1,91.4,8.6,76.7,5.4,6.2,9.9,17.1,20.3,71.3,74.2,25.8,100,0,75.5,24.5,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,UTA,27,808,22.8,26,23.6,16.5,14.6,27.6,25.7,30.9,27.7,28.5,16,21.2,24.6,27.5,32.2,24.3,28.7,25.1,,,,,,,,
2023-24,UTA,68,1901,19.9,23.8,20.8,16.6,15.8,20.4,21.5,31.7,32.5,32.3,7,16.6,16.1,30.3,27.2,25.1,21.3,22.4,,,,,,,,
2022-23,ATL,71,2130,16.8,18.1,17.4,15.8,18.7,17.7,18,16.2,26,23.6,7.6,14.1,13.8,35.3,21.8,28.2,21.3,17.8,,,,,,,,
2021-22,ATL,54,1663,20.2,23.4,21.2,15.7,15.8,23.3,23,27.3,27.3,27.3,11.1,14.2,14.8,33.1,23,25.6,26.9,22.5,,,,,,,,
2020-21,ATL,63,1848,21.4,26.3,22.7,17.8,16.4,22.7,22.5,27.3,25.8,26.1,7.8,16.6,13,31.3,27.3,25.9,24.8,24.8,,,,,,,,
