Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,UTA,22,25.6,16,5.4,13,41.5,1.9,5.5,34.2,3.3,4.1,81.1,0.6,2.7,3.4,3.8,2.5,0.9,0.3,1.5,26.8,0,0,-6.8,,,,
2023-24,UTA,55,30.6,17.1,6.1,14.8,41.3,1.7,5.6,29.4,3.2,3.7,88.1,0.9,2.5,3.4,5,2.7,0.6,0.1,1.5,28.4,6,1,-3.5,,,,
2022-23,UTA,61,32.6,20.8,7.5,16.9,44.4,2.5,7.5,33.8,3.3,4,81.6,1.2,2.9,4,4.4,3,0.5,0.2,2,31.5,3,0,0.6,,,,
2021-22,UTA,79,27.1,16,5.9,14.1,41.9,2.4,7.6,31.8,1.8,2.2,82.8,0.8,2.6,3.5,2.5,1.6,0.8,0.2,1.9,25.3,1,0,4.8,,,,
2020-21,UTA,68,26.7,18.4,6.7,15.8,42.5,3.1,8.8,34.7,1.9,2.1,89.6,0.7,3.3,4,2.5,1.7,0.9,0.1,1.6,28.4,0,0,4.4,,,,
2019-20,TOT,71,24,15.2,5.5,12.2,45.4,2.1,5.8,36.8,1.9,2.3,83.6,0.7,1.9,2.6,1.9,1.4,0.6,0.2,1.5,22.5,0,0,-0.1,,,,
2019-20,UTA,42,24.7,15.6,6,12.9,46.2,2.2,6,36.6,1.5,1.9,78.5,0.7,2.1,2.8,1.6,1.4,0.7,0.2,1.8,22.6,0,0,2.2,,,,
2019-20,CLE,29,23,14.6,5,11.2,44.2,2,5.5,37.1,2.6,3,88.4,0.7,1.7,2.4,2.4,1.3,0.6,0.3,1.1,22.3,0,0,-3.3,,,,
2018-19,CLE,81,27.3,16.8,6.5,14.6,44.8,1.8,5.5,32.4,2,2.4,84.4,1,2.3,3.3,2.4,1.7,0.7,0.2,1.4,25.4,1,0,-4.3,,,,
2017-18,TOT,81,23.3,13.9,5.3,11.8,45.1,1.4,3.9,35.2,1.9,2.3,80,0.7,2,2.7,2.7,1.6,0.7,0.1,1.3,22,1,0,-0.5,,,,
2017-18,CLE,28,22.6,12.6,4.7,10.3,45.6,1.6,3.9,40.7,1.7,2.1,81,0.5,1.6,2.1,1.7,1.1,0.7,0.1,1.6,18.9,0,0,-0.6,,,,
2017-18,LAL,53,23.7,14.5,5.6,12.6,44.8,1.3,4,32.4,2,2.5,79.5,0.8,2.2,3,3.3,1.8,0.7,0.1,1.2,23.6,1,0,-0.4,,,,
2016-17,LAL,82,29.2,14.7,5.8,13.1,44.5,1.4,4.3,32.9,1.6,2,79.8,0.6,2.4,3,2.6,2,1.1,0.1,1.8,23.7,0,0,-5.1,,,,
2015-16,LAL,79,32.3,15.5,6,13.9,43.3,1.4,4.1,34.7,2.1,2.6,80.4,1.2,2.8,4,2.4,1.7,1.1,0.1,2.1,25.8,1,0,-7.9,,,,
2014-15,LAL,59,25,11.9,4.5,10.1,44.8,0.6,2.1,31.4,2.2,2.7,82.9,0.9,2.3,3.2,3.5,1.6,0.9,0.2,1.8,22.6,2,0,-4.1,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,UTA,22,25.6,105.2,117.6,-12.4,26.2,1.53,18.2,2.4,10.1,6.2,11.9,48.6,53.9,27.4,101.32,11,,,,,,,,,,,
2023-24,UTA,55,30.6,113.9,119.7,-5.7,24.7,1.9,21,2.8,8.3,5.5,11.1,46.9,52.1,25.5,100.77,9,,,,,,,,,,,
2022-23,UTA,61,32.6,117.4,116.6,0.8,20.9,1.45,17.1,3.6,8.3,6,11.8,51.9,55.8,27.3,100.54,10.2,,,,,,,,,,,
2021-22,UTA,79,27.1,115.7,107,8.7,14.4,1.5,12.9,3,9.1,6.1,8.6,50.4,53.2,25.8,98.29,9.7,,,,,,,,,,,
2020-21,UTA,68,26.7,115.8,108,7.8,14.9,1.46,11.9,2.5,11.7,7.2,8.2,52.2,54.9,28.6,100.87,11.5,,,,,,,,,,,
2019-20,TOT,71,24,110.5,111,-0.5,13,1.4,11.7,2.8,7.8,5.3,8.4,54.2,57.4,25.4,99.87,10.5,,,,,,,,,,,
2019-20,UTA,42,24.7,114.1,110.7,3.4,9.8,1.14,9.5,2.8,8.3,5.5,8.3,54.8,56.9,25.6,100.02,9.7,,,,,,,,,,,
2019-20,CLE,29,23,104.9,111.4,-6.5,18.7,1.79,15.1,2.9,7.1,5,8.4,53.2,58.1,25,99.64,11.8,,,,,,,,,,,
2018-19,CLE,81,27.3,107,115,-8,15.3,1.45,12.4,3.5,8.7,6,8.5,50.9,53.9,26.6,99.17,10.5,,,,,,,,,,,
2017-18,TOT,81,23.3,104.6,106.5,-1.9,19.3,1.74,16.1,2.9,8,5.5,9.3,50.9,54.2,25.3,101.14,11.5,,,,,,,,,,,
2017-18,CLE,28,22.6,106.7,109,-2.3,12.2,1.5,12.3,2,6.8,4.4,8.2,53.3,56.5,23.2,99.75,9.5,,,,,,,,,,,
2017-18,LAL,53,23.7,103.6,105.3,-1.7,22.9,1.82,17.7,3.3,8.7,6,9.7,49.9,53.2,26.4,101.84,12.6,,,,,,,,,,,
2016-17,LAL,82,29.2,104.2,112.6,-8.3,14.3,1.3,14.1,2,8.3,5,10.8,50,52.6,22.8,100.47,8.4,,,,,,,,,,,
2015-16,LAL,79,32.3,99.8,111.9,-12.1,13.9,1.42,12.7,3.3,8.6,5.9,8.9,48.3,51.6,22.5,97.38,8.7,,,,,,,,,,,
2014-15,LAL,59,25,100.8,109.1,-8.3,24.3,2.15,21.3,3.6,9.7,6.5,9.9,48,52.8,23,94.08,10.9,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,UTA,22,25.6,1.9,1.7,1.5,6.1,13.5,10,10.2,27.8,0.3,1,1.5,3,,,,,,,,,,,,,,
2023-24,UTA,55,30.6,1.7,1.9,1.5,7.7,12.2,9.1,11.6,33,0.1,0.9,1.5,2.5,,,,,,,,,,,,,,
2022-23,UTA,61,32.6,2.6,2.3,2.4,8.9,12.5,10.7,12.1,37.6,0.2,0.9,2,3.1,,,,,,,,,,,,,,
2021-22,UTA,79,27.1,2,1.4,1.5,6.3,9.1,6.9,6.7,25,0.2,0.5,1.9,2.1,,,,,,,,,,,,,,
2020-21,UTA,68,26.7,2.4,1.4,2.2,6.9,9.1,7.2,7,27.9,0.1,0.6,1.6,1.9,,,,,,,,,,,,,,
2019-20,TOT,71,24,2.1,1.4,1.5,6.3,8.1,6,6.4,24.2,0.2,0.7,1.5,1.8,,,,,,,,,,,,,,
2019-20,UTA,42,24.7,2.3,1.5,1.6,6.9,7.9,6,5.8,24.5,0.2,0.7,1.8,1.5,,,,,,,,,,,,,,
2019-20,CLE,29,23,1.9,1.2,1.3,5.4,8.5,6,7.2,23.7,0.3,0.8,1.1,2.3,,,,,,,,,,,,,,
2018-19,CLE,81,27.3,2.6,1.4,1.6,6.7,9.7,7,7.2,28.6,0.2,0.7,1.4,2.1,,,,,,,,,,,,,,
2017-18,TOT,81,23.3,2.1,1.5,1.8,5.5,8.6,6.8,5.4,22.7,0.1,0.6,1.3,1.9,,,,,,,,,,,,,,
2017-18,CLE,28,22.6,2.7,1,1.8,3.8,6.8,6.4,5.4,21.9,0.1,0.5,1.6,1.8,,,,,,,,,,,,,,
2017-18,LAL,53,23.7,1.8,1.7,1.8,6.4,9.6,7,5.4,23.1,0.1,0.7,1.2,2,,,,,,,,,,,,,,
2016-17,LAL,82,29.2,2.4,1.1,2.1,6.6,11.6,8.7,9.5,29.8,0.1,0.7,1.8,1.8,,,,,,,,,,,,,,
2015-16,LAL,79,32.3,2.1,1.5,2.1,6.6,10.9,9.9,11.5,33,0.1,1.1,2.1,2.3,,,,,,,,,,,,,,
2014-15,LAL,59,25,2.1,0.9,2.5,5.1,7.7,6.2,7.7,22.3,0.2,0.7,1.8,2.3,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,UTA,22,25.6,58.2,41.8,44.3,6.3,34.9,9.7,20.8,11.6,38.1,26.9,73.1,63.4,36.6,39.5,60.5,,,,,,,,,,,
2023-24,UTA,55,30.6,62.1,37.9,52.2,7.4,29,8.7,18.8,10.1,44.8,37,63,70.3,29.7,46,54,,,,,,,,,,,
2022-23,UTA,61,32.6,55.5,44.5,47.7,4.9,36.6,11.6,15.7,12.4,42.8,21.5,78.5,74.8,25.2,39.5,60.5,,,,,,,,,,,
2021-22,UTA,79,27.1,46.4,53.6,43.6,4.1,45,9.2,11.4,12.4,39.5,22.1,77.9,67.4,32.6,40.6,59.4,,,,,,,,,,,
2020-21,UTA,68,26.7,44.3,55.7,39.8,2.6,49.9,12.1,10.3,13.3,37.3,16.5,83.5,63,37,37.6,62.4,,,,,,,,,,,
2019-20,TOT,71,24,52.4,47.6,44.9,3.5,42.3,9.7,12.8,13.8,41.4,25.6,74.4,77,23,45.4,54.6,,,,,,,,,,,
2019-20,UTA,42,24.7,53,47,47.9,4,42.6,10.1,9.5,14.5,44,23.6,76.4,76.3,23.7,43.2,56.8,,,,,,,,,,,
2019-20,CLE,29,23,51.2,48.8,40.2,2.8,41.8,9.2,18,12.8,37.4,29.4,70.6,78,22,49.3,50.7,,,,,,,,,,,
2018-19,CLE,81,27.3,62.3,37.7,56.5,16.6,31.7,9.8,11.8,15.7,39.9,26.5,73.5,78.5,21.5,40.6,59.4,,,,,,,,,,,
2017-18,TOT,81,23.3,66.7,33.3,56.6,17.1,29.9,12.9,13.5,15.4,39.5,27.7,72.3,79.5,20.5,41.2,58.8,,,,,,,,,,,
2017-18,CLE,28,22.6,62.4,37.6,49.3,19.3,37.4,13.9,13.3,21.2,30,28.7,71.3,79.5,20.5,45.8,54.2,,,,,,,,,,,
2017-18,LAL,53,23.7,68.5,31.5,59.9,16.1,26.5,12.5,13.6,12.7,43.8,27.3,72.7,79.4,20.6,39.1,60.9,,,,,,,,,,,
2016-17,LAL,82,29.2,66.8,33.2,59.8,14.9,29.1,14.3,11.1,16.4,44.8,25.3,74.7,77.8,22.2,38.2,61.8,,,,,,,,,,,
2015-16,LAL,79,32.3,70.9,29.1,59.4,17.1,27.2,13.4,13.4,13.4,42.3,30.5,69.5,75.7,24.3,41.1,58.9,,,,,,,,,,,
2014-15,LAL,59,25,79.7,20.3,65.1,22.2,16.2,20.6,18.7,17.9,43,27.9,72.1,73.7,26.3,34.5,65.5,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,UTA,22,562,27.4,27,28.7,27.9,27.5,33,31,9.7,16.3,14.5,31.7,24.7,20.7,14.9,31.3,14.3,28.1,28.2,,,,,,,,
2023-24,UTA,55,1682,25.5,23.1,26,21,24.3,26.2,24.3,11.3,12.3,12,29.4,27.7,16.3,3.1,23,12.3,19.8,23.4,,,,,,,,
2022-23,UTA,61,1988,27.3,26.2,28.3,26.4,28.6,24.9,24.3,15,12.9,13.4,25.2,29,13.1,6.6,26.1,14.1,21.5,26,,,,,,,,
2021-22,UTA,79,2141,25.8,25.7,28.6,30.2,33.5,17.7,16.3,12.6,13,12.9,20.5,20.9,20.2,7.2,20.3,17.4,17.5,25,,,,,,,,
2020-21,UTA,68,1818,28.6,28.9,31.7,32.8,36,20.7,18.6,11.3,16.3,15.1,19.3,21.5,23.7,5.2,26.4,15,18.2,28.3,,,,,,,,
2019-20,TOT,71,1705,25.4,27.3,27.8,32.5,31.2,24.1,22.1,13.8,11.2,11.8,17.5,19.6,20.1,12.4,27.4,16,18.7,27.5,,,,,,,,
2019-20,UTA,42,1039,25.6,27,28,31.6,31.2,18.5,18.3,13.1,11.7,12,13.9,20.4,22.3,10.3,29.4,18.1,15.4,26.4,,,,,,,,
2019-20,CLE,29,666,25,27.8,27.4,33.9,31.3,32.1,27.5,14.9,10.4,11.4,23.1,18.4,17.2,15.7,25,12.6,23.3,29.2,,,,,,,,
2018-19,CLE,81,2214,26.6,29.3,29.4,29.3,31.5,20.3,19.1,16.6,12.9,13.9,20.4,21.2,18.2,10.7,21.7,11.5,18.4,27.8,,,,,,,,
2017-18,TOT,81,1887,25.3,27.2,27.9,30.3,29.2,23.3,20.8,13.7,12,12.4,25.8,21.3,19.2,3.7,26.4,12.8,19.2,26.9,,,,,,,,
