Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,WAS,28,31.4,21.8,7,16.2,43.5,3.6,8.9,40.6,4.1,4.9,84.7,0.4,2.3,2.7,5,3.6,1.6,0.5,3.4,35.4,0,0,-8.5,,,,
2023-24,WAS,78,30.1,17.4,6.3,15.2,41.3,2.4,7.2,32.6,2.5,2.8,87.7,0.4,2.3,2.7,4.4,2.4,1.1,0.3,3.1,29.1,4,0,-7.1,,,,
2022-23,GSW,82,30,20.4,6.7,15.6,43,2.6,7.8,33.6,4.4,5.1,87,0.4,2.4,2.7,4.5,3.1,0.8,0.3,2.6,30.5,1,0,-0.1,,,,
2021-22,GSW,76,30,18.5,6.2,13.9,44.8,2.8,7.6,36.4,3.2,3.5,92.5,0.4,3,3.4,4,2.5,0.8,0.3,2.7,29.4,2,0,4.3,,,,
2020-21,GSW,51,19.4,12,4,9.3,43.2,1.9,5.4,35.1,2.1,2.3,88.2,0.3,1.5,1.8,1.9,1,0.5,0.2,1.7,18.1,0,0,0.6,,,,
2019-20,GSW,57,22.3,8.8,2.9,8.8,33.3,1.3,4.6,27.9,1.7,2.1,79.8,0.2,1.9,2.1,2.4,1.3,0.6,0.2,1.6,15.9,0,0,-3.5,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,WAS,28,31.4,104.2,116.5,-12.3,25.7,1.39,18.5,1.1,6.8,3.9,13.3,54.6,59.5,28,105.4,10.4,,,,,,,,,,,
2023-24,WAS,78,30.1,108.4,119.5,-11.1,21.2,1.82,19.1,1.3,7.4,4.3,10.4,49.1,52.9,25.6,104.7,7.6,,,,,,,,,,,
2022-23,GSW,82,30,111,111.8,-0.8,23.4,1.46,17.8,1.3,7.3,4.3,12.2,51.4,57.3,28.2,104.15,10.4,,,,,,,,,,,
2021-22,GSW,76,30,112.1,105.5,6.6,20.7,1.63,18.4,1.5,9.4,5.6,11.3,54.8,59.8,25.2,100.05,11.1,,,,,,,,,,,
2020-21,GSW,51,19.4,107.6,106.9,0.7,16.1,1.94,14.8,1.5,7.4,4.4,7.6,53.5,58.1,24.6,101.94,10.1,,,,,,,,,,,
2019-20,GSW,57,22.3,101.8,110,-8.2,16,1.81,17.8,0.7,8.7,4.5,9.8,40.6,45.4,20,103.47,5.1,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,WAS,28,31.4,2.9,1.2,3.6,6.4,13.3,11.2,11.4,35.9,0.5,1.1,3.4,5,,,,,,,,,,,,,,
2023-24,WAS,78,30.1,2.6,1.1,2.8,6.3,10.4,10.5,9.6,37.1,0.3,1,3.1,2.7,,,,,,,,,,,,,,
2022-23,GSW,82,30,2.9,1.4,3.3,6.7,12.4,8.5,8.4,31.1,0.3,0.9,2.6,4.2,,,,,,,,,,,,,,
2021-22,GSW,76,30,2.7,1.1,2.8,5.8,10.4,7.5,7.2,27.3,0.3,0.8,2.7,3,,,,,,,,,,,,,,
2020-21,GSW,51,19.4,1.4,0.7,1.3,3.6,6.9,5.8,4.8,20.7,0.2,0.3,1.7,2,,,,,,,,,,,,,,
2019-20,GSW,57,22.3,1.6,0.4,1,2.1,8.4,5.6,7,23.8,0.2,0.6,1.6,1.9,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
