Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,UTA,28,31.5,15.6,5.3,13.4,39.5,2.7,7.6,35,2.4,3,79.8,0.4,2.9,3.4,5.7,3.3,0.8,0.2,1.8,27.7,1,0,-6.7,,,,
2023-24,UTA,75,27,13,4.3,10.9,39.1,2,5.9,33.4,2.5,3,84.8,0.2,2.6,2.8,4.4,2.5,0.5,0.1,1.2,22.2,1,0,-5,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,UTA,28,31.5,111.7,122.3,-10.7,27.2,1.71,24.1,1.4,9.2,5.3,14.1,49.5,53.2,23.5,100.15,8,,,,,,,,,,,
2023-24,UTA,75,27,109.6,118.9,-9.3,24.4,1.77,23.3,0.7,9.5,5.1,13.2,48.2,53.3,22.4,100.98,8.1,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,UTA,28,31.5,1.7,1.4,1.7,4.4,15.6,8.7,14.8,36.9,0.2,0.8,1.8,2.5,,,,,,,,,,,,,,
2023-24,UTA,75,27,1.7,0.8,1.6,3.7,11,8.1,11.3,29.9,0.1,0.7,1.2,2.7,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,UTA,28,31.5,42.9,57.1,33.3,5,51.4,10.7,15.3,11,28.3,35.6,64.4,72,28,54.1,45.9,,,,,,,,,,,
2023-24,UTA,75,27,46,54,35.3,7,45.3,12.1,19.4,12.9,28.3,36.6,63.4,70.1,29.9,52,48,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,UTA,28,882,23.5,20.2,23.8,29.5,31.3,19.7,20,5,13.9,11.3,35.1,27,17.4,5.2,18.3,15.6,19.8,21.3,,,,,,,,
2023-24,UTA,75,2023,22.4,19,22.3,28.9,29.4,23.3,22.5,3.1,13.9,11.2,30.9,26.9,14.8,2.9,19.2,12.5,24.6,20.8,,,,,,,,
