Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,DAL,32,27.8,14.2,5.1,12.2,41.4,3.1,7.9,38.7,1,1.1,91.4,0.6,2.8,3.4,1.9,1.3,0.9,0.4,1.3,23.9,0,0,4.6,,,,
2023-24,GSW,77,29.7,17.9,6.4,14.7,43.2,3.5,9,38.7,1.6,1.8,92.7,0.5,2.8,3.3,2.3,1.5,0.6,0.5,1.6,27,0,0,0.1,,,,
2022-23,GSW,69,33,21.9,7.9,18.1,43.6,4.4,10.6,41.2,1.7,1.9,87.9,0.6,3.6,4.1,2.4,1.8,0.7,0.4,1.9,32,2,0,2.4,,,,
2021-22,GSW,32,29.4,20.4,7.7,17.9,42.9,3.6,9.3,38.5,1.4,1.6,90.2,0.5,3.4,3.9,2.8,1.3,0.5,0.5,1.7,30.9,0,0,2.1,,,,
2018-19,GSW,78,34,21.5,8.4,18,46.7,3.1,7.7,40.2,1.7,2,81.6,0.5,3.4,3.8,2.4,1.5,1.1,0.6,2,33.3,0,0,4.5,,,,
2017-18,GSW,73,34.3,20,7.9,16.1,48.9,3.1,7.1,44,1.1,1.3,83.7,0.4,3.4,3.8,2.5,1.8,0.8,0.5,1.6,30.3,2,0,5.4,,,,
2016-17,GSW,78,34,22.3,8.3,17.6,46.8,3.4,8.3,41.4,2.4,2.8,85.3,0.6,3,3.7,2.1,1.6,0.8,0.5,1.8,32.2,0,0,10.3,,,,
2015-16,GSW,80,33.3,22.1,8.1,17.3,47,3.5,8.1,42.5,2.4,2.8,87.3,0.4,3.4,3.8,2.1,1.7,0.8,0.6,1.9,32.2,0,0,10.5,,,,
2014-15,GSW,77,31.9,21.7,7.8,16.9,46.3,3.1,7.1,43.9,2.9,3.3,87.9,0.4,2.9,3.2,2.9,1.9,1.1,0.8,1.6,33.6,1,0,10.1,,,,
2013-14,GSW,81,35.4,18.4,6.9,15.5,44.4,2.8,6.6,41.7,1.8,2.3,79.5,0.5,2.6,3.1,2.2,1.7,0.9,0.5,2.9,27.9,1,0,6.6,,,,
2012-13,GSW,82,35.8,16.6,6.2,14.7,42.2,2.6,6.4,40.1,1.6,1.9,84.1,0.4,3.3,3.7,2.2,1.9,1,0.5,2.9,27.3,0,0,1.3,,,,
2011-12,GSW,66,24.4,12.5,4.8,10.9,44.3,1.7,4.1,41.4,1.2,1.4,86.8,0.4,2.1,2.4,2,1.6,0.7,0.3,2.3,20,0,0,-2,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,DAL,32,27.8,117.6,110.4,7.2,9.4,1.48,12.2,2.1,9.4,5.8,8.3,54,55.9,21.1,100.14,8.5,,,,,,,,,,,
2023-24,GSW,77,29.7,115.8,116.1,-0.3,11,1.5,11.9,1.5,9.3,5.4,7.9,55.1,57.6,23.4,101.9,9,,,,,,,,,,,
2022-23,GSW,69,33,115.4,112.6,2.9,10.5,1.33,10.2,1.7,10.1,6,7.7,55.6,57.6,25.6,103.95,10,,,,,,,,,,,
2021-22,GSW,32,29.4,111.4,108,3.3,15.3,2.05,12.1,1.5,10.6,6.2,5.9,52.9,54.7,28.4,101.53,11.4,,,,,,,,,,,
2018-19,GSW,78,34,115,108.5,6.5,10.3,1.62,10.5,1.5,8.9,5.5,6.5,55.3,57.1,25.4,102.39,10.3,,,,,,,,,,,
2017-18,GSW,73,34.3,112.6,105.6,7.1,10.8,1.45,12.1,1.4,8.9,5.5,8.3,58.6,59.9,23.2,101.38,10.3,,,,,,,,,,,
2016-17,GSW,78,34,116.5,102.4,14.1,9,1.25,9.1,2,8.1,5.3,7.3,56.5,59.2,25.8,101.02,10.9,,,,,,,,,,,
2015-16,GSW,80,33.3,116,101.3,14.6,9.4,1.2,9.3,1.4,9,5.5,7.7,56.9,59.7,26,101.35,11.4,,,,,,,,,,,
2014-15,GSW,77,31.9,114.1,98.9,15.2,13.7,1.49,12.5,1.1,8.2,4.9,8.4,55.5,59.1,27.2,100.37,12.6,,,,,,,,,,,
2013-14,GSW,81,35.4,109.4,100.3,9.1,9.7,1.34,10.9,1.4,7,4.3,8.1,53.3,55.5,22.4,97.77,8.4,,,,,,,,,,,
2012-13,GSW,82,35.8,106,104.2,1.8,9.9,1.17,11.3,1.1,8.9,5.1,9.7,50.9,53.3,21.6,96.3,7.6,,,,,,,,,,,
2011-12,GSW,66,24.4,102.8,107.2,-4.4,14.2,1.29,13.4,1.5,8.6,5.1,10.4,52,54.5,24.3,94.33,8.7,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,DAL,32,27.8,1.8,1.8,1.7,1.9,9.4,8.3,8.4,28.3,0.4,0.3,1.3,0.8,,,,,,,,,,,,,,
2023-24,GSW,77,29.7,2.4,2.1,2.2,3.1,10.5,8.3,9.1,32.1,0.5,0.4,1.6,1.2,,,,,,,,,,,,,,
2022-23,GSW,69,33,3.3,2.2,3.5,4.1,12.5,9.1,10.6,34.1,0.4,0.5,1.9,1.3,,,,,,,,,,,,,,
2021-22,GSW,32,29.4,3.1,2.4,3,4.4,10.3,7.9,8.6,28.4,0.5,0.4,1.7,1.3,,,,,,,,,,,,,,
2018-19,GSW,78,34,2.8,1.4,3.5,5.4,12.5,9.8,10.7,33.7,0.6,0.5,2,2.2,,,,,,,,,,,,,,
2017-18,GSW,73,34.3,2.4,1.3,3.8,4.1,13,9.9,10.4,33.1,0.5,0.4,1.6,1.7,,,,,,,,,,,,,,
2016-17,GSW,78,34,4,2.3,4.2,5.4,10.6,10.1,10,32.1,0.5,0.6,1.8,2,,,,,,,,,,,,,,
2015-16,GSW,80,33.3,3.1,2,4.1,6.2,11.7,9.4,9.7,31.3,0.6,0.5,1.9,2.1,,,,,,,,,,,,,,
2014-15,GSW,77,31.9,3.2,1.4,4.1,5.9,10,9.1,8.9,27,0.8,0.7,1.6,2.5,,,,,,,,,,,,,,
2013-14,GSW,81,35.4,2.9,2,2.8,4.3,12.3,9.7,9.5,29.7,0.5,0.6,2.9,2.1,,,,,,,,,,,,,,
2012-13,GSW,82,35.8,2.8,1.4,3.2,3.2,12.7,10.5,10.1,31.1,0.5,0.4,2.9,1.8,,,,,,,,,,,,,,
2011-12,GSW,66,24.4,2.4,1.3,1.5,2.8,7.7,7.6,7,22.1,0.3,0.5,2.3,1.2,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,DAL,32,27.8,35.3,64.7,28.2,14.5,64.8,12.1,7,12.8,13.7,67.2,32.8,95.9,4.1,84.6,15.4,,,,,,,,,,,
2023-24,GSW,77,29.7,38.9,61.1,32.3,15,58.5,12.4,9.2,13.4,17.3,72.1,27.9,93.7,6.3,83.9,16.1,,,,,,,,,,,
2022-23,GSW,69,33,41.6,58.4,32.5,13.9,59.8,15.9,7.7,15.2,18.6,72.7,27.3,89,11,81.7,18.3,,,,,,,,,,,
2021-22,GSW,32,29.4,48.3,51.7,40.5,19,52.5,14.7,7,15.2,21.5,63.6,36.4,88.6,11.4,75.2,24.8,,,,,,,,,,,
2018-19,GSW,78,34,57.3,42.7,49.3,24.2,43,16.4,7.7,13.2,25.1,74.6,25.4,91.7,8.3,80.9,19.1,,,,,,,,,,,
2017-18,GSW,73,34.3,55.8,44.2,47.4,26.8,47,19,5.6,12.1,20.5,74.3,25.7,95.2,4.8,82.6,17.4,,,,,,,,,,,
2016-17,GSW,78,34,53,47,43.2,19.2,46.2,18.9,10.6,18,24,75,25,95.5,4.5,83.5,16.5,,,,,,,,,,,
2015-16,GSW,80,33.3,53.1,46.9,42.3,14.3,46.8,18.3,10.9,13.8,28,72.5,27.5,92.4,7.6,81,19,,,,,,,,,,,
2014-15,GSW,77,31.9,58,42,43.5,16.3,43,18.7,13.5,14.9,27.2,55.6,44.4,90.8,9.2,69.6,30.4,,,,,,,,,,,
2013-14,GSW,81,35.4,57.5,42.5,45.2,21.6,45,15.5,9.8,15.9,23.5,62.2,37.8,94.6,5.4,75.1,24.9,,,,,,,,,,,
