Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,BOS,14,27.9,18.3,6.1,13.3,45.7,1.9,5.6,32.9,4.3,5.1,84.5,1.8,5,6.8,1.7,1,0.8,1.4,2.4,34.4,1,0,2.6,,,,
2023-24,BOS,57,29.6,20.1,6.8,13.2,51.6,1.9,5.1,37.5,4.5,5.3,85.8,1.7,5.5,7.2,2,1.6,0.7,1.9,2.7,38.2,13,0,7.3,,,,
2022-23,WAS,65,32.6,23.2,7.8,15.7,49.8,2.1,5.5,38.5,5.4,6.4,85.1,1.8,6.6,8.4,2.7,2.1,0.9,1.5,3,42.4,20,0,1.2,,,,
2021-22,TOT,51,29,20.2,6.9,15,45.9,1.5,4.9,31,4.9,5.6,86.7,2,6.1,8.1,2.3,1.6,0.7,1.6,2.7,38.9,15,0,0.6,,,,
2021-22,WAS,17,28.2,22.1,7.2,15.2,47.5,1.7,4.6,36.7,5.9,6.8,87.1,2.2,6.6,8.8,2.9,1.6,0.7,1.5,2.9,42,6,0,-0.9,,,,
2021-22,DAL,34,29.5,19.2,6.7,14.9,45.1,1.4,5.1,28.3,4.3,5,86.5,1.9,5.8,7.7,2,1.6,0.7,1.7,2.6,37.3,9,0,1.4,,,,
2020-21,DAL,43,30.9,20.1,7.6,15.9,47.6,2.3,6,37.6,2.7,3.2,85.5,1.9,7,8.9,1.6,1.2,0.5,1.3,2.7,37.4,16,0,0.2,,,,
2019-20,DAL,57,31.8,20.4,7,16.4,42.7,2.5,7.1,35.2,4,5,79.9,1.8,7.7,9.5,1.8,1.6,0.7,2,3.2,41.1,25,0,4.7,,,,
2017-18,NYK,48,32.4,22.7,8.1,18.5,43.9,1.9,4.8,39.5,4.5,5.7,79.3,1.3,5.3,6.6,1.2,1.9,0.8,2.4,2.9,39.8,5,0,0.3,,,,
2016-17,NYK,66,32.8,18.1,6.7,14.9,45,1.7,4.8,35.7,3,3.8,78.6,1.7,5.5,7.2,1.5,1.8,0.7,2,3.7,35.2,12,0,-1.5,,,,
2015-16,NYK,72,28.4,14.3,5.2,12.3,42.1,1.1,3.4,33.3,2.8,3.3,83.8,1.8,5.5,7.3,1.3,1.7,0.7,1.9,2.8,31.1,21,0,0.2,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,BOS,14,27.9,112.9,109.8,3.1,9.5,1.71,9.3,5.8,17.1,11.3,5.4,52.7,58.9,24.5,102.11,13,,,,,,,,,,,
2023-24,BOS,57,29.6,120.8,109.6,11.2,9.8,1.29,10.6,5.9,16.3,11.5,8.2,58.9,64.7,24.7,100.55,13.8,,,,,,,,,,,
2022-23,WAS,65,32.6,116.2,114.8,1.4,12.5,1.27,11.6,5.7,19.4,13,9.1,56.5,62.7,27.2,99.2,14.5,,,,,,,,,,,
2021-22,TOT,51,29,109.9,109.5,0.4,13.3,1.47,10.9,6.8,20.4,13.7,7.4,51,57.7,28.6,97.92,15,,,,,,,,,,,
2021-22,WAS,17,28.2,114,116.6,-2.6,16.8,1.79,12.9,8.4,23.3,16,7.2,53.1,60.6,31.2,98.43,16.4,,,,,,,,,,,
2021-22,DAL,34,29.5,108,106.1,1.8,11.6,1.3,9.9,6.2,19,12.6,7.6,49.9,56.1,27.4,97.68,14.2,,,,,,,,,,,
2020-21,DAL,43,30.9,116,115.3,0.7,8.1,1.33,7.9,6.2,21.9,14.1,5.9,54.7,58.2,25.9,98.93,13.5,,,,,,,,,,,
2019-20,DAL,57,31.8,116.1,109.3,6.9,8.8,1.11,8.2,5.2,22.1,13.7,7.4,50.3,55.1,26.3,101.54,12.8,,,,,,,,,,,
2017-18,NYK,48,32.4,107.1,106.7,0.4,6.3,0.61,4.9,3.9,15.4,9.8,8,48.9,53.9,30.5,97.78,12.5,,,,,,,,,,,
2016-17,NYK,66,32.8,106.4,108.7,-2.4,7.3,0.82,7.4,5,15.9,10.5,9,50.7,54.6,24,97.86,10.6,,,,,,,,,,,
2015-16,NYK,72,28.4,104.6,104.3,0.3,7.6,0.78,7.7,6.3,18.4,12.4,10,46.7,51.8,24.3,94.93,11.3,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,BOS,14,27.9,1.4,1.9,1.4,7,8.9,6.1,8,25,1.4,0.8,2.4,5,,,,,,,,,,,,,,
2023-24,BOS,57,29.6,1.8,2.4,1.2,8.6,8.2,8.8,9,28.5,1.9,0.3,2.7,4.9,,,,,,,,,,,,,,
2022-23,WAS,65,32.6,2.6,2.8,0.7,8.7,11.1,9.4,10.4,34,1.5,0.9,3,6.1,,,,,,,,,,,,,,
2021-22,TOT,51,29,2.3,2.6,1.5,8.2,8.4,6.4,7.2,26.8,1.6,0.6,2.7,4.6,,,,,,,,,,,,,,
2021-22,WAS,17,28.2,2.4,2.4,0.7,7.9,8.6,6.2,5.8,28.2,1.5,0.6,2.9,5.6,,,,,,,,,,,,,,
2021-22,DAL,34,29.5,2.2,2.7,1.9,8.3,8.3,6.5,7.9,26.1,1.7,0.5,2.6,4.1,,,,,,,,,,,,,,
2020-21,DAL,43,30.9,1.8,2.7,1.2,8.1,9.1,8.5,9.1,29.3,1.3,0.7,2.7,3.5,,,,,,,,,,,,,,
2019-20,DAL,57,31.8,2.5,2.9,1.1,6.4,9.1,8.3,10.8,29,2,0.6,3.2,3.9,,,,,,,,,,,,,,
2017-18,NYK,48,32.4,2.9,1.7,1.2,7,10.6,9.2,7.1,27.5,2.4,0.9,2.9,5.9,,,,,,,,,,,,,,
