Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,WAS,17,26.4,15.1,6.2,13.7,45.5,1.1,4.2,26.8,1.5,2.5,58.1,0.6,4.8,5.4,2.1,2.2,0.6,0.2,1.6,25.1,1,0,-8.7,,,,
2023-24,WAS,70,32.6,22.2,8.7,18.8,46.3,2.2,6.4,33.6,2.7,3.4,77.5,0.9,5.7,6.6,4.2,2.7,0.5,0.7,2.2,37.4,14,0,-8,,,,
2022-23,WAS,64,35,21.2,8,17.8,44.8,2.5,7.5,33.3,2.7,3.7,73,0.9,6.4,7.2,3.7,3,0.6,0.5,2.3,35.6,14,1,0.2,,,,
2021-22,WAS,66,33.4,17.1,6.4,14.2,45.2,1.9,5.7,34.1,2.4,3.3,71.2,1.1,7.4,8.5,3.5,2.6,0.6,0.9,1.9,34.6,24,1,-4.3,,,,
2020-21,LAL,68,28.7,12.9,4.9,11.1,44.3,2,5.6,36.1,1,1.4,69.1,1.6,4.5,6.1,1.9,1.7,0.5,0.6,1.8,24.7,13,0,0,,,,
2019-20,LAL,61,25,12.8,4.8,11,43.6,1.4,4.5,31.6,1.9,2.5,73.5,0.9,3.6,4.5,1.3,1.5,0.5,0.4,2.1,21.3,2,0,3,,,,
2018-19,LAL,70,33.1,18.7,7.1,15.5,45.6,1.8,6,30.3,2.7,3.6,75.2,0.9,4.6,5.5,2.5,1.9,0.6,0.4,2.4,30,4,0,-0.8,,,,
2017-18,LAL,77,31.2,16.1,6.1,13.5,45,2.1,5.6,36.6,1.9,2.7,70.7,1.1,5.1,6.3,1.8,1.8,0.6,0.4,2.1,27.8,17,0,-1.6,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,WAS,17,26.4,101.9,116.9,-14.9,12.6,0.92,10.8,2.2,17.3,9.5,11.7,49.6,50.8,25.8,105.13,9.1,,,,,,,,,,,
2023-24,WAS,70,32.6,109.7,120.8,-11,20.1,1.54,15.6,2.6,17,9.8,10.1,52.1,54.7,29.5,103.56,11.4,,,,,,,,,,,
2022-23,WAS,64,35,112.9,112.6,0.3,16.4,1.26,14.3,2.5,17.2,10.2,11.4,51.8,54.4,27.3,100.4,10.9,,,,,,,,,,,
2021-22,WAS,66,33.4,108.2,114.3,-6.1,16.4,1.38,16.2,3.2,21.3,12.6,11.8,52,54.7,23.8,98.94,11.8,,,,,,,,,,,
2020-21,LAL,68,28.7,104.8,105.4,-0.6,10,1.12,12.2,5.4,15.7,10.5,10.9,53.3,54.6,19.8,99.72,9.7,,,,,,,,,,,
2019-20,LAL,61,25,110.1,105.2,4.9,7.6,0.88,8.9,3.3,13.5,8.5,10.1,50,53.1,22.1,103.35,8.5,,,,,,,,,,,
2018-19,LAL,70,33.1,108.4,109.7,-1.3,11.3,1.34,11.8,2.5,12.7,7.7,8.8,51.5,54.6,23.3,104.67,9.6,,,,,,,,,,,
2017-18,LAL,77,31.2,105.3,107.5,-2.2,9.1,1.01,10,3.5,15.4,9.5,10,52.7,54.9,21.9,101.81,10.4,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,WAS,17,26.4,1.9,0.9,3.4,9.2,11,7.5,11.2,28.7,0.2,0.7,1.6,2.2,,,,,,,,,,,,,,
2023-24,WAS,70,32.6,3.4,1.3,3.9,11.3,11.1,11.7,10.5,41.7,0.7,0.7,2.2,2.7,,,,,,,,,,,,,,
2022-23,WAS,64,35,2.3,1.8,3.2,9.8,12.5,10.4,9.7,37.6,0.5,0.9,2.3,2.8,,,,,,,,,,,,,,
2021-22,WAS,66,33.4,1.9,1.7,1.8,7.6,10.6,9.3,6.2,35.2,0.9,0.5,1.9,2.8,,,,,,,,,,,,,,
2020-21,LAL,68,28.7,2.1,2,2.1,5,10.1,6.4,6.8,28.8,0.6,0.4,1.8,1.4,,,,,,,,,,,,,,
2019-20,LAL,61,25,2.4,1.7,2.4,5.7,8.4,6.2,7.6,24.2,0.4,0.4,2.1,1.8,,,,,,,,,,,,,,
2018-19,LAL,70,33.1,2.6,1.6,3.4,9.4,12.4,9.2,10.3,35,0.4,1,2.4,2.8,,,,,,,,,,,,,,
2017-18,LAL,77,31.2,2.3,1.9,2.6,6.9,11.7,9,8.1,31.9,0.4,0.7,2.1,2.1,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,WAS,17,26.4,69.5,30.5,68,7,22.3,22.3,9.7,12.5,60.9,56.3,43.7,73.7,26.3,59.4,40.6,,,,,,,,,,,
2023-24,WAS,70,32.6,65.7,34.3,58.9,7.9,29.2,17.5,11.9,15.4,51,54,46,78.8,21.2,60.2,39.8,,,,,,,,,,,
2022-23,WAS,64,35,57.9,42.1,51.9,5.7,35.4,15.2,12.7,11,46.1,46.6,53.4,78.1,21.9,56.4,43.6,,,,,,,,,,,
2021-22,WAS,66,33.4,59.9,40.1,52.2,8,34,10.3,13.8,10.9,44.2,49.2,50.8,88.3,11.7,61,39,,,,,,,,,,,
