Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,UTA,28,31.9,19.3,6.1,14.1,43,2.8,7.8,35.8,4.4,4.9,89.1,1.8,4.5,6.3,2,1.4,0.8,0.3,1.6,31.6,3,0,-4.9,,,,
2023-24,UTA,55,33.1,23.2,7.8,16.2,48,3.2,8,39.9,4.5,5,89.9,2.2,5.9,8.2,2,1.4,0.9,0.5,1.8,38.8,19,0,0.4,,,,
2022-23,UTA,66,34.4,25.6,8.7,17.3,49.9,3,7.7,39.2,5.3,6,87.5,2,6.7,8.6,1.9,1.9,0.6,0.6,2.1,40.5,28,0,2.5,,,,
2021-22,CLE,61,30.8,14.8,5.1,11.5,44.5,2.2,6.2,35.8,2.3,2.6,86.8,1,4.7,5.7,1.3,0.9,0.7,0.5,2.1,26.3,3,0,2.8,,,,
2020-21,CHI,51,25.8,13.6,4.9,10.2,48,2.3,5.8,40.2,1.5,1.8,82.6,0.7,4.6,5.3,0.9,1,0.5,0.3,1.5,22.6,2,0,-0.9,,,,
2019-20,CHI,50,29.8,14.7,5,11.8,42.5,2.2,6.3,34.4,2.5,3.1,82.4,1.2,5.1,6.3,1.5,1.6,0.8,0.5,1.9,26.8,3,0,-1.4,,,,
2018-19,CHI,52,32.3,18.7,6.6,15.3,43,2.3,6.4,36.1,3.3,3.8,87.2,1.4,7.6,9,1.4,1.6,0.7,0.6,2.3,34.1,20,0,-3.8,,,,
2017-18,CHI,68,29.7,15.2,5.5,12.7,43.4,2.1,5.9,36.2,2.1,2.4,84.3,1.2,6.3,7.5,1.2,1.2,0.6,0.6,1.5,28.2,14,0,-5.7,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,UTA,28,31.9,110.8,118.3,-7.5,9.7,1.38,10.1,5.4,13.8,9.6,7.3,52.9,59.4,22.5,101.15,11.5,,,,,,,,,,,
2023-24,UTA,55,33.1,117.6,116.9,0.6,9,1.43,9.2,6.5,17.6,12.1,6.4,57.8,63.1,24.1,102.49,13.6,,,,,,,,,,,
2022-23,UTA,66,34.4,117.4,113.6,3.8,8.6,0.97,7.9,5.5,18.3,12,8.2,58.7,64.1,25.9,101.06,15.4,,,,,,,,,,,
2021-22,CLE,61,30.8,113.9,109.9,3.9,6.2,1.5,8.9,3.3,14.7,9.2,5.9,54.2,58.2,19.2,97.7,9.7,,,,,,,,,,,
2020-21,CHI,51,25.8,107.1,109.9,-2.8,5.1,0.87,6.9,2.7,17.3,10.1,7.9,59.4,61.9,19.7,100.78,11,,,,,,,,,,,
2019-20,CHI,50,29.8,105.3,107.3,-2,7.7,0.91,9.1,3.8,17.4,10.4,10,51.7,56,20.9,101.72,10.3,,,,,,,,,,,
2018-19,CHI,52,32.3,106.8,112.3,-5.5,7,0.88,7.3,4.3,23.4,13.8,8.2,50.6,55.3,24.5,99.33,12.5,,,,,,,,,,,
2017-18,CHI,68,29.7,101.5,110.5,-9,6.4,0.95,7.3,3.7,21.7,12.3,7.6,51.8,55.2,21.5,99.49,11.4,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,UTA,28,31.9,2.5,2.8,2.6,5.9,14.6,9.6,13,33.4,0.3,0.8,1.6,3.9,,,,,,,,,,,,,,
2023-24,UTA,55,33.1,2.5,3.2,2,8.3,12.8,9.4,12.1,35.9,0.5,0.8,1.8,4.4,,,,,,,,,,,,,,
2022-23,UTA,66,34.4,3.1,3.8,2.7,10.2,12.7,10.3,11.9,38,0.6,1,2.1,4.5,,,,,,,,,,,,,,
2021-22,CLE,61,30.8,2.4,1.6,1.9,5.3,10.8,8.2,7.7,30.2,0.5,0.8,2.1,2.4,,,,,,,,,,,,,,
2020-21,CHI,51,25.8,1.2,1.7,0.9,5,10,6.2,6.7,27.1,0.3,0.5,1.5,1.9,,,,,,,,,,,,,,
2019-20,CHI,50,29.8,2.4,1.7,2,5.4,11.7,7.9,7.7,31.4,0.5,0.8,1.9,2.4,,,,,,,,,,,,,,
2018-19,CHI,52,32.3,2.3,2.3,1.7,7.2,11.4,8.9,8.7,33.4,0.6,0.7,2.3,3.2,,,,,,,,,,,,,,
