Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,LAL,33,34.9,23.8,9.2,18.1,50.7,2.2,5.7,38.6,3.3,4.3,76.9,0.9,6.8,7.7,8.8,3.7,0.8,0.5,1.4,46.6,17,8,-4,,,,
2023-24,LAL,71,35.3,25.7,9.6,17.9,54,2.1,5.1,41,4.3,5.7,75,0.9,6.4,7.3,8.3,3.5,1.3,0.5,1.1,48.8,27,5,3.1,,,,
2022-23,LAL,55,35.5,28.9,11.1,22.2,50,2.2,6.9,32.1,4.6,5.9,76.8,1.2,7.1,8.3,6.8,3.2,0.9,0.6,1.6,50.3,18,2,3.9,,,,
2021-22,LAL,56,37.2,30.3,11.4,21.8,52.4,2.9,8,35.9,4.5,6,75.6,1.1,7.1,8.2,6.2,3.5,1.3,1.1,2.2,53,21,6,-2.1,,,,
2020-21,LAL,45,33.4,25,9.4,18.3,51.3,2.3,6.3,36.5,4,5.7,69.8,0.6,7,7.7,7.8,3.7,1.1,0.6,1.6,47,18,5,6.4,,,,
2019-20,LAL,67,34.6,25.3,9.6,19.4,49.3,2.2,6.3,34.8,3.9,5.7,69.3,1,6.9,7.8,10.2,3.9,1.2,0.5,1.8,51.3,46,13,6.6,,,,
2018-19,LAL,55,35.2,27.4,10.1,19.9,51,2,5.9,33.9,5.1,7.6,66.5,1,7.4,8.5,8.3,3.6,1.3,0.6,1.7,52,32,8,2.1,,,,
2017-18,CLE,82,36.9,27.5,10.5,19.3,54.2,1.8,5,36.7,4.7,6.5,73.1,1.2,7.5,8.6,9.1,4.2,1.4,0.9,1.7,54.1,52,18,1.3,,,,
2016-17,CLE,74,37.8,26.4,9.9,18.2,54.8,1.7,4.6,36.3,4.8,7.2,67.4,1.3,7.3,8.6,8.7,4.1,1.2,0.6,1.8,51.3,42,13,6.5,,,,
2015-16,CLE,76,35.6,25.3,9.7,18.6,52,1.1,3.7,30.9,4.7,6.5,73.1,1.5,6,7.4,6.8,3.3,1.4,0.6,1.9,47.1,28,3,8.1,,,,
2014-15,CLE,69,36.1,25.3,9,18.5,48.8,1.7,4.9,35.4,5.4,7.7,71,0.7,5.3,6,7.4,3.9,1.6,0.7,2,46.5,22,2,7.8,,,,
2013-14,MIA,77,37.7,27.1,10,17.6,56.7,1.5,4,37.9,5.7,7.6,75,1.1,5.9,6.9,6.3,3.5,1.6,0.3,1.6,47.2,12,1,5.3,,,,
2012-13,MIA,76,37.9,26.8,10.1,17.8,56.5,1.4,3.3,40.6,5.3,7,75.3,1.3,6.8,8,7.3,3,1.7,0.9,1.4,52.1,36,4,9.5,,,,
2011-12,MIA,62,37.5,27.1,10,18.9,53.1,0.9,2.4,36.2,6.2,8.1,77.1,1.5,6.4,7.9,6.2,3.4,1.9,0.8,1.5,50.6,23,0,7.6,,,,
2010-11,MIA,79,38.8,26.7,9.6,18.8,51,1.2,3.5,33,6.4,8.4,75.9,1,6.5,7.5,7,3.6,1.6,0.6,2.1,49.2,31,4,7.8,,,,
2009-10,CLE,76,39,29.7,10.1,20.1,50.3,1.7,5.1,33.3,7.8,10.2,76.7,0.9,6.4,7.3,8.6,3.4,1.6,1,1.6,55.8,31,4,8.6,,,,
2008-09,CLE,81,37.7,28.4,9.7,19.9,48.9,1.6,4.7,34.4,7.3,9.4,78,1.3,6.3,7.6,7.2,3,1.7,1.1,1.7,53.9,29,7,10.8,,,,
2007-08,CLE,75,40.4,30,10.6,21.9,48.4,1.5,4.8,31.5,7.3,10.3,71.2,1.8,6.1,7.9,7.2,3.4,1.8,1.1,2.2,55.6,31,7,1.8,,,,
2006-07,CLE,78,40.9,27.3,9.9,20.8,47.6,1.3,4,31.9,6.3,9,69.8,1.1,5.7,6.7,6,3.2,1.6,0.7,2.2,48.2,16,1,4.8,,,,
2005-06,CLE,79,42.5,31.4,11.1,23.1,48,1.6,4.8,33.5,7.6,10.3,73.8,0.9,6.1,7,6.6,3.3,1.6,0.8,2.3,53.6,21,5,3.5,,,,
2004-05,CLE,80,42.3,27.2,9.9,21.1,47.2,1.4,3.9,35.1,6,8,75,1.4,6,7.4,7.2,3.3,2.2,0.7,1.8,52.1,25,4,1.9,,,,
2003-04,CLE,79,39.6,20.9,7.9,18.9,41.7,0.8,2.7,29,4.4,5.8,75.4,1.3,4.2,5.5,5.9,3.5,1.6,0.7,1.9,40,12,0,-1.8,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,LAL,33,34.9,109.9,116.4,-6.6,43.3,2.41,27.3,2.5,19.5,11,11.3,56.8,59.7,28.3,101.08,16.6,,,,,,,,,,,
2023-24,LAL,71,35.3,117.4,113.6,3.8,35.8,2.4,26,2.6,17.2,10.4,10.8,59.9,63,28.5,101.54,16.9,,,,,,,,,,,
2022-23,LAL,55,35.5,115.6,111,4.6,30.8,2.11,19.8,3.3,19.1,11.4,9.4,54.9,58.3,32.2,103.11,17.2,,,,,,,,,,,
2021-22,LAL,56,37.2,110.9,113.5,-2.5,29.7,1.78,18.4,3.1,18.5,10.9,10.4,59,61.9,31.7,100.92,18,,,,,,,,,,,
2020-21,LAL,45,33.4,112.4,103.2,9.2,39.4,2.08,24.3,2,20.2,11.4,11.7,57.6,60.2,31,100.41,19.1,,,,,,,,,,,
2019-20,LAL,67,34.6,112.1,103.6,8.5,47.7,2.62,28.5,2.8,19.1,11,10.9,55,57.7,30.8,101.5,19.8,,,,,,,,,,,
2018-19,LAL,55,35.2,109.6,107.6,2,37.6,2.3,23.6,2.9,19.3,11.4,10.2,56,58.8,31.1,104.12,18.8,,,,,,,,,,,
