Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,SAC,30,30.8,17,6,13.7,43.9,2.4,7,34.9,2.6,2.9,88.5,0.3,3.3,3.6,5.2,2,0.9,0.5,2.5,31.6,3,0,3.1,,,,
2023-24,SAC,72,26,15.4,5.5,12.4,44.3,2.1,5.9,35,2.4,2.8,82.9,0.4,2.6,2.9,5.1,2.1,0.6,0.5,2.2,28.1,2,0,0.1,,,,
2022-23,SAC,77,22.3,13.5,4.6,10.3,44.8,1.9,5.2,35.9,2.4,2.7,88.9,0.4,2.2,2.6,3.9,1.9,0.6,0.3,1.6,23.3,0,0,0.9,,,,
2021-22,LAL,76,28.1,13.8,5.1,10.9,47.3,2.3,5.8,39.1,1.2,1.5,79.5,0.5,2.9,3.4,2.9,1.6,0.8,0.4,1.8,24.1,1,0,0.7,,,,
2020-21,CHA,42,20.9,11.7,4.1,9.5,43.4,2,5,40.1,1.4,1.7,81.9,0.3,2.1,2.4,2.1,1.3,0.5,0.1,1.1,18,0,0,0.8,,,,
2019-20,CHA,55,21.3,10.3,3.9,8.9,43.4,1.1,3.7,28.4,1.5,1.8,82,0.5,2.4,2.9,2.1,1.4,0.5,0.3,1.3,17.6,1,0,-4.2,,,,
2018-19,CHA,73,17.2,8.9,3.1,8,38.7,1.5,4.5,33,1.2,1.4,88.2,0.2,1.7,1.9,1.6,1.2,0.5,0.3,1.5,14.7,0,0,-0.6,,,,
2017-18,CHA,63,13.5,6.7,2.4,6.7,36,1.3,3.9,34.2,0.5,0.6,84.2,0.1,0.9,1,1.4,0.8,0.3,0.1,1,10.7,0,0,-3,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,SAC,30,30.8,115.4,110.6,4.9,23.9,2.64,23.7,0.9,10.8,5.7,9,52.8,56.9,22.4,102.19,10.8,,,,,,,,,,,
