Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,DEN,34,34.7,19.1,7.3,13.9,52.4,2.7,6.3,42.3,1.9,2.6,71.1,1.6,5,6.5,2.6,1.4,0.7,0.4,2.1,32.7,5,0,5.5,,,,
2023-24,DEN,81,31.7,16.7,6.4,13.3,48.4,2.7,6.8,39.7,1.1,1.4,83.6,1.3,5.7,7,1.5,1.1,0.5,0.7,1.8,29.8,14,0,5.8,,,,
2022-23,DEN,62,29,17.4,6.4,13.2,48.7,3,7.3,41.4,1.5,1.9,80,1,4.5,5.5,1,1.1,0.6,0.5,1.9,27.7,3,0,6.7,,,,
2021-22,DEN,9,29.4,9.9,4.1,11.4,35.9,1.1,5.3,20.8,0.6,1,55.6,1,5.6,6.6,1.9,1.3,1.1,0.2,1.8,23.3,1,0,6.4,,,,
2020-21,DEN,61,31.3,19,7.3,13.4,54.2,2.8,6.3,44.5,1.7,2.2,79.1,1.5,5.8,7.3,1.1,1.3,0.7,0.9,2.1,32.9,15,0,5.9,,,,
2019-20,DEN,55,16.4,9.3,3.5,7,50.9,1.1,2.7,42.2,1.1,1.3,83.3,1.2,3.5,4.7,0.8,0.9,0.5,0.5,1.8,18.2,9,0,0.4,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,DEN,34,34.7,119.9,113.1,6.8,10,1.83,13.7,4.7,13.2,9.2,7.5,62.1,63.5,19.5,101.8,10.5,,,,,,,,,,,
2023-24,DEN,81,31.7,120.2,112.1,8.1,6.4,1.33,9.1,4.2,17.7,11.1,6.9,58.6,60.1,20.2,97.81,10.6,,,,,,,,,,,
2022-23,DEN,62,29,122.6,112.2,10.4,4.8,0.96,6.5,3.8,15.1,9.7,6.8,60.2,62.1,22,100.42,10.3,,,,,,,,,,,
2021-22,DEN,9,29.4,104.5,94.7,9.8,8.5,1.42,12.6,3.5,17.2,10.8,8.9,40.8,41.6,19.2,100.33,7.4,,,,,,,,,,,
2020-21,DEN,61,31.3,120.2,111.9,8.3,5.2,0.91,6.9,5.1,18.9,12.1,7.6,64.6,66.3,21.4,98.1,12.5,,,,,,,,,,,
2019-20,DEN,55,16.4,113,112.4,0.7,7.4,0.94,9,7,21.4,14.1,9.6,59,61.7,21.1,101.26,12.3,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,DEN,34,34.7,2.8,2.8,2.6,7.5,12.1,10.1,12.9,37.6,0.4,0.7,2.1,2,,,,,,,,,,,,,,
2023-24,DEN,81,31.7,2.6,2.3,2.6,4.8,9.5,7.9,9.4,33.5,0.7,0.5,1.8,1.2,,,,,,,,,,,,,,
2022-23,DEN,62,29,2.3,2,3.4,5.1,9.9,8.6,9,32.7,0.5,0.5,1.9,1.4,,,,,,,,,,,,,,
2021-22,DEN,9,29.4,2,0.9,2.3,3.8,10.3,6.3,7.2,31.6,0.2,0.4,1.8,1.1,,,,,,,,,,,,,,
2020-21,DEN,61,31.3,3,2.3,3.1,7.1,9.9,7.7,8.6,29.6,0.9,0.4,2.1,1.6,,,,,,,,,,,,,,
2019-20,DEN,55,16.4,1.3,1.7,1.2,4,5.7,4.6,4.2,16.1,0.5,0.5,1.8,1.1,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,DEN,34,34.7,54.5,45.5,48.2,8.9,41.9,13.8,9.9,14.7,39.3,79.6,20.4,93.4,6.6,84.7,15.3,,,,,,,,,,,
2023-24,DEN,81,31.7,48.7,51.3,44.5,15.9,48.7,15.6,6.8,15.3,28.6,75.8,24.2,96.4,3.6,84.5,15.5,,,,,,,,,,,
2022-23,DEN,62,29,44.4,55.6,38.9,9.8,52.2,19.5,8.9,13.3,29.1,76.7,23.3,92.6,7.4,84.2,15.8,,,,,,,,,,,
2021-22,DEN,9,29.4,53.4,46.6,60.7,22.5,33.7,23.6,5.6,20.2,38.2,70.4,29.6,90,10,75.7,24.3,,,,,,,,,,,
2020-21,DEN,61,31.3,53.2,46.8,47,9.8,43.9,16.4,9.1,15.8,37.2,71.4,28.6,91.8,8.2,79.2,20.8,,,,,,,,,,,
2019-20,DEN,55,16.4,61.6,38.4,52,9,36.3,12.5,11.7,13.9,43,63.2,36.8,83.9,16.1,69.7,30.3,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,DEN,34,1179,19.5,22,21.5,30,28.8,14.3,15.2,19.6,20.5,20.3,10.9,14.5,11.1,12.8,17.7,17.2,13.6,21.7,,,,,,,,
2023-24,DEN,81,2565,20.2,21.5,22.4,35.4,33.3,11.1,10.3,17.3,25.3,23.3,7.4,14.4,11.4,20.1,15.4,16.6,10,21.5,,,,,,,,
2022-23,DEN,62,1798,22,22.8,24.6,38.8,37.9,14.8,14.4,17.2,21.8,20.7,5.5,13.4,13.3,18.8,19.1,18.3,11.7,23.3,,,,,,,,
2021-22,DEN,9,265,19.2,15.5,21.6,18.2,27.6,10,11.7,20.5,23.6,23,12.1,12.9,23.8,8.7,18.2,18.2,10.3,15.3,,,,,,,,
2020-21,DEN,61,1912,21.4,24.9,23.3,32.8,29,16.7,17.3,23.2,26.4,25.7,6.1,14.9,12.4,28.1,14.5,18.7,13.6,24.6,,,,,,,,
2019-20,DEN,55,903,21.1,23.8,22.4,30.5,26.1,18.9,17.6,30.6,30.9,30.8,9.1,19.4,18.2,29.8,26.7,25.3,15.6,23.7,,,,,,,,
