Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,NYK,37,39.2,18.6,7.7,15.2,50.6,2.4,6.7,34.9,0.8,1.2,70.5,0.9,2.4,3.3,3.2,1.6,1.1,0.5,1.5,30.6,0,0,5.9,,,,
2023-24,BKN,82,34.8,19.6,6.9,15.8,43.6,2.7,7.2,37.2,3.1,3.9,81.4,0.8,3.7,4.5,3.6,2,1,0.4,1.4,32.6,3,0,-2.3,,,,
2022-23,TOT,83,35.7,20.1,7.1,15.3,46.8,2,5.3,38.2,3.8,4.3,89.5,1,3.4,4.4,3.3,1.5,1.1,0.7,1.9,34.3,2,0,0.4,,,,
2022-23,BKN,27,34.2,26.1,8.9,18.6,47.5,2.5,6.7,37.6,5.9,6.6,89.4,0.9,3.6,4.5,2.7,1.8,1,0.6,1.6,38.4,1,0,-0.3,,,,
2022-23,PHX,56,36.4,17.2,6.3,13.6,46.3,1.8,4.7,38.7,2.8,3.1,89.7,1,3.3,4.3,3.6,1.4,1.2,0.8,2.1,32.3,1,0,0.8,,,,
2021-22,PHX,82,34.8,14.2,5.6,10.5,53.4,1.4,3.8,36.9,1.6,1.9,83.4,0.9,3.3,4.2,2.3,0.8,1.2,0.4,1.8,26.6,0,0,7,,,,
2020-21,PHX,72,32.6,13.5,5,9.3,54.3,1.9,4.4,42.5,1.5,1.8,84,1.1,3.2,4.3,2.1,0.8,1.1,0.9,1.6,26.8,2,0,4.7,,,,
2019-20,PHX,73,28,9.1,3.4,6.6,51,1,2.7,36.1,1.4,1.7,84.4,0.9,3.1,4,1.8,1,1.4,0.6,2.2,21.7,1,0,1.6,,,,
2018-19,PHX,82,29.5,8.3,3,6.9,43,1.3,3.8,33.5,1.2,1.4,80.5,0.7,2.5,3.2,2.1,0.9,1.6,0.5,2.5,20.6,0,0,-4.7,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,NYK,37,39.2,119.9,112.2,7.7,11.3,2.02,15.5,2.5,6,4.3,7.7,58.3,59.1,18.9,98.56,8.6,,,,,,,,,,,
2023-24,BKN,82,34.8,111,114.3,-3.3,16.3,1.82,15.9,2.2,10.5,6.3,8.7,52.1,56,23.8,98.35,10.5,,,,,,,,,,,
2022-23,TOT,83,35.7,114,113.2,0.8,14.1,2.15,15.1,2.6,9.4,6,7,53.5,58.7,22.3,98.56,11.2,,,,,,,,,,,
2022-23,BKN,27,34.2,112.3,112.6,-0.3,14.2,1.47,10.3,2.4,10.2,6.3,7,54.3,60.7,29.5,97.97,14.4,,,,,,,,,,,
2022-23,PHX,56,36.4,114.8,113.5,1.3,14.1,2.58,18.1,2.7,9.1,5.9,7,52.9,57.4,19.1,98.83,9.9,,,,,,,,,,,
2021-22,PHX,82,34.8,116.7,106.9,9.8,8.4,2.72,15.7,2.7,8.9,6,5.8,60.1,62.7,14.9,100.59,9.1,,,,,,,,,,,
2020-21,PHX,72,32.6,117.5,110,7.4,8.5,2.67,16.3,3.5,9.9,6.8,6.1,64.3,66.7,14.7,98.32,9.9,,,,,,,,,,,
2019-20,PHX,73,28,111,108.1,2.9,8.6,1.77,17.4,3.2,10.7,7,9.9,58.3,62,12.5,103.12,8.2,,,,,,,,,,,
2018-19,PHX,82,29.5,105.3,112,-6.8,9.7,2.47,20.3,2.3,8.5,5.4,8.2,52.3,55.6,11.9,102.19,6.4,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,NYK,37,39.2,2.7,2.2,3.1,8.1,11.4,9.9,11.8,39.2,0.5,0.2,1.5,1.4,,,,,,,,,,,,,,
2023-24,BKN,82,34.8,2.8,1.9,2.5,6.6,10.7,10.1,11.4,35.4,0.4,0.7,1.4,3.1,,,,,,,,,,,,,,
2022-23,TOT,83,35.7,3.3,1.9,2.6,7.3,11.6,10.5,9.5,37.2,0.7,0.7,1.9,3.4,,,,,,,,,,,,,,
2022-23,BKN,27,34.2,3.8,2.2,2.4,8.5,10.8,10.4,8.3,36.4,0.6,0.7,1.6,4.3,,,,,,,,,,,,,,
2022-23,PHX,56,36.4,3,1.7,2.6,6.8,11.9,10.5,10.1,37.6,0.8,0.6,2.1,2.9,,,,,,,,,,,,,,
2021-22,PHX,82,34.8,3,1.1,2.8,7.4,10,10.3,8.3,33.3,0.4,0.4,1.8,1.9,,,,,,,,,,,,,,
2020-21,PHX,72,32.6,2.9,1.8,2.9,5.8,10.1,8.9,8.1,32.1,0.9,0.3,1.6,1.6,,,,,,,,,,,,,,
2019-20,PHX,73,28,2,1.1,1.8,4.5,9.3,7,7,28.8,0.6,0.5,2.2,1.9,,,,,,,,,,,,,,
2018-19,PHX,82,29.5,2.4,0.8,1.8,3.1,11.6,9.7,8.8,31.8,0.5,0.4,2.5,1.3,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
