Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,IND,35,31.3,15.1,5.6,11.3,49.2,1.9,4.9,39.3,2,2.8,72.4,1.4,5.6,7,1.6,2.1,0.8,2.1,2.8,32.5,6,0,0.6,,,,
2023-24,IND,77,27,17.1,6.2,11.8,52.4,1.5,4.2,35.8,3.2,4.1,77.3,1.5,5.5,6.9,1.3,1.4,0.5,1.9,3,33,17,0,2.9,,,,
2022-23,IND,62,29.4,18,6.5,11.8,54.8,1.5,4,37.3,3.5,4.5,78.3,1.4,6.1,7.5,1.4,1.7,0.6,2.3,3.5,36,18,0,-0.8,,,,
2021-22,IND,42,29.4,12.9,4.8,9.4,50.9,1.5,4.4,33.3,1.9,2.5,75.2,1.5,5.5,7.1,1,1.3,0.7,2.8,2.8,32.1,9,0,-0.3,,,,
2020-21,IND,47,31,12.6,4.4,9.2,47.7,1.5,4.4,33.5,2.4,3,78.2,1.3,5.2,6.5,1,1.4,0.9,3.4,3.5,33.2,7,0,0.5,,,,
2019-20,IND,62,29.4,12.1,4.3,9.5,45.7,1.4,4,34.4,2,2.7,75.1,1.4,5.2,6.6,1.2,1.4,0.7,2.1,2.7,28.9,9,0,-0.1,,,,
2018-19,IND,74,28.6,13.3,5.1,10.5,48.7,1,2.6,38.8,2,2.7,73.6,1.4,5.8,7.2,1.6,1.4,0.8,2.7,2.6,33.4,17,0,1.6,,,,
2017-18,IND,65,28.2,12.7,4.7,9.8,47.9,0.9,2.4,35.7,2.5,3.2,77.7,1.4,5,6.4,1.3,1.5,0.6,1.8,2.9,28.2,11,0,1.8,,,,
2016-17,IND,81,31.4,14.5,5.5,10.7,51.1,0.5,1.4,34.8,3,3.7,80.9,1.7,5.6,7.3,1.3,1.3,0.9,2.1,3.2,33,15,0,1.8,,,,
2015-16,IND,60,22.8,10.3,4.4,8.8,49.8,0.1,0.2,21.4,1.5,2,72.7,1.1,4.4,5.5,0.7,1.1,0.4,1.4,2.6,22.4,4,0,-1.2,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,IND,35,31.3,113.9,112.6,1.3,7.3,0.73,9.7,4.8,17.5,11.4,13.2,57.8,60.2,20.5,99.78,9.7,,,,,,,,,,,
2023-24,IND,77,27,120.6,115.5,5.1,6.5,0.92,8,5.6,19.8,12.8,8.7,58.7,62.6,23.4,102.52,11.6,,,,,,,,,,,
2022-23,IND,62,29.4,115.1,116.3,-1.2,7.4,0.86,8.5,4.9,20.5,12.8,9.8,61.2,65.1,22.5,101.22,12.5,,,,,,,,,,,
2021-22,IND,42,29.4,109.7,109.9,-0.3,5.3,0.81,8.2,5.2,18.8,12,10.1,58.7,61.5,17.3,97.75,11.1,,,,,,,,,,,
