Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,NYK,37,36.5,16.3,6.2,13.1,47.4,2.1,5.9,34.9,1.8,2.3,78.8,1.2,3.7,4.9,1.9,1.3,1.4,0.9,2.4,30.9,0,0,6.2,,,,
2023-24,TOT,50,34,14.7,5.6,11.5,48.9,2,5.3,38.2,1.3,1.8,75.3,0.9,3.2,4.2,2.1,1.6,1.4,0.7,2.4,27.5,0,0,7.8,,,,
2023-24,NYK,23,34.9,14.1,5.4,11.1,48.8,1.8,4.5,39.4,1.5,1.9,79.1,1,3.4,4.4,1.5,1.7,1.7,1,2.5,28.3,0,0,15.3,,,,
2023-24,TOR,27,33.3,15.1,5.8,11.9,48.9,2.3,6,37.4,1.2,1.7,71.7,0.9,3,3.9,2.7,1.6,1,0.5,2.3,26.8,0,0,1.4,,,,
2022-23,TOR,67,35.6,16.8,6.3,13.2,47.6,2.1,5.5,38.7,2.1,2.5,83.8,1.4,3.5,5,2,2,1.9,0.7,3,31.7,2,0,2,,,,
2021-22,TOR,48,36,17.1,6.4,14.5,44.3,2.4,6.6,36.3,1.9,2.5,75.4,1.5,4,5.5,2.6,1.7,1.5,0.5,2.7,32,3,0,2.8,,,,
2020-21,TOR,43,33.3,15.9,5.8,12.1,48,2.4,6.1,39.8,1.9,2.4,78.4,1.3,4.3,5.5,2.2,1.7,1.5,0.7,2.7,30.8,3,0,2.7,,,,
2019-20,TOR,69,29.9,10.6,4.1,8.2,50.5,1.3,3.3,39,1,1.5,70.6,1.2,4.1,5.3,1.6,1.1,1.4,0.7,2.4,24.3,5,0,4,,,,
2018-19,TOR,67,20.2,7,2.7,6,45.3,1,3,33.2,0.5,0.9,58.1,0.9,2.1,2.9,0.7,0.8,0.7,0.3,2.1,13.8,0,0,-0.7,,,,
2017-18,TOR,74,20,5.9,2.2,4.7,47.1,1,2.7,37.1,0.5,0.8,62.9,0.6,1.9,2.5,0.7,0.6,0.7,0.2,1.8,12.1,0,0,4,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,NYK,37,36.5,120,111.7,8.3,7.2,1.47,11.2,3.6,10,6.9,7.6,55.3,57.7,18.4,98,8.3,,,,,,,,,,,
2023-24,TOT,50,34,118.2,107.2,10.9,8.4,1.32,13.4,2.8,9.1,6.1,10.1,57.7,59.5,17.3,98.71,8.1,,,,,,,,,,,
2023-24,NYK,23,34.9,122.6,100.9,21.7,5.8,0.92,10.1,3,9.2,6.3,11,56.8,59.1,16.8,96.65,8.1,,,,,,,,,,,
2023-24,TOR,27,33.3,114.4,112.6,1.8,10.7,1.67,15.9,2.7,9,5.9,9.5,58.4,59.8,17.8,100.53,8.1,,,,,,,,,,,
2022-23,TOR,67,35.6,114.4,111.4,3,8,0.99,10.7,3.7,11,7,10.8,55.6,58.6,19.2,98.34,8.7,,,,,,,,,,,
2021-22,TOR,48,36,112,108.1,3.9,10.8,1.56,13.1,4,11.6,7.6,8.4,52.6,54.9,20.4,97.07,9.2,,,,,,,,,,,
2020-21,TOR,43,33.3,112.4,109.1,3.3,9.8,1.25,12.8,3.7,12.5,8.1,10.2,58,60.5,19.3,99.9,9.9,,,,,,,,,,,
2019-20,TOR,69,29.9,110.3,104.2,6.2,7.4,1.37,13.6,3.8,12.9,8.5,9.9,58.4,60,14.2,101.93,8.6,,,,,,,,,,,
2018-19,TOR,67,20.2,104.9,106.5,-1.7,5,0.85,8.8,4,10,6.9,10.3,53.6,54.4,14.8,103.04,5.7,,,,,,,,,,,
2017-18,TOR,74,20,113,103,10,4.9,1.22,11.7,3,9,6.1,9.5,57.7,58.7,12.1,99.62,5.6,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,NYK,37,36.5,3.4,1.6,3.4,7.7,10.4,9,10.9,35.7,0.9,1.1,2.4,1.8,,,,,,,,,,,,,,
2023-24,TOT,50,34,2.7,1.4,3.3,6.3,10.6,9.3,9.6,35.3,0.7,0.8,2.4,1.5,,,,,,,,,,,,,,
2023-24,NYK,23,34.9,3,2.1,2.7,6.7,10,8.5,10.5,34.1,1,0.9,2.5,1.5,,,,,,,,,,,,,,
2023-24,TOR,27,33.3,2.4,0.9,3.8,6,11.1,10,8.8,36.4,0.5,0.7,2.3,1.6,,,,,,,,,,,,,,
2022-23,TOR,67,35.6,4,2.1,3.8,7.4,11.4,7.8,10.8,36.6,0.7,1,3,2.3,,,,,,,,,,,,,,
2021-22,TOR,48,36,3.7,2.2,2.7,6.8,10.4,9.5,8.8,34.4,0.5,1,2.7,2.3,,,,,,,,,,,,,,
2020-21,TOR,43,33.3,3,1.4,2.3,6.2,10.3,9.9,7.3,29.1,0.7,0.9,2.7,1.9,,,,,,,,,,,,,,
2019-20,TOR,69,29.9,2.7,1.3,2,5.6,10.1,8.4,7.9,26.5,0.7,0.9,2.4,1.3,,,,,,,,,,,,,,
2018-19,TOR,67,20.2,1.2,0.9,1.1,3.3,7.3,5.5,6.3,20.5,0.3,0.5,2.1,0.9,,,,,,,,,,,,,,
2017-18,TOR,74,20,1.1,0.7,0.9,2.4,6.5,5.2,5.6,20.3,0.2,0.3,1.8,0.7,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,NYK,37,36.5,55.1,44.9,51.1,4,37.8,20.7,11.1,20.6,47.1,76.6,23.4,100,0,84.3,15.7,,,,,,,,,,,
2023-24,TOT,50,34,53.7,46.3,49.1,6,41.7,22.5,9.2,18.3,43.1,68.9,31.1,96.1,3.9,78.7,21.3,,,,,,,,,,,
2023-24,NYK,23,34.9,59.4,40.6,51.7,4.3,37.8,19.4,10.5,21.2,47.4,64.3,35.7,97.6,2.4,75.2,24.8,,,,,,,,,,,
2023-24,TOR,27,33.3,49.2,50.8,47.1,7.4,44.9,25,8,15.9,39.7,72.9,27.1,95.1,4.9,81.5,18.5,,,,,,,,,,,
2022-23,TOR,67,35.6,58.5,41.5,49.6,5.5,37.9,22.6,12.5,23.8,44.1,56.6,43.4,95.8,4.2,69.8,30.2,,,,,,,,,,,
2021-22,TOR,48,36,54.5,45.5,47.2,7.3,42,15.6,10.8,21.5,39.9,46.4,53.6,87,13,61.5,38.5,,,,,,,,,,,
