Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,IND,37,33.4,19.6,7.5,14.5,51.6,1.9,4.4,42.3,2.8,3.7,76.5,1.6,5.7,7.3,3.4,1.3,0.9,0.3,2.8,35.6,6,0,1.6,,,,
2023-24,TOT,80,33.2,21.7,8.5,15.9,53.6,1.1,3.1,34.6,3.6,5,73.2,1.7,5.3,7.1,4.3,1.8,0.8,0.3,2.4,38.1,15,1,1.4,,,,
2023-24,IND,41,31.8,21.3,8.7,15.8,54.9,1,2.5,38.6,3,4.2,69.9,2.1,5.7,7.8,3.7,1.4,0.8,0.4,2.6,38.1,10,1,2.5,,,,
2023-24,TOR,39,34.7,22.2,8.3,16,52.2,1.2,3.7,31.7,4.3,5.7,75.8,1.4,4.9,6.3,4.9,2.1,0.8,0.3,2.2,38.2,5,0,0.2,,,,
2022-23,TOR,71,37.4,24.2,8.9,18.5,48,1.3,4,32.4,5.2,6.7,77.4,1.8,6,7.8,5.8,2.4,0.9,0.5,3.2,44.3,24,2,1.7,,,,
2021-22,TOR,68,37.9,22.8,8.8,17.8,49.4,1.1,3.2,34.4,4.2,5.6,74.9,1.9,6.6,8.5,5.3,2.7,1.3,0.6,3.3,43.9,30,2,3.8,,,,
2020-21,TOR,56,35.8,21.4,7.8,17.2,45.5,1.3,4.4,29.7,4.4,5.4,82.7,1.7,5.5,7.2,4.5,2.3,1.1,0.7,3.1,39.8,13,1,2.3,,,,
2019-20,TOR,60,35.2,22.9,8.3,18.4,45.3,2.2,6.1,35.9,4,5.1,79.2,1.1,6.3,7.3,3.5,2.5,1,0.9,2.8,40,12,0,6.6,,,,
2018-19,TOR,80,31.8,16.9,6.5,11.8,54.9,1,2.7,36.9,3,3.8,78.5,1.6,5.3,6.9,3.1,1.9,0.9,0.7,3,32.6,18,0,7.4,,,,
2017-18,TOR,81,20.7,7.3,3.1,6.1,50.8,0.4,1.6,22,0.7,1.1,62.1,1,3.5,4.5,2,0.8,0.8,0.5,2,18.6,0,0,3.7,,,,
2016-17,TOR,55,15.6,4.2,1.9,3.7,50.2,0,0.1,14.3,0.4,0.6,68.8,1.2,2.2,3.4,0.3,0.6,0.5,0.8,2,11.9,0,0,-0.9,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,IND,37,33.4,112.3,110,2.3,15.3,2.6,16.3,5,16.5,10.9,6.2,58,60.9,22.2,101.28,12.8,,,,,,,,,,,
2023-24,TOT,80,33.2,117.6,115.3,2.2,18.9,2.43,17.8,5.2,15.9,10.5,7.4,56.9,60.1,25,100.99,13.2,,,,,,,,,,,
2023-24,IND,41,31.8,119.4,115.4,4.1,16.8,2.62,16.3,6.5,17.7,12.1,6.2,57.9,60.2,25.2,101.58,13.6,,,,,,,,,,,
2023-24,TOR,39,34.7,115.8,115.3,0.4,20.9,2.29,19.3,3.9,14.2,9,8.4,55.9,60,24.8,100.42,12.8,,,,,,,,,,,
2022-23,TOR,71,37.4,115.6,113.3,2.4,24.4,2.46,19.7,4.7,17.7,10.7,8,51.5,56.5,27,98.17,13.5,,,,,,,,,,,
2021-22,TOR,68,37.9,114.3,109.6,4.8,22.4,1.99,18.8,4.6,18.2,11.1,9.5,52.5,56.5,25.7,96.31,13.9,,,,,,,,,,,
2020-21,TOR,56,35.8,114.4,111.4,3,19.5,1.92,17,4.5,15.6,9.9,8.8,49.3,54.7,26.1,99.5,11.9,,,,,,,,,,,
2019-20,TOR,60,35.2,111.8,103,8.8,16.1,1.4,13,3,16.2,9.8,9.3,51.2,55.4,27.8,101.93,12.9,,,,,,,,,,,
2018-19,TOR,80,31.8,114.8,104.2,10.6,14.1,1.61,16.8,5,15.4,10.5,10.5,59.1,62.8,20.5,100.86,12.4,,,,,,,,,,,
2017-18,TOR,81,20.7,111.2,102.3,8.9,13.3,2.37,21,4.8,16.8,10.9,8.9,53.7,54.9,15.4,98.4,10.2,,,,,,,,,,,
2016-17,TOR,55,15.6,105.3,107.3,-2.1,2.8,0.52,6.3,7.7,14.8,11.2,12.2,50.5,52.3,12.9,97.08,6,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
