Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,PHI,24,32,16.2,5.8,14.1,41.4,2.2,6.5,33.5,2.3,2.9,81.2,0.7,4.9,5.6,4.6,2.6,1.8,0.4,2.5,33.8,1,0,-1.3,,,,
2023-24,LAC,74,33.8,22.6,7.9,16.7,47.1,3.3,7.9,41.3,3.6,3.9,90.7,0.5,4.7,5.2,3.5,2.1,1.5,0.5,2.7,38.2,3,0,6.2,,,,
2022-23,LAC,56,34.6,23.8,8.2,17.9,45.7,2.8,7.6,37.1,4.6,5.3,87.1,0.8,5.3,6.1,5.1,3.1,1.5,0.4,2.8,41.2,8,1,2.8,,,,
2021-22,LAC,31,34.8,24.3,8.6,20.5,42.1,2.9,8.3,35.4,4.1,4.8,85.8,0.4,6.5,6.9,5.7,4.1,2.2,0.4,2.4,44.8,7,0,3,,,,
2020-21,LAC,54,33.7,23.3,8.2,17.6,46.7,3.2,7.7,41.1,3.7,4.2,86.8,0.8,5.8,6.6,5.2,3.3,1.1,0.4,2.4,40.5,9,0,8,,,,
2019-20,LAC,48,29.6,21.5,7.1,16.3,43.9,3.3,7.9,41.2,4,4.5,87.6,0.5,5.2,5.7,3.9,2.6,1.4,0.4,2.4,37,5,0,5.4,,,,
2018-19,OKC,77,36.9,28,9.2,21,43.8,3.8,9.8,38.6,5.9,7,83.9,1.4,6.8,8.2,4.1,2.7,2.2,0.4,2.8,49.3,24,1,6.4,,,,
2017-18,OKC,79,36.6,21.9,7.3,17,43,3.1,7.7,40.1,4.3,5.2,82.2,0.9,4.7,5.7,3.3,2.7,2,0.5,2.9,38.6,4,0,2.9,,,,
2016-17,IND,75,35.9,23.7,8.3,18,46.1,2.6,6.6,39.3,4.5,5,89.8,0.8,5.8,6.6,3.3,2.9,1.6,0.4,2.7,39.5,11,0,2.2,,,,
2015-16,IND,81,34.8,23.1,7.5,17.9,41.8,2.6,7,37.1,5.6,6.5,86,1,6,7,4.1,3.3,1.9,0.4,2.8,41,15,0,2.2,,,,
2014-15,IND,6,15.2,8.8,3,8.2,36.7,1.5,3.7,40.9,1.3,1.8,72.7,0.7,3,3.7,1,2,0.8,0.2,1.8,15.7,0,0,2.5,,,,
2013-14,IND,80,36.2,21.7,7.2,17,42.4,2.3,6.3,36.4,5,5.8,86.4,0.8,6,6.8,3.5,2.8,1.9,0.3,2.5,38.8,12,1,4.6,,,,
2012-13,IND,79,37.6,17.4,6.2,14.9,41.9,2.2,5.9,36.2,2.8,3.5,80.7,1.1,6.5,7.6,4.1,2.9,1.8,0.6,2.9,37.2,23,1,4.6,,,,
2011-12,IND,66,29.7,12.1,4.3,9.7,44,1.4,3.5,38.5,2.2,2.8,80.2,0.8,4.8,5.6,2.4,1.8,1.6,0.6,2.9,27.3,2,0,3.7,,,,
2010-11,IND,61,20.7,7.8,2.9,6.5,45.3,0.7,2.3,29.7,1.3,1.7,76.2,0.6,3.1,3.7,1.1,1.1,1,0.4,2.1,17,0,0,-0.1,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,PHI,24,32,105.1,108.1,-3,25,1.76,20.5,2.2,16,8.8,11.6,49.1,52.7,24.4,98.61,11.3,,,,,,,,,,,
2023-24,LAC,74,33.8,121.2,112.1,9.1,15.7,1.71,14.8,1.6,13.8,8,8.7,56.9,61.3,26.4,97.47,12.6,,,,,,,,,,,
2022-23,LAC,56,34.6,116.5,112.5,4,23.7,1.64,18.1,2.5,15.3,9.1,11.1,53.6,58.8,29.4,98.46,13.5,,,,,,,,,,,
2021-22,LAC,31,34.8,108.2,103.9,4.2,28.6,1.4,17.6,1.1,17.1,9.4,12.6,49.3,53.8,32.9,99.95,14.8,,,,,,,,,,,
2020-21,LAC,54,33.7,118.3,107,11.3,23.9,1.56,18.6,2.6,17.1,10.1,11.9,55.7,59.8,29.6,97.55,14.5,,,,,,,,,,,
2019-20,LAC,48,29.6,115,106.3,8.7,20.5,1.48,15.7,1.7,16.1,9.1,10.6,53.9,58.9,29.2,102.25,14.7,,,,,,,,,,,
2018-19,OKC,77,36.9,112.1,103.9,8.2,17.3,1.55,13.5,3.3,17.3,10.1,8.7,52.9,58.3,28.5,104.35,16.1,,,,,,,,,,,
