Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,BOS,37,27.9,14.8,5.1,10.9,46.7,3.5,8.3,42,1.1,1.4,84,1.4,2.3,3.7,3.4,1,0.9,0.1,1.6,26.5,3,0,6.1,,,,
2023-24,BOS,82,22.3,9.6,3.6,7.7,46.8,1.8,4.7,38.5,0.6,0.7,82.1,0.9,2.4,3.2,3.4,0.7,0.5,0.1,1.3,19.5,3,0,5.5,,,,
2022-23,BOS,48,13.4,5.6,2.1,5.1,41.2,1.2,3.2,36.4,0.3,0.3,75,0.5,1.3,1.8,1.3,0.8,0.3,0,0.8,9.9,1,1,0.3,,,,
2021-22,BOS,71,14.1,6.2,2.3,5.3,42.9,1.4,3.5,41.2,0.3,0.3,100,0.5,1.4,1.9,2,0.6,0.4,0.1,0.9,12.2,0,0,0.9,,,,
2020-21,BOS,66,19.2,7.7,2.8,6.3,44,1.5,3.8,41.1,0.6,0.7,88.9,0.5,1.9,2.4,1.8,0.8,0.6,0.1,1.6,14.6,0,0,0.6,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,BOS,37,27.9,121.3,110.5,10.8,17.6,3.26,21.1,4.8,8.1,6.4,6.5,62.6,64.3,19,98.05,11.4,,,,,,,,,,,
2023-24,BOS,82,22.3,122.8,109.2,13.6,20.8,4.61,28,3.8,10.3,7.1,6.1,58.3,59.7,16.8,97.16,10.3,,,,,,,,,,,
2022-23,BOS,48,13.4,107.9,106.5,1.4,15.3,1.6,18,3.8,9.4,6.6,11.2,52.7,53.6,19.3,99.69,7.6,,,,,,,,,,,
2021-22,BOS,71,14.1,109.4,107.2,2.2,22.2,3.39,24.7,3.1,9.3,6.3,7.3,56.4,57.8,18,98.23,10.7,,,,,,,,,,,
2020-21,BOS,66,19.2,111.2,110.6,0.6,13.6,2.26,19.6,2.5,9.9,6.1,8.7,56.2,58.2,16.2,99.38,8.2,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,BOS,37,27.9,1.9,2.2,1.7,2.6,7.3,8.1,7.1,27.6,0.1,0.4,1.6,1.2,,,,,,,,,,,,,,
2023-24,BOS,82,22.3,1.2,1.2,1.2,2.7,6,5.9,5.6,22.2,0.1,0.3,1.3,0.8,,,,,,,,,,,,,,
2022-23,BOS,48,13.4,1,0.9,0.6,1.6,4.3,3.4,4.1,13.8,0,0.2,0.8,0.3,,,,,,,,,,,,,,
2021-22,BOS,71,14.1,1.1,0.4,0.8,1,4.9,4.1,3.8,13,0.1,0.2,0.9,0.4,,,,,,,,,,,,,,
2020-21,BOS,66,19.2,1.3,0.8,0.9,2.1,6.1,5.1,4.2,17.2,0.1,0.3,1.6,0.6,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,BOS,37,27.9,24.2,75.8,21.9,4.4,70.5,11.7,7.6,12.8,17.5,20,80,81.4,18.6,61.9,38.1,,,,,,,,,,,
2023-24,BOS,82,22.3,39.8,60.2,38.1,10.4,56,12.7,5.9,12.5,27.7,27.3,72.7,85,15,55.9,44.1,,,,,,,,,,,
2022-23,BOS,48,13.4,37.1,62.9,33.3,4.4,62.2,11.5,4.5,17.8,28.9,44.4,55.6,87.5,12.5,68.3,31.7,,,,,,,,,,,
2021-22,BOS,71,14.1,34.3,65.7,26.7,11.3,68.6,13.3,4.7,17,15.4,35.6,64.4,80.2,19.8,63.8,36.3,,,,,,,,,,,
2020-21,BOS,66,19.2,40.7,59.3,32.2,5.5,60,11.8,7.8,16.5,26.7,37.8,62.2,84.3,15.7,63.6,36.4,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
