Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,TOR,28,34.1,23.5,8.6,18.5,46.4,1.9,5.6,34.6,4.4,6.1,71.5,1,5.9,6.9,6.1,3.3,0.7,0.4,2.4,40.8,7,2,-4.4,,,,
2023-24,TOT,58,31.7,20.2,7.5,15.2,49.5,1.6,4.3,36,3.6,5,71.5,0.9,4.5,5.4,3.3,2.2,0.5,0.4,2.2,32.3,2,0,-2.6,,,,
2023-24,TOR,32,33.5,21.8,8.5,15.4,55.3,1.5,3.8,39.2,3.3,5.2,62.9,1.1,5.3,6.4,4.1,2.5,0.6,0.4,2.6,36,2,0,-4.3,,,,
2023-24,NYK,26,29.5,18.2,6.3,14.9,42.3,1.7,5,33.1,4,4.8,83.1,0.7,3.5,4.3,2.4,1.8,0.5,0.3,1.7,27.6,0,0,-0.7,,,,
2022-23,NYK,73,33.9,19.6,7,16.1,43.4,1.7,5.3,31,4,5.4,74,0.8,4.2,5,2.8,2.2,0.4,0.2,2.5,29.4,3,0,-0.8,,,,
2021-22,NYK,70,34.5,20,7,17.1,40.8,2,5.8,34.2,4.1,5.8,71.4,0.9,4.9,5.8,3,2.2,0.6,0.2,2,31.9,4,0,-2.1,,,,
2020-21,NYK,72,34.9,17.6,6.5,14.7,44.1,1.7,4.3,40.1,2.9,3.8,74.6,0.9,4.8,5.8,3,1.9,0.7,0.3,2.6,30.1,5,0,1.9,,,,
2019-20,NYK,56,30.4,14.3,5.2,13,40.2,1.1,3.5,32,2.8,4.5,61.4,0.9,4.1,5,2.6,2.2,1,0.3,2.2,25.8,2,0,-5.8,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,TOR,28,34.1,110.3,116.5,-6.2,27.4,1.87,20,2.8,16.4,9.6,10.7,51.6,55.4,28.8,104.06,12.9,,,,,,,,,,,
2023-24,TOT,58,31.7,113.6,116.9,-3.3,15.9,1.53,14.5,2.8,14,8.3,9.5,54.7,58,25.7,101.83,10.9,,,,,,,,,,,
2023-24,TOR,32,33.5,112.9,118.2,-5.3,18.5,1.65,16.8,3.1,15.5,9.3,10.2,60.1,61.5,25,102.66,11.6,,,,,,,,,,,
2023-24,NYK,26,29.5,114.7,115.1,-0.4,12.3,1.34,11.4,2.4,11.8,7,8.5,47.8,53.6,26.6,100.66,9.6,,,,,,,,,,,
2022-23,NYK,73,33.9,115.3,116.5,-1.2,12.4,1.23,11.7,2.3,12.1,7.1,9.6,48.5,53.1,25.6,98.88,8.7,,,,,,,,,,,
2021-22,NYK,70,34.5,108.3,111.6,-3.3,14.6,1.38,12,2.5,13.6,7.9,8.7,46.6,51.1,26.8,97.79,9.9,,,,,,,,,,,
2020-21,NYK,72,34.9,110,107.2,2.7,13.4,1.56,14.1,2.7,13,7.9,9,49.9,53.5,22.8,97.54,9.5,,,,,,,,,,,
2019-20,NYK,56,30.4,105.4,114.5,-9.1,12.7,1.15,12.9,2.7,13.4,7.8,11.2,44.5,47.9,23.4,100.72,7.2,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,TOR,28,34.1,3.6,2,5.1,12.5,13.9,11.4,11.5,35.9,0.4,1.5,2.4,4.6,,,,,,,,,,,,,,
2023-24,TOT,58,31.7,3,1.7,4.1,11.5,10.7,9.8,10.6,35.1,0.4,1.6,2.2,3.6,,,,,,,,,,,,,,
2023-24,TOR,32,33.5,2.8,1.8,4.5,13.9,11,10.3,10.5,38,0.4,1.5,2.6,3.8,,,,,,,,,,,,,,
