Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,TOR,23,34.2,20.4,7.8,16.6,47.1,1.6,5.5,28.3,3.2,4.3,73,1.7,6.4,8,6.5,3.7,1.4,0.7,2.2,42.3,9,1,-6.3,,,,
2023-24,TOR,60,34.9,19.9,7.5,15.7,47.5,1.7,4.9,34.1,3.3,4.2,78.1,2.4,5.9,8.2,6.1,2.8,1.3,1.5,2,44.2,25,4,-2.4,,,,
2022-23,TOR,77,34.8,15.3,6,13.2,45.6,0.8,2.9,28.1,2.5,3.2,77.2,2.3,4.3,6.6,4.8,2,1.1,0.8,2.2,34.1,15,1,2.3,,,,
2021-22,TOR,74,35.4,15.3,6.2,12.6,49.2,0.8,2.6,30.1,2.1,2.9,73.5,2.6,4.9,7.5,3.5,1.8,1.1,0.7,2.6,33.2,13,0,0.9,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,TOR,23,34.2,104.9,113.3,-8.4,30.9,1.74,22.8,4.5,18.2,11.2,13.1,51.8,55,26.1,103.69,13.8,,,,,,,,,,,
2023-24,TOR,60,34.9,112.6,115.8,-3.2,25.3,2.2,23.1,6.4,16.7,11.5,10.5,52.8,56.6,24,101.17,13.2,,,,,,,,,,,
2022-23,TOR,77,34.8,114.8,111.6,3.2,19.5,2.41,22.5,6.3,13.5,9.7,9.4,48.7,52.4,20,98.71,10.3,,,,,,,,,,,
2021-22,TOR,74,35.4,110.2,108.4,1.8,15,1.88,18.1,6.8,14.1,10.2,9.6,52.4,55.2,18.7,97.03,10.9,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,TOR,23,34.2,3.4,1.9,3.2,10.1,14.2,9,12.2,33.6,0.7,0.6,2.2,3.6,,,,,,,,,,,,,,
2023-24,TOR,60,34.9,2.6,2.8,3.1,10.1,11.4,10.8,9,38.8,1.5,0.8,2,3.6,,,,,,,,,,,,,,
2022-23,TOR,77,34.8,2.4,2.4,1.8,9.3,10.2,8.2,10.4,35.1,0.8,0.6,2.2,2.7,,,,,,,,,,,,,,
2021-22,TOR,74,35.4,2.4,2.7,2.4,9.2,10.5,10.3,8.5,33.8,0.7,0.5,2.6,2.9,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,TOR,23,34.2,66.8,33.2,61.4,11.9,23,15.6,15.6,16.6,49.5,41.7,58.3,72.2,27.8,47.8,52.2,,,,,,,,,,,
2023-24,TOR,60,34.9,68.6,31.4,58.1,7.1,25.4,15.4,16.5,13.2,51,46.2,53.8,91.1,8.9,56.4,43.6,,,,,,,,,,,
2022-23,TOR,77,34.8,78,22,67.9,7.1,16,11.7,16.1,15.6,60.7,49.3,50.8,84.1,15.9,54,46,,,,,,,,,,,
2021-22,TOR,74,35.4,79.3,20.7,70.7,10.9,15.3,16,14,15.9,59.8,42.9,57.1,84.5,15.5,48.1,51.9,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,TOR,23,786,26.1,27.1,26,19.1,22.6,28,29,19.7,27,25.1,33.3,31.6,24.6,20.5,13.5,14.5,27,26.4,,,,,,,,
2023-24,TOR,60,2094,24,23.7,23.9,20,20.9,28.1,27.1,28.8,25.1,26.1,28.2,28.8,22.8,38.1,19.8,15.2,27.5,24,,,,,,,,
2022-23,TOR,77,2678,20,19.6,20.1,10.5,13,19.3,19.5,26,20.1,21.8,27.1,24.5,15.9,21.5,18.6,16.1,19.8,18.6,,,,,,,,
2021-22,TOR,74,2617,18.7,21.2,19,9.1,10.7,18.8,19.3,27,21.1,22.9,21.4,20.5,16.7,22.5,14.1,18.5,21,19.5,,,,,,,,
