Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,POR,27,31.6,17.9,6.7,14.8,45.3,1.9,6.3,29.4,2.6,3.4,78,0.7,3.1,3.7,2.7,1.6,0.9,0.3,1.8,28.1,0,0,-5.1,,,,
2023-24,POR,32,33.1,15.9,5.5,13.6,40.6,1.9,5.6,33.3,3.1,3.7,82.4,1.3,3.7,5,2.9,2.3,0.9,0.4,2.8,27.8,1,0,-7.7,,,,
2022-23,POR,80,22.2,9.9,3.8,8.1,47.2,1.3,3.5,36,0.9,1.3,71.4,0.8,2.2,3,1.2,1,0.5,0.3,1.7,16.5,0,0,-3.7,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,POR,27,31.6,107.8,116.5,-8.7,13.4,1.64,13,2.1,10.1,6,7.9,51.5,54.9,23.9,99.72,9.5,,,,,,,,,,,
2023-24,POR,32,33.1,105.8,116,-10.3,13.8,1.31,14.5,3.6,11.6,7.3,11.1,47.5,52.4,22,99.67,8,,,,,,,,,,,
2022-23,POR,80,22.2,110.8,118.4,-7.6,7.9,1.13,10.8,3.7,10.2,6.9,9.5,55.1,56.8,18.6,100.99,7.1,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,POR,27,31.6,3.1,1.5,3.8,7.3,13.6,8,12.7,33,0.3,0.7,1.8,2.5,,,,,,,,,,,,,,
2023-24,POR,32,33.1,3.1,2.1,2.2,5.7,12.2,10.3,11.5,39.2,0.4,1,2.8,3.6,,,,,,,,,,,,,,
2022-23,POR,80,22.2,1.8,1.5,1.8,4.2,9.2,5.7,7.4,24.2,0.3,0.4,1.7,1.1,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,POR,27,31.6,57.5,42.5,54.2,13.3,31.1,21.3,14.7,17.4,41,40.5,59.5,74,26,49.7,50.3,,,,,,,,,,,
2023-24,POR,32,33.1,58.5,41.5,45.5,9.8,35.3,13.5,19.2,19.2,35.7,46.6,53.4,71.7,28.3,55.1,44.9,,,,,,,,,,,
2022-23,POR,80,22.2,56.3,43.7,51.7,9.4,38.8,18.3,9.5,17.7,42.3,55.9,44.1,88.2,11.8,66.7,33.3,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,POR,27,852,23.9,25.2,25.8,22.9,26.4,27.1,27.4,9.9,15.2,13.9,17.4,15.5,15.9,7.2,21.3,14.1,21.2,25.2,,,,,,,,
2023-24,POR,32,1059,22,20.6,22,24.5,24.3,27.1,26.3,16.3,18.6,17.9,19.4,22.8,15.9,12.4,23.2,19.1,27.3,22,,,,,,,,
2022-23,POR,80,1779,18.6,20.5,20.8,23.7,23.4,10.4,11.5,19.3,15.4,16.2,11.1,14.3,15.1,14.4,20.1,18.2,12.2,19.1,,,,,,,,
