Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,GSW,28,31.1,22.5,7.5,16.5,45.2,4.3,10.3,42,3.2,3.5,92.8,0.5,4.4,4.9,6.3,3.1,1.1,0.5,1.2,39.6,5,0,5.3,,,,
2023-24,GSW,74,32.7,26.4,8.8,19.5,45,4.8,11.8,40.8,4,4.4,92.3,0.5,4,4.5,5.1,2.8,0.7,0.4,1.6,40,7,0,2.6,,,,
2022-23,GSW,56,34.7,29.4,10,20.2,49.3,4.9,11.4,42.7,4.6,5,91.5,0.7,5.4,6.1,6.3,3.2,0.9,0.4,2.1,46.8,12,1,4.8,,,,
2021-22,GSW,64,34.5,25.5,8.4,19.1,43.7,4.5,11.7,38,4.3,4.7,92.3,0.5,4.7,5.2,6.3,3.2,1.3,0.4,2,43.1,12,2,8,,,,
2020-21,GSW,63,34.2,32,10.4,21.7,48.2,5.3,12.7,42.1,5.7,6.3,91.6,0.5,5,5.5,5.8,3.4,1.2,0.1,1.9,47.9,8,0,3.9,,,,
2019-20,GSW,5,27.9,20.8,6.6,16.4,40.2,2.4,9.8,24.5,5.2,5.2,100,0.8,4.4,5.2,6.6,3.2,1,0.4,2.2,37.9,1,0,-9,,,,
2018-19,GSW,69,33.8,27.3,9.2,19.4,47.2,5.1,11.7,43.7,3.8,4.2,91.6,0.7,4.7,5.3,5.2,2.8,1.3,0.4,2.4,43.8,3,0,10,,,,
2017-18,GSW,51,32,26.4,8.4,16.9,49.5,4.2,9.8,42.3,5.5,5.9,92.1,0.7,4.4,5.1,6.1,3,1.6,0.2,2.2,43.8,5,0,9.5,,,,
2016-17,GSW,79,33.4,25.3,8.5,18.3,46.8,4.1,10,41.1,4.1,4.6,89.8,0.8,3.7,4.5,6.6,3,1.8,0.2,2.3,43.6,9,0,12.8,,,,
2015-16,GSW,79,34.2,30.1,10.2,20.2,50.4,5.1,11.2,45.4,4.6,5.1,90.8,0.9,4.6,5.4,6.7,3.3,2.1,0.2,2,50.3,15,2,12.9,,,,
2014-15,GSW,80,32.7,23.8,8.2,16.8,48.7,3.6,8.1,44.3,3.9,4.2,91.4,0.7,3.6,4.3,7.7,3.1,2,0.2,2,44.1,23,0,11.5,,,,
2013-14,GSW,78,36.5,24,8.4,17.7,47.1,3.3,7.9,42.4,3.9,4.5,88.5,0.6,3.7,4.3,8.5,3.8,1.6,0.2,2.5,43.7,28,4,7.4,,,,
2012-13,GSW,78,38.2,22.9,8,17.8,45.1,3.5,7.7,45.3,3.4,3.7,90,0.8,3.3,4,6.9,3.1,1.6,0.2,2.5,40.3,15,0,1.7,,,,
2011-12,GSW,26,28.1,14.7,5.6,11.4,49,2.1,4.7,45.5,1.5,1.8,80.9,0.6,2.8,3.4,5.3,2.5,1.5,0.3,2.4,29.7,3,0,3,,,,
2010-11,GSW,74,33.6,18.6,6.8,14.2,48,2,4.6,44.2,2.9,3.1,93.4,0.7,3.2,3.9,5.8,3.1,1.5,0.3,3.1,34.1,5,0,-0.2,,,,
2009-10,GSW,80,36.2,17.5,6.6,14.3,46.2,2.1,4.8,43.7,2.2,2.5,88.5,0.6,3.9,4.5,5.9,3,1.9,0.2,3.2,35.1,12,1,-2.3,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,GSW,28,31.1,118.6,110.8,7.8,28.7,2.05,23.2,1.4,13.3,7.4,11.3,58.3,62.3,27.2,102.66,14.5,,,,,,,,,,,
2023-24,GSW,74,32.7,117.3,114.7,2.7,24.1,1.8,17.5,1.5,11.6,6.6,9.7,57.3,61.6,30.2,101.9,14,,,,,,,,,,,
2022-23,GSW,56,34.7,118.1,112.4,5.8,27.4,1.97,19.9,2,14.7,8.5,10.1,61.4,65.6,29.7,104.68,16.6,,,,,,,,,,,
2021-22,GSW,64,34.5,114.1,103.4,10.7,28.6,1.96,20.8,1.5,12.6,7.3,10.6,55.4,60.1,29.3,100.83,15.5,,,,,,,,,,,
2020-21,GSW,63,34.2,114.2,109.6,4.6,28.3,1.7,17.4,1.3,13.5,7.7,10.2,60.5,65.5,33.1,105.16,18.1,,,,,,,,,,,
2019-20,GSW,5,27.9,108.5,123.7,-15.3,35.5,2.06,23.2,2.3,16.2,8.4,11.3,47.6,55.7,28.6,109.39,13.3,,,,,,,,,,,
2018-19,GSW,69,33.8,119.5,105.8,13.7,22.5,1.88,18,2,12.2,7.5,9.6,60.4,64.1,29.2,104.18,15.2,,,,,,,,,,,
2017-18,GSW,51,32,120.6,107.7,13,27.2,2.03,21.4,2.4,12.4,7.9,10.6,61.8,67.5,29,104.92,16.5,,,,,,,,,,,
2016-17,GSW,79,33.4,120.1,102.7,17.4,28.7,2.19,22.4,2.4,10.1,6.5,10.2,58,62.4,28.6,103.28,15.1,,,,,,,,,,,
2015-16,GSW,79,34.2,117.5,99.8,17.7,31.5,2.01,20.7,2.6,11.7,7.6,10.3,63,66.9,31.4,102.75,19.7,,,,,,,,,,,
2014-15,GSW,80,32.7,114.7,98.5,16.3,35.8,2.49,26.4,2.2,10,6.3,10.6,59.4,63.8,27.7,101.47,17.8,,,,,,,,,,,
