Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,ATL,34,35.7,22.5,6.8,17,40.2,2.9,8.5,34.1,6,6.9,87.1,0.5,3,3.5,12,4.4,1.3,0.2,2,44.8,24,0,1.1,,,,
2023-24,ATL,54,36,25.7,8,18.7,43,3.2,8.7,37.3,6.4,7.5,85.5,0.4,2.3,2.8,10.8,4.4,1.3,0.2,2,45.5,37,0,-2.1,,,,
2022-23,ATL,73,34.8,26.2,8.2,19,42.9,2.1,6.3,33.5,7.8,8.8,88.6,0.8,2.2,3,10.2,4.1,1.1,0.1,1.4,44.6,40,0,1.4,,,,
2021-22,ATL,76,34.9,28.4,9.4,20.3,46,3.1,8,38.2,6.6,7.3,90.4,0.7,3.1,3.7,9.7,4,0.9,0.1,1.7,46.5,42,0,2.1,,,,
2020-21,ATL,63,33.7,25.3,7.7,17.7,43.8,2.2,6.3,34.3,7.7,8.7,88.6,0.6,3.3,3.9,9.4,4.1,0.8,0.2,1.8,43.1,28,0,4.2,,,,
2019-20,ATL,60,35.3,29.6,9.1,20.8,43.7,3.4,9.5,36.1,8,9.3,86,0.5,3.7,4.3,9.3,4.8,1.1,0.1,1.7,47.6,28,2,-3.8,,,,
2018-19,ATL,81,30.9,19.1,6.5,15.5,41.8,1.9,6,32.4,4.2,5.1,82.9,0.8,2.9,3.7,8.1,3.8,0.9,0.2,1.7,35.1,30,1,-4.1,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,ATL,34,35.7,114.5,113,1.4,45.8,2.73,33,1.4,8,4.6,12.1,48.8,56.4,26.7,106.23,13,,,,,,,,,,,
2023-24,ATL,54,36,116.6,119.1,-2.5,43.5,2.48,29.2,1.1,6.5,3.7,11.8,51.6,58.5,28.9,104.95,13.1,,,,,,,,,,,
2022-23,ATL,73,34.8,115.9,114.6,1.3,41.4,2.47,27.4,2.1,6.2,4.2,11.1,48.5,57.3,31.3,104.39,14.3,,,,,,,,,,,
2021-22,ATL,76,34.9,117.2,114.9,2.3,44.2,2.43,26.1,1.9,8.7,5.3,10.7,53.6,60.3,33.3,100.2,16.1,,,,,,,,,,,
2020-21,ATL,63,33.7,118.2,113,5.2,42.6,2.28,26.9,1.8,9.4,5.7,11.8,49.9,58.9,32,100.5,15,,,,,,,,,,,
2019-20,ATL,60,35.3,111.2,116.1,-4.9,42.3,1.94,24.1,1.4,10,5.7,12.4,51.9,59.5,33.9,105.18,16,,,,,,,,,,,
2018-19,ATL,81,30.9,108.5,114.8,-6.3,39,2.12,27.3,2.4,9.1,5.7,12.9,48,53.9,27.7,105.78,11.9,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,ATL,34,35.7,3.2,2.1,3.1,6.5,14.9,11.2,13.1,38.4,0.2,0.9,2,5.1,,,,,,,,,,,,,,
2023-24,ATL,54,36,3.6,1.4,2.3,7.5,12.2,11.6,13.6,43.3,0.2,1,2,6.4,,,,,,,,,,,,,,
2022-23,ATL,73,34.8,3.6,1.7,2.5,9.5,11.2,10.8,12.1,41.1,0.1,1.2,1.4,6.4,,,,,,,,,,,,,,
2021-22,ATL,76,34.9,4,1.9,2.2,8.9,11,9.4,9.1,35.6,0.1,1.2,1.7,5.9,,,,,,,,,,,,,,
2020-21,ATL,63,33.7,2.8,1.5,2.1,9.2,10.9,9.6,8.6,35.8,0.2,1,1.8,6.8,,,,,,,,,,,,,,
2019-20,ATL,60,35.3,3.9,1.8,3.1,9.8,14.6,11.3,11.4,41.9,0.1,1.3,1.7,7.7,,,,,,,,,,,,,,
2018-19,ATL,81,30.9,2.4,1.4,3,7.9,13.9,9.5,11.7,33.6,0.2,1.2,1.7,5.3,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,ATL,34,35.7,49.7,50.3,34.7,5.7,38.8,14,26.5,14.2,29,34.6,65.4,36.4,63.6,35.3,64.7,,,,,,,,,,,
2023-24,ATL,54,36,53.5,46.5,37.1,7.9,37.8,9,25.1,13.9,29.2,25.2,74.8,33.7,66.3,28.6,71.4,,,,,,,,,,,
2022-23,ATL,73,34.8,66.9,33.1,46.3,10.2,24.1,9.6,29.6,13.7,36.1,17.4,82.6,32.5,67.5,21.3,78.7,,,,,,,,,,,
2021-22,ATL,76,34.9,60.5,39.5,44.4,13,32.4,7.7,23.2,14,31.4,14.2,85.8,22.3,77.7,16.9,83.1,,,,,,,,,,,
2020-21,ATL,63,33.7,64.3,35.7,44,7.7,25.6,8.4,30.4,11.2,36.4,12.5,87.5,28.7,71.3,17,83,,,,,,,,,,,
2019-20,ATL,60,35.3,54.5,45.5,38.4,5.4,34.6,10.3,27,13,33,16.1,83.9,29.8,70.2,21.2,78.8,,,,,,,,,,,
2018-19,ATL,81,30.9,61.6,38.4,47.6,6.2,30.2,15.9,22.2,12.7,41.4,21.1,78.9,42.3,57.7,27.4,72.6,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
