Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,NOP,23,34.1,20.7,7,15.8,44.5,3.1,8.6,36.4,3.4,3.8,90.8,1,3.7,4.7,2.7,1.6,1.1,0.7,2.3,34.1,0,0,-8.2,,,,
2023-24,NOP,57,29.7,14.8,4.8,10.9,44.3,3,7.8,38,2.2,2.6,81.5,0.7,4.2,4.9,2.2,0.6,0.9,0.5,1.2,27.5,1,0,4.6,,,,
2022-23,NOP,79,31,14.5,4.9,10.1,48.4,2.6,6.3,40.6,2.2,2.4,90.5,0.7,2.8,3.6,1.4,0.8,1.1,0.5,2,25.2,1,0,0.5,,,,
2021-22,NOP,62,13.9,5.4,1.8,4.5,39.4,1.1,3,38.2,0.7,0.8,88.2,0.8,1.6,2.4,0.6,0.3,0.4,0.1,1,10.3,0,0,0,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,NOP,23,34.1,104.8,116.2,-11.4,12.9,1.68,12.5,2.6,11,6.6,7.4,54.4,59,22.7,102.5,10.7,,,,,,,,,,,
2023-24,NOP,57,29.7,115.2,108.2,7,10.4,3.65,14.8,2.5,13.9,8.3,4.1,57.9,61.2,18.2,99.46,11,,,,,,,,,,,
2022-23,NOP,79,31,113.3,112.8,0.5,6.3,1.84,10.8,2.5,9.2,5.8,5.9,61,65,15.9,100.62,9.4,,,,,,,,,,,
2021-22,NOP,62,13.9,108.1,107.8,0.3,6.5,2.38,10.9,4.9,12.2,8.3,4.6,52.2,55.8,14.7,100.77,8,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,NOP,23,34.1,4.1,1.8,4,7.1,14.3,10.3,14.9,38.3,0.7,0.5,2.3,3.2,,,,,,,,,,,,,,
2023-24,NOP,57,29.7,2.4,1.4,3.1,3.5,8.9,7.2,7.9,28.8,0.5,0.3,1.2,1.8,,,,,,,,,,,,,,
2022-23,NOP,79,31,3.2,1.5,3.5,4.4,12,8.5,9,32.9,0.5,0.3,2,1.6,,,,,,,,,,,,,,
2021-22,NOP,62,13.9,1,1.2,0.9,1.2,4.9,3.5,3.7,12.8,0.1,0.2,1,0.7,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,NOP,23,34.1,45.6,54.4,37.9,3.4,45.5,19.6,16.6,20,34.5,71.1,28.9,90.3,9.7,79.6,20.4,,,,,,,,,,,
2023-24,NOP,57,29.7,28.3,71.7,25.2,1.2,60.2,20.9,14.6,16,24,67.9,32.1,89.3,10.7,81.1,18.9,,,,,,,,,,,
2022-23,NOP,79,31,37.9,62.1,32.2,1.7,52.8,24,15,22.3,30.5,67,33,96,4,82.2,17.8,,,,,,,,,,,
2021-22,NOP,62,13.9,32.9,67.1,22.8,1.2,63.8,17.1,13.4,18.3,21.6,57.9,42.1,97.2,2.8,83.5,16.5,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,NOP,23,785,22.7,25.2,24.8,36.9,33.4,28.6,24.9,11.5,17.4,15.8,15.1,14.6,16.4,17.4,15.6,17.3,26.2,27,,,,,,,,
2023-24,NOP,57,1690,18.2,18.7,20.3,34.7,36,19.9,19,12.2,19.8,18.1,13.4,7.7,16.3,17.2,8.7,11.5,16.2,20.8,,,,,,,,
2022-23,NOP,79,2448,15.9,18,18,34.8,32.5,18.5,16.4,11.5,13.3,12.8,8.5,8,22.2,21.5,10.8,14.9,13,19.7,,,,,,,,
2021-22,NOP,62,864,14.7,15.7,17.3,35.7,30.2,12.3,11.4,19.1,17.2,17.8,8.7,6,15.9,10.6,17.3,17.5,11.7,17.1,,,,,,,,
