Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,IND,37,35.1,18.4,6.2,14.2,43.8,3,8.5,35.8,2.9,3.4,85,0.7,3,3.7,8.8,1.8,1.2,0.6,1.4,39.8,13,0,1.1,,,,
2023-24,IND,69,32.2,20.1,7.2,15.2,47.7,2.8,7.8,36.4,2.8,3.3,85.5,0.5,3.4,3.9,10.9,2.3,1.2,0.7,1.1,44.6,44,1,4.3,,,,
2022-23,IND,56,33.6,20.7,7.4,15,49,2.9,7.2,40,3.1,3.6,87.1,0.6,3.1,3.7,10.4,2.5,1.6,0.4,1.2,44.5,32,0,-0.6,,,,
2021-22,TOT,77,35,15.3,5.6,11.8,47.3,2.1,5.1,41.4,2.1,2.5,84.2,0.8,3.2,4,8.2,2.6,1.7,0.6,1.6,37,25,0,-4.2,,,,
2021-22,IND,26,36.1,17.5,6.2,12.4,50.2,2.2,5.3,41.6,2.8,3.3,84.9,0.8,3.5,4.3,9.6,3.2,1.8,0.6,1.9,41,11,0,-3.9,,,,
2021-22,SAC,51,34.4,14.3,5.3,11.5,45.7,2,4.9,41.3,1.7,2,83.7,0.8,3.1,3.9,7.4,2.3,1.7,0.7,1.4,34.9,14,0,-4.4,,,,
2020-21,SAC,58,30.1,13,5,10.7,47.2,2.1,5.1,40.9,0.8,1,85.7,0.7,2.3,3,5.3,1.6,1.3,0.5,1.4,28.4,5,0,-3.1,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,IND,37,35.1,115.1,114.5,0.5,35.5,4.92,33.6,2,8.4,5.3,6.8,54.5,58.5,21.1,100.84,12.9,,,,,,,,,,,
2023-24,IND,69,32.2,122.4,116.2,6.2,44.4,4.73,37,1.6,10.2,6,7.8,57,60.5,23.9,103.42,15.7,,,,,,,,,,,
2022-23,IND,56,33.6,116.9,117.9,-1,45.7,4.15,35.6,1.8,9.2,5.5,8.6,58.6,62.4,23.8,101.45,15.9,,,,,,,,,,,
2021-22,TOT,77,35,110,115.9,-6,33.5,3.16,34.6,2.2,9.3,5.6,11,56.2,59.5,18.4,100.67,12.2,,,,,,,,,,,
2021-22,IND,26,36.1,116,121.4,-5.4,36,2.96,35.8,2.2,10,6,12.1,59,62.9,19.5,101.04,12.6,,,,,,,,,,,
2021-22,SAC,51,34.4,106.7,113,-6.3,32,3.3,33.9,2.1,8.9,5.5,10.3,54.6,57.5,17.8,100.48,12,,,,,,,,,,,
2020-21,SAC,58,30.1,110.8,116.4,-5.6,24.7,3.36,29.7,2.2,7.6,4.9,8.8,56.9,58.5,17.5,102.31,10.4,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,IND,37,35.1,2.4,1.1,2.1,4.6,12.1,10.4,9.5,37.6,0.6,0.3,1.4,2.5,,,,,,,,,,,,,,
2023-24,IND,69,32.2,2.7,1.4,2.5,6.5,9.8,10.2,9.3,40.6,0.7,0.8,1.1,2.4,,,,,,,,,,,,,,
2022-23,IND,56,33.6,3.3,1.6,3.2,7.5,11.7,10.9,9.9,37.1,0.4,0.8,1.2,2.8,,,,,,,,,,,,,,
2021-22,TOT,77,35,2.3,1,2.3,4.9,13.4,10.9,10.3,40,0.6,0.5,1.6,2.2,,,,,,,,,,,,,,
2021-22,IND,26,36.1,2.3,1.4,2.7,6.1,14.1,11.5,11.2,42.5,0.6,0.4,1.9,2.7,,,,,,,,,,,,,,
2021-22,SAC,51,34.4,2.4,0.8,2.1,4.3,13.1,10.5,9.8,38.7,0.7,0.5,1.4,2,,,,,,,,,,,,,,
2020-21,SAC,58,30.1,2.1,0.8,1.8,4.4,11.2,9.5,8.5,35.2,0.5,0.3,1.4,0.9,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
2024-25,IND,37,35.1,40.6,59.4,34.9,10,49.3,11.4,15.8,13,24.9,40.3,59.7,53.6,46.4,46.8,53.2,,,,,,,,,,,
2023-24,IND,69,32.2,49,51,43.9,11.7,42.1,12.5,14,13.4,32.3,31.5,68.5,47.2,52.8,37.6,62.4,,,,,,,,,,,
2022-23,IND,56,33.6,52.2,47.8,43.3,6.9,41.6,15.3,15.1,15.8,36.4,24.7,75.3,44.7,55.3,32.5,67.5,,,,,,,,,,,
2021-22,TOT,77,35,57.2,42.8,45.6,13.5,40.9,15.2,13.5,15.2,32,27.9,72.1,58.4,41.6,39.3,60.7,,,,,,,,,,,
2021-22,IND,26,36.1,57.6,42.4,46.3,11.5,37.7,15.6,16,13,34.8,34.3,65.7,57.9,42.1,42.6,57.4,,,,,,,,,,,
2021-22,SAC,51,34.4,57,43,45.1,14.9,42.9,14.9,12,16.5,30.3,23.8,76.2,58.7,41.3,37.3,62.7,,,,,,,,,,,
2020-21,SAC,58,30.1,52.2,47.8,45.4,11.2,48.2,14.2,6.4,16.2,34.3,32.2,67.8,78.5,21.5,51.4,48.6,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,IND,37,1299,21.1,20.2,22.3,29.6,32,22.4,21,10.8,12.5,12.1,42.4,18.3,23.8,15.8,9.6,10.1,18.3,21.6,,,,,,,,
2023-24,IND,69,2224,23.9,22.8,24.3,29,29.8,24.2,22.5,7.9,15.5,13.8,51.9,27.9,24.9,16.2,24.2,7.7,19.4,23.7,,,,,,,,
2022-23,IND,56,1883,23.8,24.4,24.1,25.8,24.7,27,24.7,10.2,14.1,13.3,51.8,26.5,30.7,11,25.8,8.4,21.9,24.9,,,,,,,,
2021-22,TOT,77,2694,18.4,18.6,18.2,23.3,19.7,17.4,16,10.1,14.1,13.1,44.4,24.6,31,16.8,12.7,11.2,16.6,19,,,,,,,,
2021-22,IND,26,938,19.5,19,18.1,21.6,19,22.7,20.8,9.1,15.5,13.6,45.3,29.1,31.2,13.2,10.4,12.5,20.1,19.8,,,,,,,,
2021-22,SAC,51,1757,17.8,18.4,18.2,24.4,20.2,14.6,13.4,10.7,13.4,12.8,43.9,22.2,30.9,19.1,13.8,10.4,14.8,18.5,,,,,,,,
2020-21,SAC,58,1746,17.5,18.9,19.2,27.3,24.1,7.9,7,11.6,11.7,11.7,33.2,18.2,28.2,14.1,12.3,11.3,8.4,18.2,,,,,,,,
