Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2024-25,CHI,31,33.6,23.1,8.3,16.4,50.9,3.3,7.4,44.7,3.2,3.9,81.7,0.3,4.4,4.6,4.5,2.9,0.9,0.3,1.6,35.8,2,0,0.1,,,,
2023-24,CHI,25,34.9,19.5,6.8,15,45.2,2.4,6.8,34.9,3.5,4.1,85.4,0.3,4.8,5.2,3.9,2.1,0.8,0.3,2.3,33,1,0,-3.7,,,,
2022-23,CHI,77,35.9,24.8,8.7,18,48.5,2.6,7.1,37.5,4.7,5.6,84.8,0.5,3.9,4.5,4.2,2.5,0.9,0.2,2.1,37.5,2,0,0.2,,,,
2021-22,CHI,67,34.7,24.4,8.4,17.7,47.6,2.8,7.1,38.9,4.8,5.6,85.3,0.3,4.3,4.6,4.5,2.6,0.6,0.3,1.8,37,0,0,-0.4,,,,
2020-21,CHI,58,35.1,27.4,9.8,19.4,50.7,3.4,8.2,41.9,4.4,5.1,84.9,0.6,4.4,5,4.9,3.5,0.8,0.5,2.4,41,3,0,-0.2,,,,
2019-20,CHI,60,34.8,25.5,9,20,45,3.1,8.1,38,4.5,5.6,80.2,0.7,4.1,4.8,4.2,3.4,1.5,0.5,2.2,40,2,0,-3.2,,,,
2018-19,CHI,63,34.5,23.7,8.4,18,46.7,1.9,5.1,37.4,5,6,83.2,0.6,4,4.7,4.5,3.4,1,0.4,2.2,36.7,2,0,-4.8,,,,
2017-18,CHI,24,27.3,16.7,5.7,14.8,38.3,1.8,5.1,34.1,3.6,4.5,81.3,0.4,3.5,3.9,3,1.8,1,0.2,2.3,27.6,0,0,-7.2,,,,
2016-17,MIN,47,37.2,18.9,6.9,15.1,45.9,2.6,6.6,38.7,2.5,3,83.6,0.4,3,3.4,3,1.8,0.9,0.2,2.2,28.9,0,0,-2.5,,,,
2015-16,MIN,82,28,14,5.3,11.7,45.2,1.5,3.9,38.9,2,2.5,79.3,0.3,2.5,2.8,3.1,1.9,0.8,0.2,2.4,23.2,0,0,-3.6,,,,
2014-15,MIN,77,24.7,10.1,3.7,8.8,42.2,0.7,2.2,34.1,1.9,2.3,84.2,0.4,2.4,2.8,3.6,2.5,0.7,0.1,2.1,18.8,4,0,-7,,,,
Advanced Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,,,,,,,,,,,
2024-25,CHI,31,33.6,115.3,114.6,0.7,19.5,1.54,17.7,0.8,11.7,6.5,11.5,60.9,64,25.7,104.92,11.9,,,,,,,,,,,
2023-24,CHI,25,34.9,109.9,115.3,-5.4,17.2,1.88,17.3,0.9,13.4,7.2,9.2,53.1,57.8,23.8,97.91,11,,,,,,,,,,,
2022-23,CHI,77,35.9,112,111.7,0.3,18.7,1.69,15.7,1.6,10.8,6.4,9.3,55.8,60.7,27.8,99.7,12.6,,,,,,,,,,,
2021-22,CHI,67,34.7,112.5,113.4,-0.9,20.7,1.77,16.7,1,12.1,6.7,9.4,55.4,60.5,28.4,99.36,12.9,,,,,,,,,,,
2020-21,CHI,58,35.1,112.4,113.1,-0.8,22.5,1.39,16.3,1.8,12.1,7.1,11.7,59.6,63.4,30.2,101.34,14,,,,,,,,,,,
2019-20,CHI,60,34.8,106.8,111.2,-4.4,21.8,1.23,14.2,1.9,12.5,7,11.5,52.6,56.8,31.2,100.85,13,,,,,,,,,,,
2018-19,CHI,63,34.5,105.8,112.4,-6.5,22.4,1.32,15.9,1.8,11.3,6.6,12,52,57.4,29.8,99.98,12.5,,,,,,,,,,,
2017-18,CHI,24,27.3,102.6,114.7,-12.1,18.7,1.67,14,1.3,13.8,7.1,8.3,44.2,49.9,29,100.31,9.2,,,,,,,,,,,
2016-17,MIN,47,37.2,108.4,111.2,-2.8,12.8,1.64,14,1.1,8.7,4.8,8.6,54.4,57.6,21.5,95.05,9.5,,,,,,,,,,,
2015-16,MIN,82,28,104.2,110.4,-6.2,18.7,1.62,17.3,1.2,8.9,5.1,10.7,51.6,54.8,22.8,98.5,9.1,,,,,,,,,,,
2014-15,MIN,77,24.7,98.2,112.4,-14.2,25,1.43,22.6,1.4,10.3,5.8,15.8,46.5,51.5,21.8,96.43,7.9,,,,,,,,,,,
Misc Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS OFF TO,2nd PTS,FBPs,PITP,Opp,Opp,Opp,Opp,BLK,BLKA,PF,PFD,,,,,,,,,,,,,,
,,,,,,,,PTS OFF TO,2nd PTS,FBPs,PITP,,,,,,,,,,,,,,,,,,
2024-25,CHI,31,33.6,3.6,1.9,4.9,7.5,10.7,10,12.1,39.2,0.3,0.6,1.6,3,,,,,,,,,,,,,,
2023-24,CHI,25,34.9,3.1,1.5,3.4,6.5,9.8,11.2,9.8,30.7,0.3,0.8,2.3,2.8,,,,,,,,,,,,,,
2022-23,CHI,77,35.9,4.2,1.4,3.9,9.2,11.5,8.5,9.7,35.2,0.2,1,2.1,3.8,,,,,,,,,,,,,,
2021-22,CHI,67,34.7,4.2,1.4,3,8.3,11.2,9.4,8.6,34.7,0.3,0.9,1.8,4,,,,,,,,,,,,,,
2020-21,CHI,58,35.1,3.8,2.3,3.4,10.1,13.4,9,8.6,36.9,0.5,1.2,2.4,4,,,,,,,,,,,,,,
2019-20,CHI,60,34.8,4.5,2.2,3.5,10.1,13.6,9.9,9.2,37.2,0.5,1.4,2.2,4.1,,,,,,,,,,,,,,
2018-19,CHI,63,34.5,3.8,2.2,3.3,10.7,12.3,9.4,9,34.3,0.4,1.6,2.2,4.1,,,,,,,,,,,,,,
2017-18,CHI,24,27.3,2.5,1.5,2.5,6.3,9.4,5.5,6.5,27.5,0.2,1.3,2.3,2.8,,,,,,,,,,,,,,
2016-17,MIN,47,37.2,4.1,2,3.9,6,13.5,10.3,10,35.7,0.2,0.8,2.2,2.3,,,,,,,,,,,,,,
2015-16,MIN,82,28,2.6,1.1,3.3,5.2,11.6,7.4,8,27.6,0.2,0.7,2.4,1.9,,,,,,,,,,,,,,
2014-15,MIN,77,24.7,2,0.5,2.9,3.8,9.8,8.2,8.2,25.4,0.1,0.5,2.1,1.8,,,,,,,,,,,,,,
Scoring Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM,,,,,,,,,,,
,,,,2PT,3PT,2PT,2PT MR,3PT,FBPs,FT,OffTO,PITP,%AST,%UAST,%AST,%UAST,%AST,%UAST,,,,,,,,,,,
