By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,GSW,32,29.0,109.6,110.1,-0.6,12.4,1.92,13.1,4.6,9.2,6.9,6.8,53.5,57.3,21.8,102.02,10.4,Andrew Wiggins,76
2023-24,GSW,71,27.0,114.9,116.3,-1.3,8.7,1.37,11.1,5.5,10.5,8.0,8.1,51.1,54.4,20.6,101.06,7.8,Andrew Wiggins,76
2022-23,GSW,37,32.2,116.2,110.9,5.2,10.0,1.77,12.3,5.0,10.1,7.6,6.9,55.7,56.4,21.2,103.74,8.8,Andrew Wiggins,76
2021-22,GSW,73,31.9,111.2,105.4,5.8,10.9,1.45,11.6,3.6,9.5,6.6,8.0,54.3,56.0,22.4,99.79,9.7,Andrew Wiggins,76
2020-21,GSW,71,33.3,108.9,109.1,-0.2,11.0,1.33,11.5,3.4,10.6,7.1,8.7,54.3,56.8,22.9,103.17,9.9,Andrew Wiggins,76
2019-20,TOT,54,34.4,107.7,112.8,-5.1,18.0,1.5,13.9,3.3,11.0,7.0,9.3,50.4,53.6,26.9,103.46,10.4,Andrew Wiggins,76
2019-20,GSW,12,33.6,106.7,116.5,-9.8,17.3,1.72,15.4,4.2,9.2,6.7,8.9,51.1,54.2,24.3,102.63,9.9,Andrew Wiggins,76
2019-20,MIN,42,34.7,108.0,111.8,-3.8,18.2,1.45,13.6,3.0,11.5,7.1,9.4,50.2,53.5,27.6,103.69,10.6,Andrew Wiggins,76
2018-19,MIN,73,34.8,110.7,111.9,-1.2,10.8,1.33,11.1,3.1,9.9,6.5,8.3,46.1,49.3,24.0,101.57,7.8,Andrew Wiggins,76
2017-18,MIN,82,36.3,112.5,108.9,3.5,8.0,1.16,9.2,2.8,9.4,6.1,7.9,48.1,50.5,22.8,97.56,7.6,Andrew Wiggins,76
2016-17,MIN,82,37.2,111.1,111.3,-0.2,10.4,1.01,8.6,3.4,7.7,5.6,8.6,48.4,53.4,28.6,96.58,9.5,Andrew Wiggins,76
2015-16,MIN,81,35.1,106.7,107.9,-1.3,9.8,0.9,8.7,3.9,6.6,5.3,9.6,48.1,54.3,26.7,97.09,9.4,Andrew Wiggins,76
2014-15,MIN,82,36.2,101.5,111.3,-9.7,9.7,0.96,10.0,4.4,8.5,6.4,10.4,45.4,51.7,22.3,95.46,8.1,Andrew Wiggins,76
