By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,PHX,25,33.1,108.7,117.6,-8.9,16.1,1.59,15.7,2.3,8.3,5.4,9.9,56.0,57.8,22.9,99.51,8.9,Bradley Beal,66
2023-24,PHX,53,33.3,116.2,113.2,3.0,21.5,2.02,22.3,3.3,9.9,6.8,11.0,58.2,60.7,22.4,100.08,10.6,Bradley Beal,66
2022-23,WAS,50,33.5,116.6,115.9,0.7,26.0,1.87,19.6,2.6,9.1,6.0,10.5,55.1,59.3,28.8,97.94,12.9,Bradley Beal,66
2021-22,WAS,40,36.0,107.1,110.5,-3.5,30.9,1.96,21.1,2.6,9.9,6.4,10.8,49.2,53.9,29.7,99.36,12.3,Bradley Beal,66
2020-21,WAS,60,35.8,114.4,114.8,-0.4,20.2,1.42,13.2,3.3,9.4,6.4,9.3,53.2,59.3,33.1,105.21,14.5,Bradley Beal,66
2019-20,WAS,57,36.0,113.1,117.6,-4.5,28.5,1.79,17.1,2.4,9.5,5.8,9.5,52.0,57.9,33.8,103.64,14.3,Bradley Beal,66
2018-19,WAS,82,36.9,111.7,113.5,-1.8,23.3,2.0,18.2,2.8,10.4,6.6,9.1,54.0,58.1,27.8,102.79,12.8,Bradley Beal,66
2017-18,WAS,82,36.3,108.7,106.3,2.4,20.6,1.74,16.9,2.1,10.1,6.2,9.7,52.7,56.4,26.8,97.82,12.5,Bradley Beal,66
2016-17,WAS,77,34.9,113.5,107.9,5.6,15.4,1.71,14.2,2.0,7.0,4.5,8.3,56.6,60.4,25.8,98.84,11.9,Bradley Beal,66
2015-16,WAS,55,31.1,104.8,105.0,-0.2,15.3,1.45,14.2,2.4,8.8,5.5,9.8,51.5,54.7,24.5,100.54,9.9,Bradley Beal,66
2014-15,WAS,63,33.5,105.6,101.1,4.5,14.4,1.58,15.7,2.9,8.5,5.8,10.0,48.9,52.1,22.2,94.73,9.2,Bradley Beal,66
2013-14,WAS,73,34.7,104.8,102.7,2.0,15.5,1.9,15.2,2.2,9.0,5.6,8.0,47.9,50.7,24.0,94.11,9.5,Bradley Beal,66
2012-13,WAS,56,31.2,98.3,100.6,-2.2,13.6,1.52,14.0,2.4,9.6,6.0,9.2,47.7,51.5,21.8,94.3,9.3,Bradley Beal,66
