By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,NOP,23,33.7,109.6,117.7,-8.2,19.1,2.24,15.4,2.1,9.0,5.5,6.8,54.6,56.4,27.1,101.58,10.7,CJ McCollum,36
2023-24,NOP,66,32.7,115.9,112.2,3.7,20.9,2.77,19.9,1.8,11.6,6.7,7.2,57.2,59.2,24.4,99.19,11.8,CJ McCollum,36
2022-23,NOP,75,35.3,114.5,113.5,1.1,24.2,2.34,20.9,2.1,10.4,6.2,8.9,51.5,54.1,26.0,99.6,11.0,CJ McCollum,36
2021-22,TOT,62,34.6,112.1,114.0,-1.9,23.8,2.48,18.8,2.4,10.1,6.2,7.6,53.9,55.3,26.9,99.14,11.9,CJ McCollum,36
2021-22,NOP,26,33.8,116.6,114.8,1.8,27.1,2.67,20.3,2.2,11.3,6.7,7.6,56.4,58.0,28.5,99.4,14.0,CJ McCollum,36
2021-22,POR,36,35.2,109.0,113.5,-4.5,21.4,2.33,17.6,2.5,9.3,5.8,7.6,52.0,53.2,25.8,98.96,10.3,CJ McCollum,36
2020-21,POR,47,34.0,119.0,112.8,6.2,22.0,3.43,18.2,1.8,9.9,5.6,5.3,55.4,57.7,26.5,100.01,12.3,CJ McCollum,36
2019-20,POR,70,36.5,114.1,113.6,0.5,18.5,2.44,16.6,1.7,9.0,5.4,6.8,52.2,54.1,25.7,101.47,10.3,CJ McCollum,36
2018-19,POR,70,33.9,115.4,108.9,6.5,13.3,1.95,12.6,2.5,8.7,5.6,6.5,52.7,55.3,24.8,101.22,10.3,CJ McCollum,36
2017-18,POR,81,36.1,107.3,105.8,1.6,15.6,1.8,13.4,1.7,8.9,5.3,7.4,50.6,53.6,25.9,98.2,10.9,CJ McCollum,36
2016-17,POR,80,34.9,109.6,108.9,0.7,17.5,1.66,14.1,2.1,8.0,5.1,8.5,54.4,58.5,26.8,98.58,12.5,CJ McCollum,36
2015-16,POR,80,34.7,107.5,104.9,2.6,21.1,1.74,16.5,1.6,7.5,4.5,9.5,51.7,54.4,26.6,98.18,11.2,CJ McCollum,36
2014-15,POR,62,15.7,101.7,97.0,4.7,10.4,1.33,12.6,1.4,7.4,4.5,9.5,51.1,53.4,19.8,97.57,7.9,CJ McCollum,36
2013-14,POR,38,12.5,102.3,104.3,-2.1,8.9,0.77,10.5,1.3,8.1,4.7,13.7,50.0,52.1,20.1,98.27,5.4,CJ McCollum,36
