By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,MIL,24,36.3,113.5,114.9,-1.4,33.2,2.61,24.8,1.8,10.3,6.2,9.5,53.8,61.3,27.7,100.35,14.6,Damian Lillard,14
2023-24,MIL,73,35.3,119.4,112.4,6.9,28.4,2.63,23.2,1.4,10.2,6.0,8.8,51.0,59.0,27.4,102.06,13.2,Damian Lillard,14
2022-23,POR,58,36.3,119.5,117.4,2.1,33.8,2.23,20.8,2.2,11.2,6.8,9.3,56.4,64.5,33.1,99.78,17.3,Damian Lillard,14
2021-22,POR,29,36.4,113.0,114.8,-1.8,32.1,2.55,23.0,1.2,10.4,5.7,9.0,48.6,55.0,28.8,99.37,12.6,Damian Lillard,14
2020-21,POR,67,35.8,119.6,115.6,4.0,33.4,2.49,22.5,1.2,10.4,5.7,9.0,55.4,62.3,30.6,100.4,15.8,Damian Lillard,14
2019-20,POR,66,37.5,115.7,114.3,1.4,33.5,2.73,23.2,1.3,9.2,5.3,8.5,56.3,62.7,29.4,102.12,16.8,Damian Lillard,14
2018-19,POR,80,35.5,116.0,107.9,8.2,29.9,2.6,22.0,2.3,10.0,6.2,8.5,52.2,58.8,28.1,101.18,15.5,Damian Lillard,14
2017-18,POR,73,36.6,110.7,104.5,6.1,30.1,2.33,20.8,2.2,9.4,5.8,8.9,51.9,59.4,29.5,98.61,16.5,Damian Lillard,14
2016-17,POR,75,35.9,111.8,110.4,1.4,27.7,2.23,18.8,1.7,11.8,6.7,8.4,51.6,58.6,30.4,98.21,15.9,Damian Lillard,14
2015-16,POR,75,35.7,109.4,107.8,1.6,33.0,2.12,21.2,1.6,9.3,5.4,10.0,49.7,56.0,30.4,98.54,14.3,Damian Lillard,14
2014-15,POR,82,35.7,108.9,103.6,5.3,28.5,2.28,22.5,1.6,10.7,6.3,9.9,50.6,56.0,26.2,95.53,13.7,Damian Lillard,14
2013-14,POR,82,35.8,111.5,105.5,6.0,24.9,2.37,21.5,1.2,8.2,4.7,9.1,50.8,56.8,24.4,97.16,11.7,Damian Lillard,14
2012-13,POR,82,38.6,106.3,107.8,-1.5,28.0,2.19,24.2,1.4,7.0,4.2,11.1,50.1,54.6,23.7,93.14,10.5,Damian Lillard,14
