By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,SAC,32,35.4,115.4,112.4,3.0,15.5,2.37,16.1,1.6,9.0,5.3,6.8,50.9,56.8,23.5,100.53,10.8,Demar Derozan,43
2023-24,CHI,79,37.8,113.5,114.6,-1.0,22.0,3.12,19.4,1.4,10.1,5.7,6.2,50.7,58.4,25.2,97.94,12.9,Demar Derozan,43
2022-23,CHI,74,36.2,112.2,110.7,1.5,22.2,2.46,18.5,1.3,11.6,6.6,7.5,52.2,59.2,27.2,99.82,13.8,Demar Derozan,43
2021-22,CHI,76,36.1,113.1,112.0,1.1,22.8,2.07,16.0,2.1,12.2,7.2,7.8,52.1,59.0,30.8,100.04,14.8,Demar Derozan,43
2020-21,SAS,61,33.7,113.0,115.5,-2.5,30.9,3.55,25.7,1.9,10.6,6.2,7.2,50.5,59.1,25.5,100.09,13.9,Demar Derozan,43
2019-20,SAS,68,34.1,111.8,113.7,-1.8,26.1,2.32,21.3,1.9,13.9,8.0,9.2,53.5,60.3,26.2,100.87,14.0,Demar Derozan,43
2018-19,SAS,77,34.9,110.9,110.9,0.0,27.7,2.39,21.9,2.0,14.7,8.5,9.2,48.3,54.2,27.7,98.32,13.5,Demar Derozan,43
2017-18,TOR,80,33.9,114.2,106.5,7.7,24.5,2.38,18.7,2.1,9.1,5.7,7.8,48.8,55.5,28.6,99.47,13.5,Demar Derozan,43
2016-17,TOR,74,35.4,111.3,108.7,2.5,20.4,1.61,12.6,2.7,11.9,7.4,7.8,47.7,55.2,33.7,96.43,15.5,Demar Derozan,43
2015-16,TOR,78,35.9,108.8,106.0,2.8,20.8,1.8,14.7,2.3,10.3,6.3,8.2,46.3,55.0,29.1,94.31,13.9,Demar Derozan,43
2014-15,TOR,60,35.0,108.3,105.6,2.7,17.4,1.53,13.8,2.0,11.3,6.7,9.0,42.6,51.0,28.2,93.71,11.5,Demar Derozan,43
2013-14,TOR,79,38.2,107.7,104.6,3.1,18.9,1.78,14.5,1.7,9.9,5.8,8.1,45.2,53.2,27.8,92.05,12.8,Demar Derozan,43
2012-13,TOR,82,36.7,103.4,105.1,-1.7,12.0,1.35,11.5,1.6,9.5,5.5,8.5,45.9,52.3,23.8,92.61,10.0,Demar Derozan,43
2011-12,TOR,63,35.0,101.1,103.6,-2.5,10.5,1.04,9.8,1.9,8.1,5.1,9.5,43.5,50.3,25.0,90.39,8.1,Demar Derozan,43
2010-11,TOR,82,34.8,104.4,111.7,-7.3,8.5,1.03,9.1,2.7,9.2,5.8,8.9,46.9,53.0,23.0,94.37,8.7,Demar Derozan,43
2009-10,TOR,77,21.6,106.8,113.3,-6.5,4.8,0.85,7.4,4.2,9.7,7.0,8.7,50.2,55.4,18.0,94.87,6.6,Demar Derozan,43
