By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,TOT,34,31.7,110.0,114.0,-4.1,29.5,2.51,26.5,0.9,8.1,4.3,10.6,49.8,54.3,22.1,99.49,9.4,Dennis Smith Jr.,85
2024-25,GSW,11,27.9,98.3,113.6,-15.3,26.4,2.32,25.6,1.7,6.6,3.9,11.1,37.4,41.4,19.7,100.51,4.1,Dennis Smith Jr.,85
2024-25,BKN,23,33.6,114.7,114.2,0.4,30.7,2.58,26.8,0.5,8.7,4.5,10.4,54.2,58.8,23.1,99.09,11.4,Dennis Smith Jr.,85
2023-24,TOT,80,31.1,112.6,115.4,-2.8,28.1,3.19,29.5,1.5,8.2,4.8,9.2,50.9,55.0,20.2,98.44,9.5,Dennis Smith Jr.,85
2023-24,BKN,29,32.0,108.5,114.4,-5.9,29.9,2.5,27.3,1.8,9.2,5.4,10.9,50.7,53.5,22.0,96.01,9.5,Dennis Smith Jr.,85
2023-24,TOR,51,30.6,114.9,115.9,-1.0,27.1,3.77,30.8,1.4,7.6,4.5,8.2,51.1,55.9,19.1,99.89,9.4,Dennis Smith Jr.,85
2022-23,LAL,66,30.1,115.0,112.2,2.8,20.2,2.66,25.6,1.1,6.7,4.0,9.6,47.2,54.5,18.3,101.8,7.7,Dennis Smith Jr.,85
2021-22,TOT,64,28.7,106.9,107.9,-1.0,25.6,2.07,23.9,1.8,9.7,5.7,11.5,49.0,53.9,22.3,98.12,9.8,Dennis Smith Jr.,85
2021-22,HOU,15,27.0,104.7,116.3,-11.6,32.2,2.26,31.2,1.4,10.8,6.0,13.8,46.1,51.9,20.4,101.7,8.6,Dennis Smith Jr.,85
2021-22,BOS,49,29.2,107.6,105.4,2.2,23.5,2.0,21.7,1.9,9.3,5.6,10.8,49.7,54.3,22.9,97.11,10.1,Dennis Smith Jr.,85
2020-21,LAL,61,32.1,110.8,108.6,2.2,26.2,2.15,25.4,1.6,9.3,5.5,11.8,48.4,54.3,22.7,99.67,9.7,Dennis Smith Jr.,85
2019-20,OKC,65,30.8,108.5,103.0,5.5,22.2,1.58,17.6,1.0,9.9,5.6,11.1,53.4,57.5,26.2,101.47,12.2,Dennis Smith Jr.,85
2018-19,OKC,79,29.3,109.1,105.5,3.6,20.9,1.88,19.0,1.5,10.2,5.7,10.1,47.0,50.8,23.8,104.3,9.3,Dennis Smith Jr.,85
2017-18,ATL,67,31.0,105.2,111.8,-6.7,35.2,2.28,22.5,2.1,8.1,5.0,9.9,46.9,51.5,29.9,98.94,11.6,Dennis Smith Jr.,85
2016-17,ATL,79,31.5,105.3,106.8,-1.5,34.0,1.93,24.0,1.7,7.9,4.8,12.4,49.3,53.3,27.2,98.74,11.7,Dennis Smith Jr.,85
2015-16,ATL,80,20.3,103.4,95.9,7.5,36.8,1.91,25.1,1.6,10.6,6.2,13.1,47.1,51.0,28.6,97.93,12.1,Dennis Smith Jr.,85
2014-15,ATL,77,19.7,102.6,102.4,0.2,37.3,2.11,26.1,2.0,8.9,5.5,12.4,46.6,51.6,26.7,94.51,11.3,Dennis Smith Jr.,85
2013-14,ATL,49,13.1,95.2,111.8,-16.6,24.7,1.52,25.8,0.8,9.1,4.9,16.9,41.0,44.2,18.8,95.83,4.7,Dennis Smith Jr.,85
