By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,BOS,35,34.3,119.4,108.6,10.8,18.4,2.58,22.0,2.7,9.9,6.3,8.5,58.8,61.1,19.7,99.09,10.5,Derrick White,71
2023-24,BOS,73,32.6,122.4,109.9,12.5,20.9,3.37,27.1,2.2,10.0,6.3,8.1,57.8,61.1,18.3,99.48,10.6,Derrick White,71
2022-23,BOS,82,28.3,118.2,107.2,11.0,19.1,3.38,25.6,2.3,9.8,6.2,7.6,56.0,60.4,17.4,99.87,10.0,Derrick White,71
2021-22,TOT,75,29.3,111.3,106.4,4.9,23.1,3.08,26.5,1.7,9.4,5.6,8.6,49.3,54.9,19.6,100.43,10.1,Derrick White,71
2021-22,BOS,26,27.4,118.2,105.7,12.6,17.9,2.88,23.8,1.9,9.9,6.1,8.3,48.3,54.4,18.2,98.21,8.5,Derrick White,71
2021-22,SAS,49,30.3,108.1,106.7,1.4,25.6,3.15,27.5,1.6,9.2,5.4,8.7,49.7,55.1,20.2,101.5,10.8,Derrick White,71
2020-21,SAS,36,29.5,113.9,108.8,5.1,16.8,2.82,18.9,1.2,8.6,4.9,6.7,50.3,55.0,22.3,99.29,9.0,Derrick White,71
2019-20,SAS,68,24.7,110.1,109.2,1.0,20.3,2.71,24.8,2.0,10.5,6.4,9.2,53.0,59.3,18.3,103.36,10.2,Derrick White,71
2018-19,SAS,67,25.8,111.9,107.1,4.8,20.6,2.71,27.5,2.2,11.6,7.2,10.1,52.3,55.5,17.8,98.72,9.6,Derrick White,71
2017-18,SAS,17,8.2,101.0,87.5,13.5,9.8,1.5,15.5,3.4,12.8,8.4,10.3,60.6,64.6,14.6,103.45,12.4,Derrick White,71
