By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,PHX,27,36.3,113.7,116.1,-2.4,28.2,2.82,21.6,3.2,6.8,5.0,7.6,50.1,57.8,27.8,100.18,12.2,Devin Booker,17
2023-24,PHX,68,36.0,119.3,113.5,5.8,29.9,2.65,22.1,2.4,9.8,6.3,8.3,55.0,61.1,28.9,99.96,14.2,Devin Booker,17
2022-23,PHX,53,34.6,119.6,113.4,6.2,25.1,2.02,17.8,2.5,10.5,6.5,8.8,54.6,60.1,31.1,99.18,14.7,Devin Booker,17
2021-22,PHX,68,34.5,117.6,108.1,9.5,21.2,2.03,16.0,2.0,11.7,7.1,7.9,53.0,57.6,31.3,101.21,13.7,Devin Booker,17
2020-21,PHX,67,33.9,118.6,111.4,7.2,20.0,1.4,14.9,1.6,10.8,6.4,10.6,53.3,58.7,31.9,98.5,12.5,Devin Booker,17
2019-20,PHX,70,35.9,114.9,112.2,2.7,28.8,1.73,20.5,1.2,10.6,5.9,11.9,54.4,61.8,29.4,102.36,13.8,Devin Booker,17
2018-19,PHX,64,35.0,108.2,115.1,-6.9,32.7,1.64,20.2,1.7,9.9,5.8,12.3,52.1,58.4,32.0,102.17,13.4,Devin Booker,17
2017-18,PHX,54,34.5,102.9,112.2,-9.3,23.3,1.3,15.5,1.3,11.2,6.2,11.9,50.1,56.1,30.1,103.68,12.3,Devin Booker,17
2016-17,PHX,78,35.0,107.7,111.6,-3.9,16.0,1.11,12.6,1.6,7.3,4.4,11.3,47.5,53.1,28.0,101.87,8.9,Devin Booker,17
2015-16,PHX,76,27.7,100.3,108.7,-8.4,16.2,1.25,15.0,1.2,7.5,4.3,12.0,48.0,53.5,22.8,99.76,7.4,Devin Booker,17
