By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,SAC,34,35.9,115.9,110.6,5.3,25.8,2.18,25.4,10.5,27.7,19.0,11.7,63.1,66.1,21.6,100.48,17.1,Domantas Sabonis,41
2023-24,SAC,82,35.7,116.0,115.2,0.8,33.4,2.47,30.8,9.7,29.5,19.2,12.4,60.9,63.7,22.0,99.61,16.9,Domantas Sabonis,41
2022-23,SAC,79,34.6,120.7,116.8,3.9,29.7,2.49,29.6,9.6,27.5,18.5,11.9,63.2,66.8,21.3,100.46,16.1,Domantas Sabonis,41
2021-22,TOT,62,34.4,109.5,110.1,-0.6,23.9,1.66,22.5,9.2,26.4,17.6,13.6,59.8,63.7,22.1,99.2,16.1,Domantas Sabonis,41
2021-22,SAC,15,33.6,112.5,114.4,-1.9,27.1,1.67,23.4,9.4,29.3,19.2,14.0,56.4,60.3,24.0,101.93,14.9,Domantas Sabonis,41
2021-22,IND,47,34.7,108.5,108.7,-0.2,22.8,1.65,22.2,9.2,25.5,17.2,13.5,61.0,64.9,21.5,98.35,16.6,Domantas Sabonis,41
2020-21,IND,62,36.0,109.6,111.5,-1.9,28.3,1.95,24.9,6.6,25.9,16.2,12.8,56.4,60.1,23.9,102.1,15.4,Domantas Sabonis,41
2019-20,IND,62,34.8,109.9,106.8,3.1,21.5,1.82,21.3,8.9,26.2,17.7,11.7,55.0,58.6,22.9,99.02,15.6,Domantas Sabonis,41
2018-19,IND,74,24.8,108.8,103.6,5.2,18.0,1.33,17.8,9.9,26.9,18.4,13.4,59.6,63.0,22.6,99.33,16.2,Domantas Sabonis,41
2017-18,IND,74,24.5,107.2,105.8,1.4,12.7,1.1,14.4,9.3,22.7,16.0,13.1,52.4,56.7,21.4,97.76,12.1,Domantas Sabonis,41
2016-17,OKC,81,20.1,104.2,102.5,1.7,7.3,0.99,12.1,2.7,14.6,8.6,12.3,45.2,46.9,15.6,98.25,4.9,Domantas Sabonis,41
