By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,MIL,25,35.0,114.1,112.1,2.1,33.9,1.77,17.0,5.9,26.0,16.4,9.6,61.4,63.0,36.1,100.94,21.5,Giannis A,1
2023-24,MIL,73,35.2,119.8,113.2,6.6,31.4,1.9,19.6,7.7,23.7,15.9,10.3,62.4,64.9,32.0,102.1,19.7,Giannis A,1
2022-23,MIL,63,32.1,116.4,109.2,7.2,31.4,1.46,16.2,6.5,26.8,17.1,11.1,57.2,60.5,37.3,103.63,20.4,Giannis A,1
2021-22,MIL,67,32.9,115.9,107.9,8.0,30.4,1.77,17.8,6.0,26.7,16.8,10.0,58.2,63.3,34.0,103.12,21.0,Giannis A,1
2020-21,MIL,61,33.0,117.1,107.3,9.8,28.2,1.72,18.7,4.8,26.4,16.0,10.8,60.0,63.3,32.0,104.17,19.6,Giannis A,1
2019-20,MIL,63,30.4,112.8,97.4,15.4,32.8,1.54,17.0,6.8,30.7,19.6,11.0,58.9,61.3,36.3,107.47,23.9,Giannis A,1
2018-19,MIL,72,32.8,114.3,101.8,12.5,29.4,1.58,19.0,6.6,27.3,17.6,12.0,59.9,64.4,31.4,105.27,21.8,Giannis A,1
2017-18,MIL,75,36.7,109.4,106.5,2.8,23.7,1.62,15.9,6.0,21.8,14.1,9.8,54.5,59.8,30.7,97.61,18.6,Giannis A,1
2016-17,MIL,80,35.6,108.6,107.5,1.1,26.9,1.85,19.7,5.2,19.9,12.7,10.6,54.1,59.9,28.0,95.24,17.6,Giannis A,1
2015-16,MIL,80,35.3,104.8,107.9,-3.1,19.5,1.66,19.7,4.2,18.0,11.2,11.9,52.0,56.6,22.1,95.64,12.8,Giannis A,1
2014-15,MIL,81,31.4,101.6,101.1,0.6,13.3,1.2,15.8,4.1,17.7,11.0,13.2,49.6,55.2,19.3,94.98,11.1,Giannis A,1
2013-14,MIL,77,24.6,103.8,108.3,-4.5,12.0,1.23,19.1,4.2,14.0,9.1,15.6,46.3,51.8,14.8,94.24,7.3,Giannis A,1
