By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,LAC,36,32.2,110.9,106.4,4.5,12.2,1.4,15.3,12.3,27.0,19.8,10.9,61.6,61.3,18.6,99.23,15.0,Ivica Zubac,89
2023-24,LAC,68,26.4,117.1,112.4,4.7,7.5,1.18,12.1,11.7,23.5,17.9,10.3,64.9,67.1,16.5,96.89,12.5,Ivica Zubac,89
2022-23,LAC,76,28.5,112.8,113.4,-0.6,5.0,0.66,9.4,11.4,23.8,17.8,14.3,63.4,66.1,14.9,98.37,10.9,Ivica Zubac,89
2021-22,LAC,76,24.4,108.7,112.2,-3.5,9.7,1.05,14.4,11.5,22.3,17.0,13.7,62.6,66.0,16.8,98.13,12.3,Ivica Zubac,89
2020-21,LAC,72,22.3,114.3,109.3,5.0,7.9,1.11,13.9,12.1,20.0,16.2,12.5,65.4,69.3,14.7,98.99,11.7,Ivica Zubac,89
2019-20,LAC,72,18.4,113.0,104.1,8.9,9.1,1.34,13.6,14.0,24.0,19.1,10.1,61.3,65.1,16.3,101.14,14.3,Ivica Zubac,89
2018-19,TOT,59,17.6,106.5,104.7,1.8,9.3,0.9,11.1,10.8,21.6,16.4,12.3,55.9,60.4,19.9,104.36,12.7,Ivica Zubac,89
2018-19,LAC,26,20.1,108.2,106.1,2.0,11.1,1.03,13.1,11.4,25.5,18.5,12.8,53.8,57.4,19.8,104.53,12.4,Ivica Zubac,89
2018-19,LAL,33,15.6,104.8,103.3,1.5,7.4,0.76,9.0,10.3,18.0,14.4,11.8,58.0,63.3,20.1,104.2,13.1,Ivica Zubac,89
2017-18,LAL,43,9.5,99.8,94.7,5.0,9.5,0.96,12.8,10.1,16.8,13.5,13.3,50.0,55.7,17.2,102.02,10.8,Ivica Zubac,89
2016-17,LAL,38,16.0,103.1,113.7,-10.5,7.8,1.0,9.4,6.5,18.8,12.6,9.4,52.9,54.7,20.1,102.82,10.0,Ivica Zubac,89
