By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,TOR,31,31.9,110.8,115.8,-5.0,11.7,1.23,15.4,11.3,21.0,16.2,12.5,60.6,62.5,18.4,101.56,12.4,Jakob Poeltl,87
2023-24,TOR,50,26.4,113.6,114.2,-0.6,13.1,1.65,20.3,11.0,21.4,16.2,12.3,65.6,65.3,16.0,100.54,11.7,Jakob Poeltl,87
2022-23,TOT,72,26.5,112.4,115.5,-3.1,14.6,1.58,19.2,11.7,24.0,17.4,12.2,62.9,63.5,18.0,100.54,13.0,Jakob Poeltl,87
2022-23,TOR,26,27.2,117.6,108.5,9.1,11.2,1.93,16.2,11.4,24.2,17.3,8.4,65.2,65.2,17.2,98.4,13.7,Jakob Poeltl,87
2022-23,SAS,46,26.1,109.4,119.5,-10.1,16.6,1.47,20.7,11.9,23.9,17.5,14.1,61.6,62.5,18.4,101.8,12.6,Jakob Poeltl,87
2021-22,SAS,68,29.0,115.2,111.8,3.4,13.1,1.73,18.1,12.5,18.4,15.4,10.4,61.9,61.3,18.2,100.62,11.9,Jakob Poeltl,87
2020-21,SAS,69,26.7,112.2,109.0,3.2,9.6,1.61,19.3,11.4,17.3,14.3,11.9,61.6,61.2,13.0,99.84,10.0,Jakob Poeltl,87
2019-20,SAS,66,17.7,114.5,108.9,5.7,12.6,2.15,24.7,10.8,19.4,15.2,11.5,62.4,61.2,12.5,103.94,10.7,Jakob Poeltl,87
2018-19,SAS,77,16.5,110.0,106.1,3.9,9.9,1.94,19.8,13.6,17.1,15.4,10.2,64.5,64.0,12.5,100.91,11.0,Jakob Poeltl,87
2017-18,TOR,82,18.6,111.9,103.7,8.3,5.4,0.67,10.1,10.7,15.0,12.9,15.1,66.0,66.2,14.3,98.72,9.7,Jakob Poeltl,87
2016-17,TOR,54,11.6,100.9,101.0,-0.1,3.0,0.41,6.6,11.8,15.0,13.3,15.9,58.3,58.9,11.7,96.43,5.7,Jakob Poeltl,87
