By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,LAC,34,33.9,110.5,107.4,3.1,36.9,1.68,25.3,1.8,15.8,8.9,15.0,47.9,56.6,29.7,99.05,14.4,James Harden,34
2023-24,LAC,72,34.3,120.9,115.2,5.6,33.8,3.32,35.1,1.5,13.4,7.7,10.6,54.1,61.2,20.2,96.87,13.1,James Harden,34
2022-23,PHI,58,36.8,119.4,113.3,6.1,43.9,3.17,34.4,2.1,15.1,8.8,10.9,53.6,60.7,24.7,96.11,15.9,James Harden,34
2021-22,TOT,65,37.2,114.9,111.4,3.5,40.1,2.35,30.9,2.4,17.6,10.3,13.1,48.5,58.3,26.6,99.49,15.3,James Harden,34
2021-22,PHI,21,37.7,120.3,110.8,9.5,40.5,3.06,33.5,1.8,17.1,9.7,11.0,48.3,60.1,24.2,98.61,15.0,James Harden,34
2021-22,BKN,44,37.0,112.3,111.7,0.6,39.9,2.11,29.7,2.6,17.9,10.6,14.1,48.6,57.6,27.7,99.92,15.5,James Harden,34
2020-21,TOT,44,36.6,117.2,114.3,2.9,44.2,2.68,31.2,2.3,19.1,11.1,11.6,54.8,61.8,28.3,99.78,17.4,James Harden,34
2020-21,BKN,36,36.6,118.7,113.7,5.0,43.8,2.74,31.5,2.5,20.6,12.0,11.5,55.1,61.9,28.2,99.51,17.8,James Harden,34
2020-21,HOU,8,36.3,110.5,117.0,-6.6,45.9,2.44,30.0,1.7,12.1,7.0,12.3,53.7,61.3,28.9,101.04,15.7,James Harden,34
2019-20,HOU,68,36.5,114.0,108.2,5.8,36.6,1.66,19.4,2.6,13.9,8.3,11.6,54.3,62.6,35.6,103.04,19.0,James Harden,34
2018-19,HOU,78,36.8,116.6,110.3,6.3,39.4,1.51,18.2,2.3,15.7,8.9,12.0,54.1,61.6,39.6,98.06,20.1,James Harden,34
2017-18,HOU,72,35.4,116.2,106.2,10.0,44.9,2.0,23.4,1.7,13.7,7.8,11.7,54.1,61.9,35.3,98.29,19.4,James Harden,34
2016-17,HOU,81,36.4,115.6,108.9,6.7,50.5,1.95,27.9,3.1,18.5,10.9,14.3,52.5,61.3,33.3,101.32,19.0,James Harden,34
2015-16,HOU,82,38.1,108.6,106.9,1.6,35.4,1.64,20.7,1.9,14.0,7.9,12.7,51.2,59.8,31.9,98.74,17.4,James Harden,34
2014-15,HOU,81,36.8,109.2,103.5,5.7,34.0,1.76,20.8,2.5,12.6,7.5,11.8,51.1,60.5,30.8,97.61,18.4,James Harden,34
2013-14,HOU,73,38.0,112.1,104.9,7.2,26.6,1.68,20.3,2.3,9.4,6.0,12.1,52.9,61.8,27.0,97.75,15.6,James Harden,34
2012-13,HOU,78,38.3,108.8,105.9,2.9,25.7,1.54,18.7,2.1,10.5,6.4,12.2,50.4,60.0,28.5,97.59,14.9,James Harden,34
2011-12,OKC,62,31.4,113.3,103.5,9.8,19.0,1.67,19.9,1.7,10.9,6.7,11.9,58.2,66.0,21.3,93.94,13.9,James Harden,34
2010-11,OKC,82,26.7,109.2,104.3,4.9,13.6,1.66,15.8,2.0,9.6,6.0,9.5,51.8,59.8,19.3,94.22,10.8,James Harden,34
2009-10,OKC,76,22.9,104.8,99.9,4.9,13.0,1.29,14.7,2.8,11.1,7.1,11.4,48.4,55.1,19.9,95.3,9.7,James Harden,34
