By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,POR,29,32.7,105.0,117.1,-12.1,10.9,1.66,13.2,1.4,9.2,5.1,7.9,47.8,52.7,19.5,100.66,7.2,Jerami Grant,91
2023-24,POR,54,33.9,107.8,117.5,-9.6,13.8,1.31,12.2,1.9,8.7,5.2,9.3,51.6,57.3,25.5,98.26,10.0,Jerami Grant,91
2022-23,POR,63,35.6,116.1,117.3,-1.2,10.3,1.29,11.3,2.5,10.4,6.5,8.8,55.4,60.6,22.7,99.08,9.9,Jerami Grant,91
2021-22,DET,47,31.9,102.9,110.7,-7.8,13.0,1.31,11.1,1.7,10.8,6.0,8.5,49.1,55.6,25.3,98.31,11.2,Jerami Grant,91
2020-21,DET,54,33.9,108.3,111.5,-3.2,14.5,1.39,11.3,1.8,11.8,6.7,8.1,49.1,55.6,27.8,99.21,11.4,Jerami Grant,91
2019-20,DEN,71,26.6,110.3,112.3,-2.1,6.8,1.4,10.2,3.1,9.9,6.5,7.3,55.5,59.1,17.7,99.03,8.3,Jerami Grant,91
2018-19,OKC,80,32.7,111.0,105.6,5.4,4.0,1.18,7.4,3.2,11.8,7.3,6.3,56.7,59.2,15.0,104.64,8.4,Jerami Grant,91
2017-18,OKC,81,20.3,106.5,104.7,1.7,5.5,1.06,8.5,5.0,14.0,9.4,8.1,57.0,60.7,16.1,98.37,10.1,Jerami Grant,91
2016-17,TOT,80,19.1,104.0,108.4,-4.4,4.4,1.05,9.4,2.3,10.6,6.4,9.0,52.9,55.6,12.2,99.68,5.8,Jerami Grant,91
2016-17,OKC,78,19.1,104.4,108.6,-4.2,4.5,1.12,9.9,2.4,10.6,6.4,8.9,53.9,56.6,11.8,99.67,5.9,Jerami Grant,91
2016-17,PHI,2,20.6,89.4,103.4,-14.0,0.0,0.0,0.0,0.0,12.5,6.6,12.5,35.3,39.0,25.3,100.23,0.8,Jerami Grant,91
2015-16,PHI,77,26.8,96.0,106.6,-10.7,10.6,1.23,13.6,4.6,12.2,8.4,11.1,44.8,50.6,17.9,99.79,7.3,Jerami Grant,91
2014-15,PHI,65,21.2,94.9,100.1,-5.2,9.5,0.93,13.0,3.3,10.4,6.8,14.0,42.2,47.0,16.2,99.13,4.7,Jerami Grant,91
