By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,MIA,22,30.8,117.5,113.2,4.3,23.5,3.81,24.3,7.5,10.6,9.0,6.4,57.8,64.8,20.3,97.47,14.3,Jimmy Butler,69
2023-24,MIA,60,34.0,116.0,110.5,5.5,22.8,2.92,21.5,5.4,10.6,8.0,7.4,53.7,62.6,23.5,97.23,14.5,Jimmy Butler,69
2022-23,MIA,64,33.4,114.9,113.7,1.2,26.4,3.37,21.9,6.8,12.1,9.3,6.5,56.0,64.7,24.8,97.02,17.7,Jimmy Butler,69
2021-22,MIA,57,33.9,114.4,108.4,6.1,26.4,2.58,21.4,5.5,12.5,9.0,8.3,49.6,59.2,26.0,96.49,16.4,Jimmy Butler,69
2020-21,MIA,52,33.6,112.1,106.9,5.2,34.5,3.39,26.5,5.6,15.3,10.5,7.8,51.4,60.7,25.9,97.73,18.4,Jimmy Butler,69
2019-20,MIA,58,33.8,113.2,108.0,5.2,28.3,2.76,23.9,5.5,13.9,9.8,8.7,47.4,58.5,24.6,98.25,15.9,Jimmy Butler,69
2018-19,TOT,65,33.6,111.9,108.3,3.6,17.9,2.77,18.5,5.4,9.4,7.5,6.7,49.9,57.1,21.8,102.44,12.6,Jimmy Butler,69
2018-19,PHI,55,33.2,113.3,107.5,5.8,17.5,2.72,18.7,5.7,9.3,7.6,6.9,49.4,56.9,21.7,102.49,12.4,Jimmy Butler,69
2018-19,MIN,10,36.1,104.8,112.7,-7.9,19.8,3.07,17.8,3.9,9.8,6.7,5.8,52.5,57.9,22.4,102.18,13.8,Jimmy Butler,69
2017-18,MIN,59,36.7,114.7,106.4,8.3,20.4,2.67,19.3,3.8,11.2,7.5,7.2,51.2,59.0,24.5,95.76,15.1,Jimmy Butler,69
2016-17,CHI,76,37.0,108.0,104.7,3.3,24.3,2.62,19.7,4.4,11.8,8.1,7.5,49.2,58.6,26.1,96.48,16.4,Jimmy Butler,69
2015-16,CHI,67,36.9,104.2,104.5,-0.3,21.8,2.43,18.9,3.1,10.3,6.8,7.8,48.5,56.2,24.2,96.53,14.1,Jimmy Butler,69
2014-15,CHI,65,38.7,107.4,102.7,4.6,14.2,2.28,14.9,4.5,9.9,7.3,6.5,50.2,58.3,21.3,94.13,13.8,Jimmy Butler,69
2013-14,CHI,67,38.7,102.9,98.9,4.0,11.0,1.72,15.5,3.4,9.5,6.5,9.1,44.6,52.2,16.7,91.09,9.5,Jimmy Butler,69
2012-13,CHI,82,26.0,103.2,100.7,2.4,8.8,1.85,14.6,6.4,9.2,7.7,7.8,50.6,57.4,14.4,90.64,10.6,Jimmy Butler,69
2011-12,CHI,42,8.5,104.0,91.8,12.2,6.1,1.0,10.5,6.1,8.5,7.3,10.5,41.8,52.6,14.3,91.11,8.4,Jimmy Butler,69
