By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,UTA,22,25.6,105.2,117.6,-12.4,26.2,1.53,18.2,2.4,10.1,6.2,11.9,48.6,53.9,27.4,101.32,11.0,Jordan Clarkson,82
2023-24,UTA,55,30.6,113.9,119.7,-5.7,24.7,1.9,21.0,2.8,8.3,5.5,11.1,46.9,52.1,25.5,100.77,9.0,Jordan Clarkson,82
2022-23,UTA,61,32.6,117.4,116.6,0.8,20.9,1.45,17.1,3.6,8.3,6.0,11.8,51.9,55.8,27.3,100.54,10.2,Jordan Clarkson,82
2021-22,UTA,79,27.1,115.7,107.0,8.7,14.4,1.5,12.9,3.0,9.1,6.1,8.6,50.4,53.2,25.8,98.29,9.7,Jordan Clarkson,82
2020-21,UTA,68,26.7,115.8,108.0,7.8,14.9,1.46,11.9,2.5,11.7,7.2,8.2,52.2,54.9,28.6,100.87,11.5,Jordan Clarkson,82
2019-20,TOT,71,24.0,110.5,111.0,-0.5,13.0,1.4,11.7,2.8,7.8,5.3,8.4,54.2,57.4,25.4,99.87,10.5,Jordan Clarkson,82
2019-20,UTA,42,24.7,114.1,110.7,3.4,9.8,1.14,9.5,2.8,8.3,5.5,8.3,54.8,56.9,25.6,100.02,9.7,Jordan Clarkson,82
2019-20,CLE,29,23.0,104.9,111.4,-6.5,18.7,1.79,15.1,2.9,7.1,5.0,8.4,53.2,58.1,25.0,99.64,11.8,Jordan Clarkson,82
2018-19,CLE,81,27.3,107.0,115.0,-8.0,15.3,1.45,12.4,3.5,8.7,6.0,8.5,50.9,53.9,26.6,99.17,10.5,Jordan Clarkson,82
2017-18,TOT,81,23.3,104.6,106.5,-1.9,19.3,1.74,16.1,2.9,8.0,5.5,9.3,50.9,54.2,25.3,101.14,11.5,Jordan Clarkson,82
2017-18,CLE,28,22.6,106.7,109.0,-2.3,12.2,1.5,12.3,2.0,6.8,4.4,8.2,53.3,56.5,23.2,99.75,9.5,Jordan Clarkson,82
2017-18,LAL,53,23.7,103.6,105.3,-1.7,22.9,1.82,17.7,3.3,8.7,6.0,9.7,49.9,53.2,26.4,101.84,12.6,Jordan Clarkson,82
2016-17,LAL,82,29.2,104.2,112.6,-8.3,14.3,1.3,14.1,2.0,8.3,5.0,10.8,50.0,52.6,22.8,100.47,8.4,Jordan Clarkson,82
2015-16,LAL,79,32.3,99.8,111.9,-12.1,13.9,1.42,12.7,3.3,8.6,5.9,8.9,48.3,51.6,22.5,97.38,8.7,Jordan Clarkson,82
2014-15,LAL,59,25.0,100.8,109.1,-8.3,24.3,2.15,21.3,3.6,9.7,6.5,9.9,48.0,52.8,23.0,94.08,10.9,Jordan Clarkson,82
