By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,NYK,36,37.7,118.9,112.2,6.8,19.5,2.89,30.8,5.2,18.8,12.2,10.7,63.3,66.5,14.5,98.07,12.3,Josh Hart,96
2023-24,NYK,81,33.4,117.2,110.6,6.6,16.4,2.81,28.1,4.6,20.5,12.3,10.0,49.3,52.2,13.3,95.77,10.0,Josh Hart,96
2022-23,TOT,76,32.3,119.4,113.5,5.9,15.4,2.48,29.0,6.0,18.5,12.4,11.7,58.8,62.2,12.4,99.12,10.1,Josh Hart,96
2022-23,NYK,25,30.0,123.1,111.2,11.9,15.1,2.37,29.0,6.5,17.4,12.0,12.3,67.2,70.3,12.3,99.35,11.5,Josh Hart,96
2022-23,POR,51,33.4,117.8,114.5,3.3,15.6,2.53,29.0,5.8,18.9,12.5,11.4,55.1,58.6,12.4,99.02,9.5,Josh Hart,96
2021-22,TOT,54,33.2,108.4,113.2,-4.9,19.0,1.96,22.5,3.3,18.3,10.7,11.4,56.9,61.0,18.4,99.35,11.7,Josh Hart,96
2021-22,POR,13,32.1,107.1,116.9,-9.8,21.5,1.7,19.2,2.0,14.7,8.1,11.3,58.7,62.2,23.5,102.0,13.1,Josh Hart,96
2021-22,NOP,41,33.5,108.8,112.1,-3.3,18.3,2.07,23.8,3.8,19.4,11.4,11.5,56.0,60.4,16.8,98.55,11.2,Josh Hart,96
2020-21,NOP,47,28.7,111.9,112.1,-0.2,10.9,2.22,20.2,3.9,23.4,13.8,9.1,53.1,56.6,13.3,101.19,10.0,Josh Hart,96
2019-20,NOP,65,27.0,108.2,111.2,-3.1,8.4,1.44,14.1,3.2,19.5,11.3,9.8,53.7,56.3,15.0,104.9,9.1,Josh Hart,96
2018-19,LAL,67,25.6,105.1,104.7,0.4,7.2,1.6,14.4,1.9,10.9,6.5,9.0,50.6,52.6,13.0,105.57,6.3,Josh Hart,96
2017-18,LAL,63,23.2,106.4,108.3,-1.9,7.6,1.7,14.7,2.8,14.3,8.6,8.6,57.3,59.6,13.3,100.37,8.8,Josh Hart,96
