By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,MIN,36,33.0,111.7,109.7,2.0,22.0,1.47,18.4,5.8,14.5,10.2,12.5,53.6,59.3,25.5,98.14,12.5,Julius Randle,47
2023-24,NYK,46,35.4,119.7,113.8,6.0,21.7,1.44,16.9,5.9,19.8,12.8,11.7,51.8,56.9,28.7,98.84,13.4,Julius Randle,47
2022-23,NYK,77,35.5,118.1,115.4,2.7,18.4,1.46,14.5,5.0,22.6,13.7,9.9,53.6,58.1,28.8,97.83,14.8,Julius Randle,47
2021-22,NYK,72,35.3,108.0,111.6,-3.6,25.1,1.51,18.2,4.5,22.5,13.2,12.0,45.9,50.9,27.9,97.68,12.8,Julius Randle,47
2020-21,NYK,71,37.6,109.8,106.8,3.0,26.9,1.77,19.7,3.1,22.7,13.1,11.1,51.6,56.7,28.5,97.22,15.8,Julius Randle,47
2019-20,NYK,64,32.5,105.7,111.6,-5.9,15.8,1.03,12.8,6.7,22.3,14.2,12.4,49.2,53.8,27.1,99.72,13.1,Julius Randle,47
2018-19,NOP,73,30.6,111.2,111.4,-0.2,15.8,1.1,13.2,6.9,19.8,13.4,12.0,55.5,60.0,27.3,104.48,13.7,Julius Randle,47
2017-18,LAL,82,26.7,107.0,108.4,-1.4,15.8,0.99,13.9,8.2,20.2,14.4,14.1,56.3,60.6,25.1,101.3,13.5,Julius Randle,47
2016-17,LAL,74,28.8,104.2,114.0,-9.8,19.5,1.53,19.8,6.6,23.1,14.5,13.0,49.9,54.3,21.2,100.05,11.3,Julius Randle,47
2015-16,LAL,81,28.2,98.9,113.0,-14.1,11.1,0.97,11.6,6.9,29.2,17.4,12.0,43.5,48.2,20.9,97.52,11.0,Julius Randle,47
2014-15,LAL,1,13.6,60.0,126.9,-66.9,0.0,0.0,0.0,0.0,0.0,0.0,20.0,33.3,25.8,17.2,90.22,-24.2,Julius Randle,47
