By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,NYK,32,34.3,121.2,110.6,10.6,14.4,1.29,13.5,8.9,31.0,20.4,10.5,61.5,66.2,26.6,99.2,17.7,Karl-Anthony Towns,15
2023-24,MIN,62,32.7,116.3,109.1,7.2,14.7,1.07,13.2,5.0,20.4,13.1,12.3,57.5,62.5,26.8,98.37,14.0,Karl-Anthony Towns,15
2022-23,MIN,29,33.0,111.2,109.4,1.8,22.5,1.63,19.6,5.0,18.1,11.8,12.1,56.5,61.8,25.0,102.72,13.8,Karl-Anthony Towns,15
2021-22,MIN,74,33.5,116.9,111.6,5.3,17.7,1.19,14.2,7.4,21.0,14.1,11.9,59.1,64.0,27.2,101.48,15.9,Karl-Anthony Towns,15
2020-21,MIN,50,33.8,114.6,114.7,-0.1,21.6,1.41,16.2,7.5,23.7,15.4,11.5,55.5,61.2,28.6,101.77,15.5,Karl-Anthony Towns,15
2019-20,MIN,35,33.9,113.9,115.4,-1.5,21.0,1.39,15.7,7.5,24.0,15.5,11.3,60.0,64.2,27.8,104.69,16.8,Karl-Anthony Towns,15
2018-19,MIN,77,33.0,112.2,111.3,0.9,16.9,1.08,13.0,9.7,25.7,17.6,12.0,57.2,62.2,28.0,101.05,17.7,Karl-Anthony Towns,15
2017-18,MIN,82,35.6,115.3,109.2,6.1,10.5,1.25,11.7,8.5,27.2,17.9,9.3,59.6,64.6,22.5,96.15,16.5,Karl-Anthony Towns,15
2016-17,MIN,82,37.0,111.8,112.1,-0.3,12.7,1.04,10.5,10.1,24.7,17.3,10.1,57.6,61.8,27.1,95.73,17.0,Karl-Anthony Towns,15
2015-16,MIN,82,32.0,106.8,109.3,-2.5,10.8,0.88,10.0,9.2,24.2,16.9,11.4,55.5,59.0,24.3,97.06,15.4,Karl-Anthony Towns,15
