By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,PHX,22,36.0,113.1,114.2,-1.2,18.5,1.15,13.0,1.5,16.0,9.2,11.3,57.5,62.6,31.0,99.84,14.8,Kevin Durant,8
2023-24,PHX,75,37.2,118.1,113.3,4.8,21.3,1.55,16.9,1.6,15.5,8.9,10.9,58.1,62.6,28.3,100.24,14.8,Kevin Durant,8
2022-23,TOT,47,35.6,117.1,110.3,6.8,22.8,1.51,17.0,1.2,16.6,9.6,11.3,61.4,67.7,30.5,99.0,18.5,Kevin Durant,8
2022-23,PHX,8,33.7,117.7,107.0,10.7,17.1,1.4,14.3,1.2,17.0,9.7,10.2,65.6,69.7,27.3,97.79,18.4,Kevin Durant,8
2022-23,BKN,39,36.0,117.0,111.0,6.1,23.9,1.52,17.4,1.1,16.5,9.6,11.4,60.7,67.3,31.1,99.23,18.6,Kevin Durant,8
2021-22,BKN,55,37.2,116.2,109.7,6.5,27.4,1.84,19.1,1.5,16.6,9.7,10.4,57.0,63.4,31.0,101.17,18.0,Kevin Durant,8
2020-21,BKN,35,33.1,121.7,111.1,10.7,25.2,1.63,19.1,1.2,18.0,10.5,11.8,60.8,66.6,30.3,103.03,17.2,Kevin Durant,8
2018-19,GSW,78,34.6,118.7,107.3,11.4,25.1,2.03,20.0,1.3,15.3,8.8,9.8,57.1,63.1,28.3,103.33,16.2,Kevin Durant,8
2017-18,GSW,68,34.2,115.9,108.9,7.0,24.3,1.77,18.7,1.5,16.9,9.9,10.6,58.6,64.0,29.3,102.24,16.8,Kevin Durant,8
2016-17,GSW,62,33.4,118.0,102.3,15.7,21.8,2.17,18.5,2.0,20.7,12.2,8.5,59.4,65.1,27.1,102.86,18.6,Kevin Durant,8
2015-16,OKC,72,35.8,114.5,102.9,11.6,23.0,1.44,16.4,1.8,18.8,11.0,11.4,57.3,63.4,29.8,99.34,19.4,Kevin Durant,8
2014-15,OKC,27,33.8,109.5,101.0,8.5,21.3,1.49,15.3,1.7,16.3,9.2,10.3,57.8,63.3,28.0,98.59,19.4,Kevin Durant,8
2013-14,OKC,81,38.5,111.4,103.3,8.1,25.9,1.56,16.2,2.0,16.4,9.6,10.3,56.0,63.5,32.2,97.54,20.6,Kevin Durant,8
2012-13,OKC,81,38.5,113.1,100.9,12.2,21.3,1.34,15.5,1.7,17.9,10.6,11.6,55.9,64.7,29.5,94.6,20.2,Kevin Durant,8
2011-12,OKC,66,38.6,109.1,101.9,7.2,17.0,0.93,11.7,1.7,17.7,10.3,12.5,54.7,61.0,30.3,95.22,18.6,Kevin Durant,8
2010-11,OKC,78,38.9,110.8,106.8,4.1,12.7,0.98,9.5,2.0,15.4,8.9,9.7,50.9,58.9,29.6,95.02,15.9,Kevin Durant,8
2009-10,OKC,82,39.5,109.0,102.7,6.2,13.0,0.85,9.1,3.4,15.8,9.8,10.7,51.4,60.7,31.1,95.46,18.3,Kevin Durant,8
2008-09,OKC,74,39.0,100.6,109.3,-8.7,13.5,0.91,10.1,2.7,14.9,8.6,11.1,51.0,57.7,27.7,95.63,14.8,Kevin Durant,8
2007-08,SEA,80,34.6,98.9,110.1,-11.3,12.0,0.83,9.7,2.4,9.8,6.1,11.7,45.1,51.9,27.3,98.72,10.4,Kevin Durant,8
