By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,DAL,32,27.8,117.6,110.4,7.2,9.4,1.48,12.2,2.1,9.4,5.8,8.3,54.0,55.9,21.1,100.14,8.5,Klay Thompson,97
2023-24,GSW,77,29.7,115.8,116.1,-0.3,11.0,1.5,11.9,1.5,9.3,5.4,7.9,55.1,57.6,23.4,101.9,9.0,Klay Thompson,97
2022-23,GSW,69,33.0,115.4,112.6,2.9,10.5,1.33,10.2,1.7,10.1,6.0,7.7,55.6,57.6,25.6,103.95,10.0,Klay Thompson,97
2021-22,GSW,32,29.4,111.4,108.0,3.3,15.3,2.05,12.1,1.5,10.6,6.2,5.9,52.9,54.7,28.4,101.53,11.4,Klay Thompson,97
2018-19,GSW,78,34.0,115.0,108.5,6.5,10.3,1.62,10.5,1.5,8.9,5.5,6.5,55.3,57.1,25.4,102.39,10.3,Klay Thompson,97
2017-18,GSW,73,34.3,112.6,105.6,7.1,10.8,1.45,12.1,1.4,8.9,5.5,8.3,58.6,59.9,23.2,101.38,10.3,Klay Thompson,97
2016-17,GSW,78,34.0,116.5,102.4,14.1,9.0,1.25,9.1,2.0,8.1,5.3,7.3,56.5,59.2,25.8,101.02,10.9,Klay Thompson,97
2015-16,GSW,80,33.3,116.0,101.3,14.6,9.4,1.2,9.3,1.4,9.0,5.5,7.7,56.9,59.7,26.0,101.35,11.4,Klay Thompson,97
2014-15,GSW,77,31.9,114.1,98.9,15.2,13.7,1.49,12.5,1.1,8.2,4.9,8.4,55.5,59.1,27.2,100.37,12.6,Klay Thompson,97
2013-14,GSW,81,35.4,109.4,100.3,9.1,9.7,1.34,10.9,1.4,7.0,4.3,8.1,53.3,55.5,22.4,97.77,8.4,Klay Thompson,97
2012-13,GSW,82,35.8,106.0,104.2,1.8,9.9,1.17,11.3,1.1,8.9,5.1,9.7,50.9,53.3,21.6,96.3,7.6,Klay Thompson,97
2011-12,GSW,66,24.4,102.8,107.2,-4.4,14.2,1.29,13.4,1.5,8.6,5.1,10.4,52.0,54.5,24.3,94.33,8.7,Klay Thompson,97
