By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,BOS,14,27.9,112.9,109.8,3.1,9.5,1.71,9.3,5.8,17.1,11.3,5.4,52.7,58.9,24.5,102.11,13.0,Kristaps Porzingis,65
2023-24,BOS,57,29.6,120.8,109.6,11.2,9.8,1.29,10.6,5.9,16.3,11.5,8.2,58.9,64.7,24.7,100.55,13.8,Kristaps Porzingis,65
2022-23,WAS,65,32.6,116.2,114.8,1.4,12.5,1.27,11.6,5.7,19.4,13.0,9.1,56.5,62.7,27.2,99.2,14.5,Kristaps Porzingis,65
2021-22,TOT,51,29.0,109.9,109.5,0.4,13.3,1.47,10.9,6.8,20.4,13.7,7.4,51.0,57.7,28.6,97.92,15.0,Kristaps Porzingis,65
2021-22,WAS,17,28.2,114.0,116.6,-2.6,16.8,1.79,12.9,8.4,23.3,16.0,7.2,53.1,60.6,31.2,98.43,16.4,Kristaps Porzingis,65
2021-22,DAL,34,29.5,108.0,106.1,1.8,11.6,1.3,9.9,6.2,19.0,12.6,7.6,49.9,56.1,27.4,97.68,14.2,Kristaps Porzingis,65
2020-21,DAL,43,30.9,116.0,115.3,0.7,8.1,1.33,7.9,6.2,21.9,14.1,5.9,54.7,58.2,25.9,98.93,13.5,Kristaps Porzingis,65
2019-20,DAL,57,31.8,116.1,109.3,6.9,8.8,1.11,8.2,5.2,22.1,13.7,7.4,50.3,55.1,26.3,101.54,12.8,Kristaps Porzingis,65
2017-18,NYK,48,32.4,107.1,106.7,0.4,6.3,0.61,4.9,3.9,15.4,9.8,8.0,48.9,53.9,30.5,97.78,12.5,Kristaps Porzingis,65
2016-17,NYK,66,32.8,106.4,108.7,-2.4,7.3,0.82,7.4,5.0,15.9,10.5,9.0,50.7,54.6,24.0,97.86,10.6,Kristaps Porzingis,65
2015-16,NYK,72,28.4,104.6,104.3,0.3,7.6,0.78,7.7,6.3,18.4,12.4,10.0,46.7,51.8,24.3,94.93,11.3,Kristaps Porzingis,65
