By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,LAL,33,34.9,109.9,116.4,-6.6,43.3,2.41,27.3,2.5,19.5,11.0,11.3,56.8,59.7,28.3,101.08,16.6,LeBron James,27
2023-24,LAL,71,35.3,117.4,113.6,3.8,35.8,2.4,26.0,2.6,17.2,10.4,10.8,59.9,63.0,28.5,101.54,16.9,LeBron James,27
2022-23,LAL,55,35.5,115.6,111.0,4.6,30.8,2.11,19.8,3.3,19.1,11.4,9.4,54.9,58.3,32.2,103.11,17.2,LeBron James,27
2021-22,LAL,56,37.2,110.9,113.5,-2.5,29.7,1.78,18.4,3.1,18.5,10.9,10.4,59.0,61.9,31.7,100.92,18.0,LeBron James,27
2020-21,LAL,45,33.4,112.4,103.2,9.2,39.4,2.08,24.3,2.0,20.2,11.4,11.7,57.6,60.2,31.0,100.41,19.1,LeBron James,27
2019-20,LAL,67,34.6,112.1,103.6,8.5,47.7,2.62,28.5,2.8,19.1,11.0,10.9,55.0,57.7,30.8,101.5,19.8,LeBron James,27
2018-19,LAL,55,35.2,109.6,107.6,2.0,37.6,2.3,23.6,2.9,19.3,11.4,10.2,56.0,58.8,31.1,104.12,18.8,LeBron James,27
2017-18,CLE,82,36.9,113.7,112.1,1.6,43.2,2.15,25.8,3.3,20.1,11.9,12.0,59.0,62.1,31.0,99.12,19.1,LeBron James,27
2016-17,CLE,74,37.8,116.7,108.5,8.3,38.8,2.13,25.7,3.6,18.9,11.4,12.1,59.4,61.9,29.2,97.0,18.3,LeBron James,27
2015-16,CLE,76,35.6,114.0,102.6,11.4,33.9,2.06,21.6,4.2,16.7,10.6,10.5,55.1,58.8,30.5,94.61,18.9,LeBron James,27
2014-15,CLE,69,36.1,113.8,102.8,10.9,36.6,1.88,22.4,2.2,14.7,8.6,11.9,53.5,57.7,31.8,94.06,17.1,LeBron James,27
2013-14,MIA,77,37.7,112.0,105.1,6.9,31.1,1.81,20.7,3.4,16.5,10.4,11.5,61.0,64.9,30.3,93.04,20.0,LeBron James,27
2012-13,MIA,76,37.9,114.2,101.9,12.3,34.4,2.44,23.3,3.9,18.0,11.5,9.6,60.3,64.0,29.4,92.28,22.1,LeBron James,27
2011-12,MIA,62,37.5,108.6,98.4,10.2,31.8,1.82,19.5,4.4,17.1,11.1,10.7,55.4,60.5,31.1,93.41,22.0,LeBron James,27
2010-11,MIA,79,38.8,111.5,101.4,10.1,34.3,1.95,21.3,2.9,16.3,10.1,10.9,54.1,59.4,30.7,92.52,20.1,LeBron James,27
2009-10,CLE,76,39.0,114.0,103.0,11.0,39.8,2.49,23.5,2.7,16.5,9.9,9.4,54.5,60.4,32.8,92.57,21.8,LeBron James,27
2008-09,CLE,81,37.7,114.0,99.4,14.6,36.5,2.44,21.2,3.7,16.8,10.4,8.7,53.0,59.1,33.0,90.44,22.6,LeBron James,27
2007-08,CLE,75,40.4,107.2,105.5,1.7,35.2,2.11,19.5,4.3,15.8,9.9,9.2,51.8,56.8,32.8,92.17,19.9,LeBron James,27
2006-07,CLE,78,40.9,105.6,99.9,5.7,28.1,1.88,17.9,2.6,14.7,8.4,9.5,50.7,55.2,30.3,91.92,18.1,LeBron James,27
2005-06,CLE,79,42.5,108.2,104.4,3.8,31.5,2.0,17.7,2.3,15.0,8.6,8.9,51.5,56.8,32.9,91.25,19.2,LeBron James,27
2004-05,CLE,80,42.3,106.2,104.1,2.1,32.4,2.2,20.7,3.3,14.7,8.9,9.4,50.4,55.4,29.2,91.02,19.0,LeBron James,27
2003-04,CLE,79,39.6,101.4,103.4,-2.0,26.8,1.7,19.2,3.1,10.4,6.7,11.3,43.8,48.8,27.6,93.07,12.3,LeBron James,27
