By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,DET,36,28.2,108.8,108.5,0.4,9.9,1.69,10.9,1.9,8.5,5.2,6.4,55.6,56.8,21.6,102.35,9.3,Malik Beasley,83
2023-24,MIL,79,29.6,118.3,112.6,5.8,5.9,2.0,12.0,1.7,9.8,5.9,6.0,59.8,60.3,14.2,102.26,6.5,Malik Beasley,83
2022-23,TOT,81,25.8,112.4,114.6,-2.2,8.6,1.38,10.6,1.6,11.6,6.6,7.7,52.0,53.1,20.7,102.18,7.9,Malik Beasley,83
2022-23,LAL,26,23.9,108.9,111.1,-2.2,7.2,1.03,9.2,1.2,11.9,6.6,8.9,51.5,52.1,20.2,103.21,7.1,Malik Beasley,83
2022-23,UTA,55,26.8,113.9,116.1,-2.2,9.2,1.55,11.1,1.8,11.4,6.6,7.2,52.2,53.5,20.9,101.74,8.2,Malik Beasley,83
2021-22,MIN,79,25.0,112.1,110.1,2.0,8.5,2.7,11.3,1.2,10.0,5.4,4.2,53.2,54.4,18.9,103.24,8.1,Malik Beasley,83
2020-21,MIN,37,32.8,107.9,115.0,-7.2,11.4,1.47,11.3,2.1,11.2,6.4,7.7,54.7,57.0,23.5,102.1,10.1,Malik Beasley,83
2019-20,TOT,55,22.0,109.8,111.6,-1.9,9.3,1.32,10.8,1.4,10.7,5.9,8.2,52.5,54.6,20.8,103.39,8.3,Malik Beasley,83
2019-20,MIN,14,33.1,111.6,119.4,-7.7,9.1,1.29,9.2,1.8,13.7,7.4,7.2,57.7,59.1,23.1,106.17,10.1,Malik Beasley,83
2019-20,DEN,41,18.2,108.6,106.6,1.9,9.4,1.33,12.0,1.1,8.9,4.9,9.0,48.5,51.1,19.3,101.67,6.9,Malik Beasley,83
2018-19,DEN,81,23.2,111.2,107.3,3.9,7.4,1.76,10.6,1.8,8.5,5.1,6.0,58.4,59.9,18.1,100.59,8.9,Malik Beasley,83
2017-18,DEN,62,9.4,104.3,105.3,-1.0,7.7,1.29,12.6,2.3,9.5,5.8,9.8,48.9,50.9,15.1,102.96,6.0,Malik Beasley,83
2016-17,DEN,22,7.5,109.9,94.4,15.5,9.8,1.38,11.3,3.2,6.4,5.0,8.2,51.4,53.6,21.6,105.09,8.6,Malik Beasley,83
