By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,IND,35,31.3,113.9,112.6,1.3,7.3,0.73,9.7,4.8,17.5,11.4,13.2,57.8,60.2,20.5,99.78,9.7,Myles Turner,88
2023-24,IND,77,27.0,120.6,115.5,5.1,6.5,0.92,8.0,5.6,19.8,12.8,8.7,58.7,62.6,23.4,102.52,11.6,Myles Turner,88
2022-23,IND,62,29.4,115.1,116.3,-1.2,7.4,0.86,8.5,4.9,20.5,12.8,9.8,61.2,65.1,22.5,101.22,12.5,Myles Turner,88
2021-22,IND,42,29.4,109.7,109.9,-0.3,5.3,0.81,8.2,5.2,18.8,12.0,10.1,58.7,61.5,17.3,97.75,11.1,Myles Turner,88
2020-21,IND,47,31.0,109.2,107.9,1.3,4.7,0.72,7.8,4.3,15.9,10.2,10.9,55.7,59.9,16.7,100.71,9.0,Myles Turner,88
2019-20,IND,62,29.4,107.0,106.7,0.4,5.7,0.85,8.8,4.7,16.8,10.9,10.4,53.0,56.6,18.0,98.47,9.6,Myles Turner,88
2018-19,IND,74,28.6,107.3,104.5,2.8,8.3,1.15,10.6,4.8,19.5,12.3,9.2,53.6,56.7,19.9,98.83,11.9,Myles Turner,88
2017-18,IND,65,28.2,108.3,105.3,3.0,7.1,0.91,9.5,5.2,17.4,11.4,10.5,52.3,56.7,19.9,97.74,10.0,Myles Turner,88
2016-17,IND,81,31.4,109.1,106.4,2.8,6.5,1.01,8.8,5.9,17.2,11.9,8.7,53.4,58.5,19.5,97.52,11.2,Myles Turner,88
2015-16,IND,60,22.8,99.2,101.6,-2.5,5.0,0.61,5.9,4.9,18.2,11.7,9.7,50.1,53.1,20.7,99.76,10.5,Myles Turner,88
