By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,DEN,29,36.9,124.8,113.7,11.1,38.6,2.91,26.6,9.8,24.2,17.4,9.1,61.5,65.1,29.5,103.11,20.6,Nikola Jokic,3
2023-24,DEN,79,34.6,122.4,110.6,11.8,39.1,2.99,27.9,8.6,27.0,18.2,9.3,61.2,65.0,28.8,98.05,21.1,Nikola Jokic,3
2022-23,DEN,69,33.7,124.2,111.6,12.5,41.2,2.74,32.1,8.0,28.3,18.6,11.7,66.0,70.1,26.3,100.42,21.1,Nikola Jokic,3
2021-22,DEN,74,33.5,117.3,108.9,8.4,38.8,2.08,24.8,9.0,31.3,20.9,11.9,62.0,66.1,30.9,99.46,23.0,Nikola Jokic,3
2020-21,DEN,72,34.6,120.2,112.6,7.7,37.7,2.7,26.2,8.7,23.7,16.3,9.7,60.2,64.7,29.3,98.15,20.1,Nikola Jokic,3
2019-20,DEN,73,32.0,113.4,108.9,4.5,35.0,2.27,26.4,7.3,23.7,15.5,11.6,56.5,60.5,26.6,96.9,17.9,Nikola Jokic,3
2018-19,DEN,80,31.3,113.3,107.5,5.8,36.1,2.34,26.5,8.9,24.9,16.9,11.4,54.5,58.9,27.1,98.4,18.8,Nikola Jokic,3
2017-18,DEN,75,32.6,114.0,107.8,6.2,28.6,2.18,25.3,8.1,25.4,16.8,11.6,55.4,60.3,23.8,97.52,16.9,Nikola Jokic,3
2016-17,DEN,73,27.9,116.3,109.7,6.5,26.6,2.1,24.2,10.6,24.8,17.8,11.5,60.5,64.0,23.1,100.23,16.7,Nikola Jokic,3
2015-16,DEN,80,21.7,105.5,103.1,2.4,17.6,1.82,19.4,9.9,22.3,15.9,10.7,53.5,58.2,19.4,96.5,14.5,Nikola Jokic,3
