By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,CHI,35,32.3,113.6,117.2,-3.6,15.5,2.07,16.0,6.8,22.9,15.0,7.7,62.3,64.2,22.4,104.56,14.3,Nikola Vucevic,46
2023-24,CHI,76,34.3,112.5,115.7,-3.1,15.3,2.12,15.5,8.0,22.9,15.4,7.3,52.2,54.0,23.3,97.36,12.6,Nikola Vucevic,46
2022-23,CHI,82,33.5,112.3,112.8,-0.5,14.6,1.91,16.4,6.2,27.4,17.2,8.6,57.3,59.4,21.8,99.31,14.3,Nikola Vucevic,46
2021-22,CHI,73,33.1,111.3,112.8,-1.6,15.3,1.74,15.0,6.0,27.4,16.8,8.6,51.8,53.3,24.4,99.04,13.2,Nikola Vucevic,46
2020-21,TOT,70,33.5,106.6,113.6,-7.0,20.7,2.13,14.5,5.9,28.9,17.0,6.8,54.0,56.0,29.2,99.15,16.8,Nikola Vucevic,46
2020-21,CHI,26,32.6,109.2,113.2,-4.1,19.7,2.37,15.7,6.7,29.0,17.5,6.6,53.2,55.0,27.9,98.1,15.7,Nikola Vucevic,46
2020-21,ORL,44,34.1,105.2,113.8,-8.6,21.3,2.01,13.9,5.5,28.9,16.8,6.9,54.5,56.5,29.9,99.75,17.4,Nikola Vucevic,46
2019-20,ORL,62,32.2,110.1,109.2,0.9,18.2,2.52,15.7,6.8,27.0,16.7,6.2,52.5,54.9,25.8,99.81,15.3,Nikola Vucevic,46
2018-19,ORL,80,31.4,110.4,106.4,4.0,20.8,1.93,16.0,8.8,28.6,18.8,8.3,54.9,57.3,27.6,99.22,18.5,Nikola Vucevic,46
2017-18,ORL,57,29.5,106.1,107.5,-1.3,18.4,1.75,16.2,5.9,24.9,15.3,9.2,51.3,53.3,25.2,101.48,13.9,Nikola Vucevic,46
2016-17,ORL,75,28.8,104.3,107.8,-3.5,15.7,1.78,14.6,7.7,27.2,17.3,8.2,48.0,49.8,24.1,99.13,14.2,Nikola Vucevic,46
2015-16,ORL,65,31.3,104.9,106.1,-1.2,15.4,1.46,12.7,8.4,20.3,14.2,8.7,51.1,53.1,26.5,96.76,14.0,Nikola Vucevic,46
2014-15,ORL,74,34.2,101.3,107.5,-6.1,10.6,0.99,9.2,9.5,23.6,16.4,9.3,52.4,54.8,25.4,95.5,14.6,Nikola Vucevic,46
2013-14,ORL,57,31.8,101.6,106.7,-5.1,9.8,0.93,10.7,10.1,24.8,17.4,11.5,50.7,53.6,21.4,95.11,13.4,Nikola Vucevic,46
2012-13,ORL,77,33.2,99.6,107.9,-8.3,9.3,1.01,11.7,10.7,25.8,18.2,11.5,51.9,53.4,19.1,92.66,13.2,Nikola Vucevic,46
2011-12,PHI,51,15.9,98.5,97.1,1.4,6.3,0.94,8.4,10.4,19.3,14.8,8.9,45.5,46.2,18.8,92.89,8.7,Nikola Vucevic,46
