By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,LAC,26,33.3,114.4,110.3,4.1,12.1,1.19,10.5,1.0,9.1,5.1,8.8,59.8,63.5,27.1,99.44,12.6,Norman Powell,23
2023-24,LAC,76,26.2,118.0,113.0,5.1,5.9,1.24,8.3,0.8,8.5,4.8,6.7,59.4,62.6,19.3,100.37,8.7,Norman Powell,23
2022-23,LAC,60,26.1,109.2,113.0,-3.8,11.5,1.08,10.4,1.5,9.3,5.5,9.7,55.9,61.2,25.1,101.66,11.0,Norman Powell,23
2021-22,TOT,45,32.4,110.6,118.7,-8.1,10.6,1.39,11.0,1.3,8.9,5.0,7.9,54.9,60.3,23.1,99.29,9.4,Norman Powell,23
2021-22,LAC,5,25.1,113.3,119.0,-5.7,20.9,2.0,14.0,2.6,9.1,5.9,7.0,61.1,68.2,29.5,102.98,14.7,Norman Powell,23
2021-22,POR,40,33.3,110.3,118.6,-8.3,9.8,1.32,10.6,1.2,8.9,4.9,8.0,54.2,59.3,22.4,98.95,8.9,Norman Powell,23
2020-21,TOT,69,32.0,114.3,112.5,1.8,8.9,1.08,10.1,1.8,7.9,4.8,9.3,57.0,61.8,22.1,101.07,9.6,Norman Powell,23
2020-21,POR,27,34.4,116.5,111.1,5.4,7.9,1.24,10.5,2.3,6.9,4.6,8.5,51.8,57.6,20.1,100.28,7.9,Norman Powell,23
2020-21,TOR,42,30.4,112.7,113.5,-0.8,9.8,1.0,9.8,1.4,8.6,4.9,9.8,60.2,64.5,23.5,101.65,10.8,Norman Powell,23
2019-20,TOR,52,28.4,109.3,104.6,4.6,9.5,1.18,11.0,1.7,9.8,5.9,9.3,58.6,62.4,21.0,103.48,10.9,Norman Powell,23
2018-19,TOR,60,18.8,105.8,105.5,0.3,11.9,1.4,15.5,1.3,10.2,5.8,11.1,56.8,59.6,18.2,103.46,9.2,Norman Powell,23
2017-18,TOR,70,15.2,104.8,106.7,-1.9,12.2,1.35,16.4,1.3,10.0,5.6,12.1,47.2,49.2,18.5,99.41,5.6,Norman Powell,23
2016-17,TOR,76,18.0,109.3,106.5,2.8,9.4,1.17,11.2,2.0,10.7,6.3,9.6,50.4,55.2,20.8,97.31,8.7,Norman Powell,23
2015-16,TOR,49,14.8,108.9,104.2,4.8,10.2,1.47,14.2,2.3,12.9,7.8,9.6,50.2,54.1,17.4,94.78,8.7,Norman Powell,23
