By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,NYK,37,36.5,120.0,111.7,8.3,7.2,1.47,11.2,3.6,10.0,6.9,7.6,55.3,57.7,18.4,98.0,8.3,OG Anunoby,78
2023-24,TOT,50,34.0,118.2,107.2,10.9,8.4,1.32,13.4,2.8,9.1,6.1,10.1,57.7,59.5,17.3,98.71,8.1,OG Anunoby,78
2023-24,NYK,23,34.9,122.6,100.9,21.7,5.8,0.92,10.1,3.0,9.2,6.3,11.0,56.8,59.1,16.8,96.65,8.1,OG Anunoby,78
2023-24,TOR,27,33.3,114.4,112.6,1.8,10.7,1.67,15.9,2.7,9.0,5.9,9.5,58.4,59.8,17.8,100.53,8.1,OG Anunoby,78
2022-23,TOR,67,35.6,114.4,111.4,3.0,8.0,0.99,10.7,3.7,11.0,7.0,10.8,55.6,58.6,19.2,98.34,8.7,OG Anunoby,78
2021-22,TOR,48,36.0,112.0,108.1,3.9,10.8,1.56,13.1,4.0,11.6,7.6,8.4,52.6,54.9,20.4,97.07,9.2,OG Anunoby,78
2020-21,TOR,43,33.3,112.4,109.1,3.3,9.8,1.25,12.8,3.7,12.5,8.1,10.2,58.0,60.5,19.3,99.9,9.9,OG Anunoby,78
2019-20,TOR,69,29.9,110.3,104.2,6.2,7.4,1.37,13.6,3.8,12.9,8.5,9.9,58.4,60.0,14.2,101.93,8.6,OG Anunoby,78
2018-19,TOR,67,20.2,104.9,106.5,-1.7,5.0,0.85,8.8,4.0,10.0,6.9,10.3,53.6,54.4,14.8,103.04,5.7,OG Anunoby,78
2017-18,TOR,74,20.0,113.0,103.0,10.0,4.9,1.22,11.7,3.0,9.0,6.1,9.5,57.7,58.7,12.1,99.62,5.6,OG Anunoby,78
