By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,IND,37,33.4,112.3,110.0,2.3,15.3,2.6,16.3,5.0,16.5,10.9,6.2,58.0,60.9,22.2,101.28,12.8,Pascal Siakam,49
2023-24,TOT,80,33.2,117.6,115.3,2.2,18.9,2.43,17.8,5.2,15.9,10.5,7.4,56.9,60.1,25.0,100.99,13.2,Pascal Siakam,49
2023-24,IND,41,31.8,119.4,115.4,4.1,16.8,2.62,16.3,6.5,17.7,12.1,6.2,57.9,60.2,25.2,101.58,13.6,Pascal Siakam,49
2023-24,TOR,39,34.7,115.8,115.3,0.4,20.9,2.29,19.3,3.9,14.2,9.0,8.4,55.9,60.0,24.8,100.42,12.8,Pascal Siakam,49
2022-23,TOR,71,37.4,115.6,113.3,2.4,24.4,2.46,19.7,4.7,17.7,10.7,8.0,51.5,56.5,27.0,98.17,13.5,Pascal Siakam,49
2021-22,TOR,68,37.9,114.3,109.6,4.8,22.4,1.99,18.8,4.6,18.2,11.1,9.5,52.5,56.5,25.7,96.31,13.9,Pascal Siakam,49
2020-21,TOR,56,35.8,114.4,111.4,3.0,19.5,1.92,17.0,4.5,15.6,9.9,8.8,49.3,54.7,26.1,99.5,11.9,Pascal Siakam,49
2019-20,TOR,60,35.2,111.8,103.0,8.8,16.1,1.4,13.0,3.0,16.2,9.8,9.3,51.2,55.4,27.8,101.93,12.9,Pascal Siakam,49
2018-19,TOR,80,31.8,114.8,104.2,10.6,14.1,1.61,16.8,5.0,15.4,10.5,10.5,59.1,62.8,20.5,100.86,12.4,Pascal Siakam,49
2017-18,TOR,81,20.7,111.2,102.3,8.9,13.3,2.37,21.0,4.8,16.8,10.9,8.9,53.7,54.9,15.4,98.4,10.2,Pascal Siakam,49
2016-17,TOR,55,15.6,105.3,107.3,-2.1,2.8,0.52,6.3,7.7,14.8,11.2,12.2,50.5,52.3,12.9,97.08,6.0,Pascal Siakam,49
