By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,PHI,24,32.0,105.1,108.1,-3.0,25.0,1.76,20.5,2.2,16.0,8.8,11.6,49.1,52.7,24.4,98.61,11.3,Paul George,80
2023-24,LAC,74,33.8,121.2,112.1,9.1,15.7,1.71,14.8,1.6,13.8,8.0,8.7,56.9,61.3,26.4,97.47,12.6,Paul George,80
2022-23,LAC,56,34.6,116.5,112.5,4.0,23.7,1.64,18.1,2.5,15.3,9.1,11.1,53.6,58.8,29.4,98.46,13.5,Paul George,80
2021-22,LAC,31,34.8,108.2,103.9,4.2,28.6,1.4,17.6,1.1,17.1,9.4,12.6,49.3,53.8,32.9,99.95,14.8,Paul George,80
2020-21,LAC,54,33.7,118.3,107.0,11.3,23.9,1.56,18.6,2.6,17.1,10.1,11.9,55.7,59.8,29.6,97.55,14.5,Paul George,80
2019-20,LAC,48,29.6,115.0,106.3,8.7,20.5,1.48,15.7,1.7,16.1,9.1,10.6,53.9,58.9,29.2,102.25,14.7,Paul George,80
2018-19,OKC,77,36.9,112.1,103.9,8.2,17.3,1.55,13.5,3.3,17.3,10.1,8.7,52.9,58.3,28.5,104.35,16.1,Paul George,80
2017-18,OKC,79,36.6,109.7,106.0,3.7,14.3,1.24,13.3,2.3,13.2,7.6,10.7,52.1,57.0,24.8,99.23,12.0,Paul George,80
2016-17,IND,75,35.9,110.2,107.2,3.1,15.7,1.14,12.7,2.3,16.1,9.4,11.2,53.4,58.7,28.7,97.0,13.6,Paul George,80
2015-16,IND,81,34.8,104.3,101.5,2.8,20.3,1.24,14.5,2.7,16.5,9.7,11.7,49.0,55.7,29.6,98.79,15.1,Paul George,80
2014-15,IND,6,15.2,101.7,92.2,9.5,12.2,0.5,8.3,4.5,17.3,11.5,16.7,45.9,49.2,31.9,94.5,10.6,Paul George,80
2013-14,IND,80,36.2,104.5,98.0,6.5,17.7,1.26,13.7,2.3,15.7,9.3,10.9,49.0,55.5,27.8,93.3,15.7,Paul George,80
2012-13,IND,79,37.6,104.4,98.1,6.4,19.1,1.4,17.7,3.0,16.7,10.1,12.6,49.1,53.1,23.1,91.51,13.4,Paul George,80
2011-12,IND,66,29.7,105.5,99.1,6.4,13.3,1.35,15.8,2.9,15.7,9.4,11.7,51.0,55.5,19.1,93.23,11.8,Paul George,80
2010-11,IND,61,20.7,104.2,104.1,0.0,8.2,0.93,11.3,2.9,14.5,8.7,12.2,50.5,54.2,17.2,97.76,9.3,Paul George,80
