By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,GSW,28,31.1,118.6,110.8,7.8,28.7,2.05,23.2,1.4,13.3,7.4,11.3,58.3,62.3,27.2,102.66,14.5,Stephen Curry,33
2023-24,GSW,74,32.7,117.3,114.7,2.7,24.1,1.8,17.5,1.5,11.6,6.6,9.7,57.3,61.6,30.2,101.9,14.0,Stephen Curry,33
2022-23,GSW,56,34.7,118.1,112.4,5.8,27.4,1.97,19.9,2.0,14.7,8.5,10.1,61.4,65.6,29.7,104.68,16.6,Stephen Curry,33
2021-22,GSW,64,34.5,114.1,103.4,10.7,28.6,1.96,20.8,1.5,12.6,7.3,10.6,55.4,60.1,29.3,100.83,15.5,Stephen Curry,33
2020-21,GSW,63,34.2,114.2,109.6,4.6,28.3,1.7,17.4,1.3,13.5,7.7,10.2,60.5,65.5,33.1,105.16,18.1,Stephen Curry,33
2019-20,GSW,5,27.9,108.5,123.7,-15.3,35.5,2.06,23.2,2.3,16.2,8.4,11.3,47.6,55.7,28.6,109.39,13.3,Stephen Curry,33
2018-19,GSW,69,33.8,119.5,105.8,13.7,22.5,1.88,18.0,2.0,12.2,7.5,9.6,60.4,64.1,29.2,104.18,15.2,Stephen Curry,33
2017-18,GSW,51,32.0,120.6,107.7,13.0,27.2,2.03,21.4,2.4,12.4,7.9,10.6,61.8,67.5,29.0,104.92,16.5,Stephen Curry,33
2016-17,GSW,79,33.4,120.1,102.7,17.4,28.7,2.19,22.4,2.4,10.1,6.5,10.2,58.0,62.4,28.6,103.28,15.1,Stephen Curry,33
2015-16,GSW,79,34.2,117.5,99.8,17.7,31.5,2.01,20.7,2.6,11.7,7.6,10.3,63.0,66.9,31.4,102.75,19.7,Stephen Curry,33
2014-15,GSW,80,32.7,114.7,98.5,16.3,35.8,2.49,26.4,2.2,10.0,6.3,10.6,59.4,63.8,27.7,101.47,17.8,Stephen Curry,33
2013-14,GSW,78,36.5,110.6,101.0,9.6,37.2,2.27,26.9,1.6,9.7,5.8,11.9,56.6,61.0,27.5,98.15,16.4,Stephen Curry,33
2012-13,GSW,78,38.2,107.0,104.7,2.3,29.8,2.25,23.6,2.0,8.3,5.2,10.5,54.9,58.9,25.7,96.55,13.8,Stephen Curry,33
2011-12,GSW,26,28.1,107.5,102.1,5.4,29.5,2.12,26.7,2.1,9.9,6.1,12.6,58.3,60.5,23.0,96.22,13.4,Stephen Curry,33
2010-11,GSW,74,33.6,108.5,108.4,0.0,26.8,1.91,24.1,2.1,9.7,5.8,12.6,55.1,59.5,23.7,97.74,12.1,Stephen Curry,33
2009-10,GSW,80,36.2,107.5,110.2,-2.7,24.1,1.94,24.3,1.7,10.6,6.1,12.5,53.5,56.8,21.5,102.66,10.7,Stephen Curry,33
